taxa	log2fold_1hr
Phvul.003G061600.1	-0.96
Phvul.003G061700.1	-0.23
Phvul.003G061800.1	NA
Phvul.003G061900.1	0.25
Phvul.003G062000.1	NA
Phvul.003G062100.1	0
Phvul.003G062200.1	0.08
Phvul.003G062300.1	0.25
Phvul.003G062400.1	0.18
Phvul.003G062500.1	0.3
Phvul.003G062600.1	1.1
Phvul.003G062700.1	1.17
Phvul.003G062800.1	0.58
Phvul.003G062900.1	0.25
Phvul.003G063000.1	0.39
Phvul.003G063100.1	0.05
Phvul.003G063200.1	0
Phvul.003G063300.1	0.04
Phvul.003G063400.1	NA
Phvul.003G063500.1	NA
Phvul.003G063500.1	0.33
Phvul.003G063600.1	NA
Phvul.003G063700.1	NA
Phvul.003G063800.1	-0.64
Phvul.003G063900.1	0.65
Phvul.003G064000.1	0.44
Phvul.003G064100.1	0.48
Phvul.003G064200.1	0.13
Phvul.003G064300.1	-0.34
Phvul.003G064400.1	0.21
Phvul.003G064500.1	0.05
Phvul.003G064600.1	-0.24
Phvul.003G064700.1	-0.2
Phvul.003G064800.1	-0.22
Phvul.003G064900.1	-0.45
Phvul.003G065000.1	-0.04
Phvul.003G065100.1	0.32
Phvul.003G065200.1	0.11
Phvul.003G065200.1	-0.16
Phvul.003G065200.1	-0.07
Phvul.003G065300.1	-0.25
Phvul.003G065400.1	0.19
Phvul.003G065500.1	NA
Phvul.003G065600.1	0.06
Phvul.003G065700.1	1.38
Phvul.003G065800.1	NA
Phvul.003G065900.1	NA
Phvul.003G066000.1	0.23
Phvul.003G066100.1	NA
Phvul.003G066200.1	0.97
Phvul.003G066300.1	-0.17
Phvul.003G066400.1	0.03
Phvul.003G066500.1	1.11
Phvul.003G066600.1	-0.22
Phvul.003G066700.1	2.8
Phvul.003G066800.1	-0.4
Phvul.003G066900.1	0.16
Phvul.003G067000.1	0
Phvul.003G067100.1	-0.14
Phvul.003G067200.1	-0.22
Phvul.003G067300.1	1.54
Phvul.003G067400.1	-0.83
Phvul.003G067500.1	-1.01
Phvul.003G067600.1	1.15
Phvul.003G067700.1	-0.49
Phvul.003G067800.1	-0.04
Phvul.003G067900.1	0.9
Phvul.003G068000.1	0.18
Phvul.003G068100.1	NA
Phvul.003G068200.1	0.15
Phvul.003G068300.1	-0.35
Phvul.003G068400.1	0.15
Phvul.003G068500.1	0
Phvul.003G068600.1	NA
Phvul.003G068700.1	-0.39
Phvul.003G068800.1	0.33
Phvul.003G068900.1	-1.09
Phvul.003G069000.1	NA
Phvul.003G069100.1	0.34
Phvul.003G069200.1	0.19
Phvul.003G069300.1	-0.1
Phvul.003G069400.1	NA
Phvul.003G069500.1	-0.01
Phvul.003G069500.1	-0.21
Phvul.003G069600.1	0.11
Phvul.003G069700.1	-0.07
Phvul.003G069800.1	-0.1
Phvul.003G069800.1	-0.29
Phvul.003G069900.1	NA
Phvul.003G070000.1	NA
Phvul.003G070100.1	-0.04
Phvul.003G070200.1	0.15
Phvul.003G070300.1	1.74
Phvul.003G070400.1	NA
Phvul.003G070500.1	NA
Phvul.003G070600.1	0.37
Phvul.003G070700.1	0.76
Phvul.003G070800.1	-1.25
Phvul.003G070900.1	3.03
Phvul.003G071000.1	-0.22
Phvul.003G071100.1	0.77
Phvul.003G071200.1	-0.02
Phvul.003G071300.1	-0.11
Phvul.003G071400.1	-0.23
Phvul.003G071500.1	0.24
Phvul.003G071600.1	0.04
Phvul.003G071700.1	0.53
Phvul.003G071800.1	0.88
Phvul.003G071900.1	1.19
Phvul.003G072000.1	0.03
Phvul.003G072100.1	0.12
Phvul.003G072200.1	0.24
Phvul.003G072300.1	NA
Phvul.003G072300.1	NA
Phvul.003G072300.1	NA
Phvul.003G072400.1	0.6
Phvul.003G072500.1	1.16
Phvul.003G072600.1	0.36
Phvul.003G072700.1	0.22
Phvul.003G072800.1	0.08
Phvul.003G072900.1	2.27
Phvul.003G073000.1	-0.13
Phvul.003G073100.1	-0.52
Phvul.003G073200.1	0.67
Phvul.003G073300.1	-0.26
Phvul.003G073400.1	NA
Phvul.003G073500.1	-0.25
Phvul.003G073600.1	0.11
Phvul.003G073700.1	-0.1
Phvul.003G073800.1	-1.15
Phvul.003G073900.1	0.24
Phvul.003G074000.1	NA
Phvul.003G074100.1	NA
Phvul.003G074100.1	NA
Phvul.003G074200.1	0.1
Phvul.003G074300.1	0.13
Phvul.003G074400.1	0.08
Phvul.003G074500.1	0.21
Phvul.003G074600.1	0.11
Phvul.003G074700.1	0.32
Phvul.003G074800.1	0.37
Phvul.003G074900.1	0
Phvul.003G075000.1	0.24
Phvul.003G075100.1	0.28
Phvul.003G075200.1	-0.16
Phvul.003G075300.1	-1.16
Phvul.003G075400.1	0.31
Phvul.003G075500.1	0.01
Phvul.003G075600.1	0.17
Phvul.003G075700.1	0.12
Phvul.003G075800.1	-0.05
Phvul.003G075900.1	-0.14
Phvul.003G076000.1	-2.28
Phvul.003G076100.1	NA
Phvul.003G076200.1	0.33
Phvul.003G076300.1	-0.1
Phvul.003G076400.1	0.76
Phvul.003G076400.1	-0.2
Phvul.003G076500.1	-0.06
Phvul.003G076600.1	-0.99
Phvul.003G076700.1	-0.49
Phvul.003G076800.1	-0.41
Phvul.003G076900.1	-0.57
Phvul.003G077000.1	0.59
Phvul.003G077100.1	0.04
Phvul.003G077200.1	0.12
Phvul.003G077300.1	-0.11
Phvul.003G077400.1	0.13
Phvul.003G077500.1	NA
Phvul.003G077600.1	-0.96
Phvul.003G077700.1	0.06
Phvul.003G077800.1	0.21
Phvul.003G077900.1	0.6
Phvul.003G078000.1	1.44
Phvul.003G078100.1	0.73
Phvul.003G078200.1	-0.99
Phvul.003G078300.1	-1.07
Phvul.003G078400.1	-0.17
Phvul.003G078500.1	-0.17
Phvul.003G078600.1	-0.06
Phvul.003G078700.1	-0.26
Phvul.003G078800.1	-0.21
Phvul.003G078900.1	-0.37
Phvul.003G079000.1	-0.02
Phvul.003G079100.1	-0.71
Phvul.003G079200.1	NA
Phvul.003G079300.1	-0.04
Phvul.003G079400.1	-0.63
Phvul.003G079500.1	-0.23
Phvul.003G079600.1	-0.19
Phvul.003G079700.1	0.01
Phvul.003G079800.1	-0.57
Phvul.003G079900.1	-0.29
Phvul.003G080000.1	0.17
Phvul.003G080100.1	-1.25
Phvul.003G080200.1	-0.1
Phvul.003G080300.1	-0.04
Phvul.003G080400.1	-0.01
Phvul.003G080500.1	0.43
Phvul.003G080500.1	1.68
Phvul.003G080600.1	0
Phvul.003G080600.1	NA
Phvul.003G080600.1	0.24
Phvul.003G080600.1	0.81
Phvul.003G080700.1	NA
Phvul.003G080800.1	0.07
Phvul.003G080800.1	0.21
Phvul.003G080900.1	-0.36
Phvul.003G081000.1	NA
Phvul.003G081100.1	NA
Phvul.003G081200.1	0.08
Phvul.003G081300.1	-0.05
Phvul.003G081400.1	-0.07
Phvul.003G081500.1	-0.31
Phvul.003G081600.1	-0.09
Phvul.003G081700.1	0.21
Phvul.003G081800.1	NA
Phvul.003G081900.1	-1.2
Phvul.003G082000.1	-0.02
Phvul.003G082100.1	NA
Phvul.003G082200.1	-0.53
Phvul.003G082300.1	0.86
Phvul.003G082400.1	0.03
Phvul.003G082500.1	0.42
Phvul.003G082600.1	0.04
Phvul.003G082700.1	0.18
Phvul.003G082800.1	0.22
Phvul.003G082900.1	0.99
Phvul.003G083000.1	0.01
Phvul.003G083100.1	-0.4
Phvul.003G083200.1	0.79
Phvul.003G083300.1	0.02
Phvul.003G083400.1	NA
Phvul.003G083500.1	-0.24
Phvul.003G083600.1	-0.85
Phvul.003G083700.1	-0.1
Phvul.003G083800.1	NA
Phvul.003G083900.1	-0.26
Phvul.003G084000.1	0.4
Phvul.003G084100.1	-0.18
Phvul.003G084200.1	0.15
Phvul.003G084300.1	-0.42
Phvul.003G084400.1	-0.08
Phvul.003G084500.1	0.03
Phvul.003G084600.1	0
Phvul.003G084700.1	-0.83
Phvul.003G084800.1	-0.71
Phvul.003G084900.1	-0.25
Phvul.003G085000.1	0.92
Phvul.003G085100.1	0.3
Phvul.003G085200.1	0.54
Phvul.003G085300.1	0.19
Phvul.003G085400.1	-0.44
Phvul.003G085500.1	-0.58
Phvul.003G085600.1	-0.8
Phvul.003G085700.1	-0.16
Phvul.003G085800.1	0.14
Phvul.003G085900.1	-0.71
Phvul.003G086000.1	-0.46
Phvul.003G086100.1	-0.27
Phvul.003G086200.1	NA
Phvul.003G086300.1	0.11
Phvul.003G086400.1	-0.86
Phvul.003G086500.1	0.04
Phvul.003G086600.1	0.19
Phvul.003G086700.1	-0.22
Phvul.003G086800.1	0.2
Phvul.003G086900.1	0.29
Phvul.003G087000.1	0.21
Phvul.003G087100.1	0.24
Phvul.003G087200.1	0.23
Phvul.003G087300.1	NA
Phvul.003G087300.1	NA
Phvul.003G087400.1	0
Phvul.003G087500.1	2.06
Phvul.003G087600.1	0.34
Phvul.003G087700.1	0.44
Phvul.003G087800.1	1.01
Phvul.003G087900.1	0.29
Phvul.003G088000.1	0.33
Phvul.003G088100.1	0.14
Phvul.003G088200.1	0.25
Phvul.003G088300.1	0.06
Phvul.003G088400.1	-0.12
Phvul.003G088500.1	0
Phvul.003G088600.1	0.96
Phvul.003G088700.1	0.24
Phvul.003G088800.1	NA
Phvul.003G088800.1	NA
Phvul.003G088800.1	NA
Phvul.003G088900.1	-0.14
Phvul.003G089000.1	-0.77
Phvul.003G089100.1	0.41
Phvul.003G089200.1	-0.21
Phvul.003G089300.1	-0.53
Phvul.003G089400.1	-0.59
Phvul.003G089500.1	-0.17
Phvul.003G089600.1	-0.23
Phvul.003G089700.1	0.08
Phvul.003G089800.1	0.04
Phvul.003G089900.1	0.16
Phvul.003G090000.1	-0.13
Phvul.003G090000.1	-0.16
Phvul.003G090100.1	NA
Phvul.003G090200.1	0
Phvul.003G090300.1	-1.1
Phvul.003G090400.1	-0.02
Phvul.003G090500.1	-0.15
Phvul.003G090600.1	-0.01
Phvul.003G090700.1	0.13
Phvul.003G090800.1	-0.3
Phvul.003G090900.1	-0.14
Phvul.003G090900.1	0.08
Phvul.003G091000.1	0.12
Phvul.003G091100.1	-0.41
Phvul.003G091200.1	-0.36
Phvul.003G091300.1	NA
Phvul.003G091400.1	-1.21
Phvul.003G091500.1	-0.02
Phvul.003G091600.1	-1.04
Phvul.003G091700.1	-0.11
Phvul.003G091800.1	0.21
Phvul.003G091900.1	0.63
Phvul.003G092000.1	-0.25
Phvul.003G092100.1	-0.91
Phvul.003G092200.1	NA
Phvul.003G092300.1	NA
Phvul.003G092400.1	-0.05
Phvul.003G092500.1	-0.48
Phvul.003G092600.1	0.33
Phvul.003G092700.1	-0.3
Phvul.003G092800.1	-1.34
Phvul.003G092900.1	0.13
Phvul.003G093000.1	-0.12
Phvul.003G093100.1	1.03
Phvul.003G093200.1	-0.26
Phvul.003G093300.1	NA
Phvul.003G093400.1	-0.03
Phvul.003G093500.1	0
Phvul.003G093600.1	-0.08
Phvul.003G093600.1	-0.27
Phvul.003G093700.1	-0.94
Phvul.003G093800.1	-0.12
Phvul.003G093900.1	NA
Phvul.003G093900.1	-0.27
Phvul.003G094000.1	0.03
Phvul.003G094100.1	-0.13
Phvul.003G094200.1	-0.91
Phvul.003G094300.1	0.26
Phvul.003G094400.1	0.93
Phvul.003G094500.1	-0.11
Phvul.003G094600.1	NA
Phvul.003G094700.1	0.06
Phvul.003G094800.1	-0.02
Phvul.003G094900.1	-0.21
Phvul.003G095000.1	0.23
Phvul.003G095100.1	0.17
Phvul.003G095200.1	NA
Phvul.003G095300.1	NA
Phvul.003G095300.1	NA
Phvul.003G095400.1	-0.18
Phvul.003G095500.1	0.06
Phvul.003G095600.1	0.23
Phvul.003G095700.1	1.69
Phvul.003G095800.1	0.01
Phvul.003G095900.1	-0.25
Phvul.003G096000.1	NA
Phvul.003G096100.1	-0.14
Phvul.003G096200.1	0.37
Phvul.003G096300.1	0.44
Phvul.003G096400.1	0.26
Phvul.003G096500.1	-0.07
Phvul.003G096600.1	-1.13
Phvul.003G096700.1	0.85
Phvul.003G096800.1	0.56
Phvul.003G096900.1	0.06
Phvul.003G097000.1	NA
Phvul.003G097100.1	-0.37
Phvul.003G097200.1	0.01
Phvul.003G097300.1	0.25
Phvul.003G097400.1	-0.3
Phvul.003G097500.1	-0.26
Phvul.003G097600.1	-0.23
Phvul.003G097700.1	0.09
Phvul.003G097800.1	0
Phvul.003G097900.1	-1.67
Phvul.003G098000.1	-0.22
Phvul.003G098100.1	-0.09
Phvul.003G098200.1	1.23
Phvul.003G098300.1	-0.16
Phvul.003G098400.1	-0.88
Phvul.003G098500.1	0.23
Phvul.003G098600.1	0.2
Phvul.003G098700.1	1.61
Phvul.003G098800.1	0.62
Phvul.003G098900.1	-0.12
Phvul.003G099000.1	-0.11
Phvul.003G099100.1	0.58
Phvul.003G099200.1	0.14
Phvul.003G099300.1	NA
Phvul.003G099400.1	NA
Phvul.003G099500.1	0.26
Phvul.003G099600.1	-0.53
Phvul.003G099700.1	0
Phvul.003G099800.1	NA
Phvul.003G099900.1	0.06
Phvul.003G100000.1	-0.05
Phvul.003G100100.1	0.39
Phvul.003G100200.1	0.12
Phvul.003G100300.1	0
Phvul.003G100400.1	-0.15
Phvul.003G100500.1	0.07
Phvul.003G100600.1	-0.39
Phvul.003G100700.1	-0.17
Phvul.003G100800.1	-0.18
Phvul.003G100900.1	0.1
Phvul.003G101000.1	0.11
Phvul.003G101100.1	0.36
Phvul.003G101200.1	0.06
Phvul.003G101300.1	-0.4
Phvul.003G101400.1	0.03
Phvul.003G101500.1	0.42
Phvul.003G101600.1	0
Phvul.003G101700.1	-0.25
Phvul.003G101800.1	0
Phvul.003G101900.1	0
Phvul.003G102000.1	-0.2
Phvul.003G102100.1	-0.39
Phvul.003G102200.1	NA
Phvul.003G102300.1	0.04
Phvul.003G102400.1	-0.05
Phvul.003G102500.1	NA
Phvul.003G102600.1	-0.18
Phvul.003G102700.1	0.08
Phvul.003G102800.1	-0.16
Phvul.003G102900.1	0
Phvul.003G103000.1	0.02
Phvul.003G103100.1	1.59
Phvul.003G103200.1	0.14
Phvul.003G103300.1	0.19
Phvul.003G103400.1	-0.9
Phvul.003G103500.1	0.27
Phvul.003G103600.1	NA
Phvul.003G103700.1	-0.35
Phvul.003G103800.1	0.24
Phvul.003G103900.1	NA
Phvul.003G104000.1	0.14
Phvul.003G104100.1	0.42
Phvul.003G104200.1	0.75
Phvul.003G104300.1	NA
Phvul.003G104400.1	2.01
Phvul.003G104500.1	0.24
Phvul.003G104600.1	0.94
Phvul.003G104700.1	0.26
Phvul.003G104800.1	0.2
Phvul.003G104900.1	-0.73
Phvul.003G105000.1	0.15
Phvul.003G105100.1	0.27
Phvul.003G105200.1	0.27
Phvul.003G105300.1	0.12
Phvul.003G105400.1	NA
Phvul.003G105500.1	0.04
Phvul.003G105600.1	0.25
Phvul.003G105700.1	-0.5
Phvul.003G105800.1	0.14
Phvul.003G105900.1	0.05
Phvul.003G106000.1	-0.6
Phvul.003G106100.1	0.17
Phvul.003G106200.1	NA
Phvul.003G106300.1	-1.22
Phvul.003G106400.1	NA
Phvul.003G106500.1	NA
Phvul.003G106600.1	NA
Phvul.003G106700.1	-0.76
Phvul.003G106800.1	0.2
Phvul.003G106900.1	-0.54
Phvul.003G107000.1	-0.06
Phvul.003G107100.1	0.76
Phvul.003G107200.1	NA
Phvul.003G107300.1	NA
Phvul.003G107400.1	NA
Phvul.003G107500.1	0
Phvul.003G107600.1	0.17
Phvul.003G107700.1	0.16
Phvul.003G107800.1	0
Phvul.003G107900.1	-0.83
Phvul.003G108000.1	0.73
Phvul.003G108100.1	NA
Phvul.003G108200.1	0.08
Phvul.003G108300.1	0.18
Phvul.003G108400.1	0.53
Phvul.003G108500.1	0.95
Phvul.003G108600.1	0.17
Phvul.003G108700.1	-1.11
Phvul.003G108800.1	0.33
Phvul.003G108900.1	-0.52
Phvul.003G109000.1	4.38
Phvul.003G109100.1	2.48
Phvul.003G109200.1	1.64
Phvul.003G109300.1	NA
Phvul.003G109400.1	NA
Phvul.003G109400.1	NA
Phvul.003G109500.1	NA
Phvul.003G109600.1	NA
Phvul.003G109700.1	NA
Phvul.003G109800.1	NA
Phvul.003G109900.1	NA
Phvul.003G109900.1	NA
Phvul.003G110000.1	-0.3
Phvul.003G110100.1	-0.07
Phvul.003G110200.1	0.54
Phvul.003G110300.1	-1.22
Phvul.003G110400.1	-0.03
Phvul.003G110500.1	-0.19
Phvul.003G110600.1	-0.57
Phvul.003G110700.1	NA
Phvul.003G110800.1	NA
Phvul.003G110900.1	0.56
Phvul.003G111000.1	0.28
Phvul.003G111100.1	0.15
Phvul.003G111200.1	-0.15
Phvul.003G111300.1	-0.22
Phvul.003G111400.1	0.16
Phvul.003G111500.1	-0.26
Phvul.003G111600.1	0.11
Phvul.003G111700.1	0.24
Phvul.003G111800.1	0.89
Phvul.003G111900.1	0.06
Phvul.003G112000.1	-0.13
Phvul.003G112100.1	-0.18
Phvul.003G112200.1	-0.06
Phvul.003G112300.1	-0.14
Phvul.003G112400.1	0.15
Phvul.003G112500.1	-0.34
Phvul.003G112600.1	-0.14
Phvul.003G112700.1	0.64
Phvul.003G112800.1	0.37
Phvul.003G112900.1	0.56
Phvul.003G113000.1	0.59
Phvul.003G113100.1	-0.22
Phvul.003G113200.1	NA
Phvul.003G113300.1	0.63
Phvul.003G113400.1	-0.33
Phvul.003G113500.1	-0.1
Phvul.003G113600.1	NA
Phvul.003G113700.1	-0.52
Phvul.003G113800.1	0.22
Phvul.003G113900.1	-0.43
Phvul.003G114000.1	NA
Phvul.003G114100.1	-0.22
Phvul.003G114200.1	0.55
Phvul.003G114300.1	-0.51
Phvul.003G114400.1	-0.09
Phvul.003G114500.1	0.34
Phvul.003G114600.1	NA
Phvul.003G114700.1	-0.79
Phvul.003G114800.1	NA
Phvul.003G114900.1	NA
Phvul.003G115000.1	NA
Phvul.003G115100.1	0.13
Phvul.003G115200.1	0.09
Phvul.003G115300.1	NA
Phvul.003G115400.1	0.4
Phvul.003G115500.1	0.29
Phvul.003G115600.1	0.08
Phvul.003G115700.1	NA
Phvul.003G115800.1	1.08
Phvul.003G115900.1	NA
Phvul.003G116000.1	NA
Phvul.003G116100.1	-0.54
Phvul.003G116200.1	-0.77
Phvul.003G116300.1	0.45
Phvul.003G116400.1	0.22
Phvul.003G116500.1	NA
Phvul.003G116600.1	0.08
Phvul.003G116700.1	0
Phvul.003G116800.1	0.84
Phvul.003G116900.1	-1.24
Phvul.003G117000.1	0.1
Phvul.003G117100.1	0.01
Phvul.003G117200.1	-0.09
Phvul.003G117300.1	NA
Phvul.003G117400.1	NA
Phvul.003G117500.1	NA
Phvul.003G117600.1	-0.55
Phvul.003G117700.1	0
Phvul.003G117800.1	-0.07
Phvul.003G117900.1	-0.21
Phvul.003G118000.1	0.07
Phvul.003G118100.1	0.3
Phvul.003G118200.1	0.29
Phvul.003G118300.1	0.48
Phvul.003G118400.1	-0.27
Phvul.003G118500.1	-0.01
Phvul.003G118600.1	0.12
Phvul.003G118700.1	0
Phvul.003G118800.1	-0.11
Phvul.003G118900.1	0.15
Phvul.003G119000.1	-0.13
Phvul.003G119100.1	0.3
Phvul.003G119200.1	-0.23
Phvul.003G119300.1	0.01
Phvul.003G119400.1	0.04
Phvul.003G119500.1	-0.36
Phvul.003G119600.1	NA
Phvul.003G119700.1	-0.13
Phvul.003G119800.1	0.52
Phvul.003G119900.1	-0.64
Phvul.003G120000.1	0.55
Phvul.003G120100.1	-0.46
Phvul.003G120200.1	-0.14
Phvul.003G120200.1	0.17
Phvul.003G120300.1	0.15
Phvul.003G120400.1	0.46
Phvul.003G120500.1	-0.21
Phvul.003G120600.1	-0.06
Phvul.003G120700.1	-0.04
Phvul.003G120800.1	1.69
Phvul.003G120900.1	1.8
Phvul.003G121000.1	-0.36
Phvul.003G121100.1	NA
Phvul.003G121200.1	-0.3
Phvul.003G121300.1	-0.05
Phvul.003G121400.1	-1.13
Phvul.003G121500.1	-0.53
Phvul.003G121600.1	-0.5
Phvul.003G121700.1	-1.34
Phvul.003G121700.1	0.17
Phvul.003G121800.1	0
Phvul.003G121900.1	0.38
Phvul.003G122000.1	-1.13
Phvul.003G122100.1	-0.38
Phvul.003G122200.1	0.02
Phvul.003G122300.1	0.11
Phvul.003G122400.1	1.64
Phvul.003G122500.1	0.11
Phvul.003G122600.1	-0.32
Phvul.003G122700.1	NA
Phvul.003G122800.1	NA
Phvul.003G122900.1	0.54
Phvul.003G123000.1	0.44
Phvul.003G123100.1	0.39
Phvul.003G123200.1	0.84
Phvul.003G123300.1	-0.2
Phvul.003G123400.1	0.82
Phvul.003G123500.1	1.28
Phvul.003G123600.1	0.55
Phvul.003G123600.1	0.65
Phvul.003G123700.1	NA
Phvul.003G123800.1	NA
Phvul.003G123800.1	NA
Phvul.003G123900.1	0.47
Phvul.003G124000.1	3.75
Phvul.003G124100.1	2.19
Phvul.003G124200.1	NA
Phvul.003G124300.1	-0.05
Phvul.003G124400.1	-0.43
Phvul.003G124500.1	0.03
Phvul.003G124600.1	0.42
Phvul.003G124700.1	-0.57
Phvul.003G124800.1	-0.12
Phvul.003G124900.1	0.02
Phvul.003G125000.1	0.16
Phvul.003G125100.1	-0.4
Phvul.003G125200.1	NA
Phvul.003G125300.1	0.59
Phvul.003G125400.1	-0.2
Phvul.003G125500.1	0.04
Phvul.003G125600.1	0.03
Phvul.003G125700.1	-0.54
Phvul.003G125800.1	0.08
Phvul.003G125900.1	-0.17
Phvul.003G126000.1	-0.03
Phvul.003G126100.1	-0.81
Phvul.003G126200.1	-0.41
Phvul.003G126300.1	-0.44
Phvul.003G126400.1	NA
Phvul.003G126500.1	0.27
Phvul.003G126600.1	-0.68
Phvul.003G126700.1	-0.22
Phvul.003G126800.1	-0.21
Phvul.003G126900.1	-0.1
Phvul.003G127000.1	0.09
Phvul.003G127100.1	0.13
Phvul.003G127200.1	-0.26
Phvul.003G127300.1	-0.01
Phvul.003G127400.1	-0.88
Phvul.003G127500.1	0.16
Phvul.003G127600.1	0.19
Phvul.003G127600.1	0.31
Phvul.003G127700.1	NA
Phvul.003G127800.1	0.1
Phvul.003G127900.1	-0.02
Phvul.003G128000.1	0.65
Phvul.003G128100.1	0
Phvul.003G128200.1	-0.2
Phvul.003G128300.1	NA
Phvul.003G128400.1	-2.14
Phvul.003G128500.1	0
Phvul.003G128600.1	0.19
Phvul.003G128700.1	-0.01
Phvul.003G128800.1	-0.17
Phvul.003G128900.1	-0.19
Phvul.003G129000.1	-0.56
Phvul.003G129100.1	0.02
Phvul.003G129200.1	1.13
Phvul.003G129300.1	-0.23
Phvul.003G129400.1	NA
Phvul.003G129500.1	-0.03
Phvul.003G129600.1	-0.21
Phvul.003G129700.1	-0.25
Phvul.003G129800.1	0.04
Phvul.003G129900.1	-0.24
Phvul.003G130000.1	-1.41
Phvul.003G130100.1	0.72
Phvul.003G130200.1	0.93
Phvul.003G130300.1	-0.42
Phvul.003G130400.1	1.25
Phvul.003G130500.1	-0.13
Phvul.003G130600.1	-0.24
Phvul.003G130700.1	0.27
Phvul.003G130800.1	NA
Phvul.003G130900.1	0.25
Phvul.003G131000.1	-0.85
Phvul.003G131100.1	0.27
Phvul.003G131200.1	0.18
Phvul.003G131300.1	-0.08
Phvul.003G131400.1	-1.01
Phvul.003G131500.1	1.03
Phvul.003G131600.1	-0.11
Phvul.003G131700.1	0.41
Phvul.003G131800.1	0.72
Phvul.003G131900.1	-0.06
Phvul.003G132000.1	-0.09
Phvul.003G132100.1	0.18
Phvul.003G132200.1	0.05
Phvul.003G132300.1	-0.02
Phvul.003G132400.1	-0.49
Phvul.003G132500.1	-0.29
Phvul.003G132600.1	-0.82
Phvul.003G132700.1	-0.47
Phvul.003G132800.1	-0.92
Phvul.003G132900.1	-0.4
Phvul.003G133000.1	0.11
Phvul.003G133100.1	-0.01
Phvul.003G133200.1	0.14
Phvul.003G133300.1	-0.46
Phvul.003G133400.1	-0.07
Phvul.003G133500.1	0.2
Phvul.003G133600.1	0.15
Phvul.003G133700.1	-0.12
Phvul.003G133800.1	0.03
Phvul.003G133900.1	0.05
Phvul.003G134000.1	0.27
Phvul.003G134100.1	1.76
Phvul.003G134200.1	-0.2
Phvul.003G134300.1	0.16
Phvul.003G134400.1	0.31
Phvul.003G134500.1	1.07
Phvul.003G134600.1	NA
Phvul.003G134700.1	0.5
Phvul.003G134700.1	0.12
Phvul.003G134800.1	-0.18
Phvul.003G134900.1	0.25
Phvul.003G135000.1	0.71
Phvul.003G135100.1	0.09
Phvul.003G135200.1	-0.48
Phvul.003G135300.1	NA
Phvul.003G135400.1	0.55
Phvul.003G135500.1	0.08
Phvul.003G135600.1	0.34
Phvul.003G135700.1	5.61
Phvul.003G135800.1	0
Phvul.003G135900.1	0.03
Phvul.003G136000.1	-0.09
Phvul.003G136100.1	-0.36
Phvul.003G136200.1	NA
Phvul.003G136300.1	0.06
Phvul.003G136400.1	0.39
Phvul.003G136500.1	NA
Phvul.003G136500.1	NA
Phvul.003G136600.1	-1.51
Phvul.003G136700.1	-0.14
Phvul.003G136800.1	-0.19
Phvul.003G136900.1	-0.87
Phvul.003G137000.1	0.11
Phvul.003G137100.1	-0.61
Phvul.003G137200.1	0.27
Phvul.003G137300.1	0.03
Phvul.003G137400.1	0.18
Phvul.003G137500.1	-0.11
Phvul.003G137600.1	-0.06
Phvul.003G137700.1	-0.42
Phvul.003G137800.1	0.28
Phvul.003G137900.1	NA
Phvul.003G138000.1	NA
Phvul.003G138100.1	-0.48
Phvul.003G138200.1	1.85
Phvul.003G138300.1	0.08
Phvul.003G138400.1	-0.98
Phvul.003G138500.1	0.16
Phvul.003G138600.1	0
Phvul.003G138700.1	-0.07
Phvul.003G138700.1	0.3
Phvul.003G138800.1	0.01
Phvul.003G138900.1	0.15
Phvul.003G139000.1	0.47
Phvul.003G139100.1	-0.19
Phvul.003G139200.1	0.07
Phvul.003G139300.1	2.18
Phvul.003G139400.1	-1.3
Phvul.003G139500.1	1.22
Phvul.003G139600.1	NA
Phvul.003G139700.1	-0.65
Phvul.003G139800.1	0.66
Phvul.003G139900.1	NA
Phvul.003G140000.1	0.04
Phvul.003G140100.1	-0.97
Phvul.003G140100.1	0.21
Phvul.003G140200.1	0.29
Phvul.003G140300.1	-0.21
Phvul.003G140400.1	0.03
Phvul.003G140500.1	0.38
Phvul.003G140600.1	-0.84
Phvul.003G140700.1	-0.8
Phvul.003G140800.1	2.07
Phvul.003G140800.1	1.64
Phvul.003G140900.1	0.09
Phvul.003G141000.1	0.02
Phvul.003G141100.1	0.09
Phvul.003G141200.1	-0.99
Phvul.003G141300.1	0.08
Phvul.003G141400.1	0.09
Phvul.003G141500.1	-0.23
Phvul.003G141600.1	-0.05
Phvul.003G141700.1	0.14
Phvul.003G141800.1	-0.36
Phvul.003G141900.1	0
Phvul.003G142000.1	-0.05
Phvul.003G142100.1	0.66
Phvul.003G142200.1	0.28
Phvul.003G142300.1	-0.23
Phvul.003G142400.1	0.5
Phvul.003G142500.1	0.36
Phvul.003G142600.1	-0.22
Phvul.003G142700.1	-0.74
Phvul.003G142800.1	-0.43
Phvul.003G142900.1	0.34
Phvul.003G143000.1	0.11
Phvul.003G143100.1	NA
Phvul.003G143200.1	0.12
Phvul.003G143300.1	-0.11
Phvul.003G143400.1	-0.22
Phvul.003G143500.1	-0.81
Phvul.003G143600.1	0.36
Phvul.003G143700.1	-0.81
Phvul.003G143800.1	0.12
Phvul.003G143900.1	0.21
Phvul.003G144000.1	0
Phvul.003G144100.1	0.05
Phvul.003G144200.1	-0.68
Phvul.003G144300.1	-0.1
Phvul.003G144400.1	-0.75
Phvul.003G144500.1	0.08
