taxa	log2fold_1hr
Vigun01g250100	0
Vigun01g251700	0
Vigun01g254200	0
Vigun01g254700	0
Vigun01g255200	0
Vigun02g000400	0
Vigun02g002700	0
Vigun02g003000	0
Vigun02g003200	0
Vigun02g003300	0
Vigun02g003400	0
Vigun02g003800	0
Vigun02g004400	0
Vigun02g005000	0
Vigun02g005300	0
Vigun02g005900	0
Vigun02g006000	0
Vigun02g006400	0
Vigun02g006700	0
Vigun02g007100	0
Vigun02g007200	0
Vigun02g007300	0
Vigun02g007800	0
Vigun02g008900	0
Vigun02g009000	0
Vigun02g012600	0
Vigun02g013700	0
Vigun02g014400	0
Vigun02g014500	0
Vigun02g014600	0
Vigun02g014700	0
Vigun02g014900	0
Vigun02g015000	0
Vigun02g015300	0
Vigun02g015400	0
Vigun02g015800	0
Vigun02g016000	0
Vigun02g016100	0
Vigun02g016900	0
Vigun02g017000	0
Vigun02g017400	0
Vigun02g017500	0
Vigun02g017900	0
Vigun02g018200	0
Vigun02g019000	0
Vigun02g019100	0
Vigun02g019200	0
Vigun02g019400	0
Vigun02g020100	0
Vigun02g021700	0
Vigun02g024300	0
Vigun02g024900	0
Vigun02g027100	0
Vigun02g028000	0
Vigun02g028900	0
Vigun02g029100	0
Vigun02g029500	0
Vigun02g030300	0
Vigun02g030400	0
Vigun02g030600	0
Vigun02g031400	0
Vigun02g031700	0
Vigun02g031900	0
Vigun02g032000	0
Vigun02g032100	0
Vigun02g032300	0
Vigun02g033000	0
Vigun02g033200	0
Vigun02g033300	0
Vigun02g033500	0
Vigun02g033600	0
Vigun02g033700	0
Vigun02g034000	0
Vigun02g034400	0
Vigun02g035000	0
Vigun02g035200	0
Vigun02g035900	0
Vigun02g036700	0
Vigun02g037200	0
Vigun02g038200	0
Vigun02g038300	0
Vigun02g038400	0
Vigun02g039000	0
Vigun02g039800	0
Vigun02g041700	0
Vigun02g042000	0
Vigun02g042200	0
Vigun02g042400	0
Vigun02g042600	0
Vigun02g043500	0
Vigun02g044100	0
Vigun02g044300	0
Vigun02g045000	0
Vigun02g045100	0
Vigun02g045800	0
Vigun02g045900	0
Vigun02g046000	0
Vigun02g046300	0
Vigun02g046400	0
Vigun02g046500	0
Vigun02g046600	0
Vigun02g047700	0
Vigun02g050600	0
Vigun02g051200	0
Vigun02g051400	0
Vigun02g051500	0
Vigun02g051600	0
Vigun02g052200	0
Vigun02g052500	0
Vigun02g052600	0
Vigun02g052900	0
Vigun02g053900	0
Vigun02g054000	0
Vigun02g054100	0
Vigun02g055400	0
Vigun02g056400	0
Vigun02g056800	0
Vigun02g057200	0
Vigun02g057400	0
Vigun02g057500	0
Vigun02g057600	0
Vigun02g058400	0
Vigun02g058500	0
Vigun02g059000	0
Vigun02g059100	0
Vigun02g059200	0
Vigun02g060100	0
Vigun02g063700	0
Vigun02g063800	0
Vigun02g067700	0
Vigun02g068300	0
Vigun02g070900	0
Vigun02g071600	0
Vigun02g071700	0
Vigun02g072300	0
Vigun02g073900	0
Vigun02g079400	0
Vigun02g079900	0
Vigun02g082700	0
Vigun02g082900	0
Vigun02g083500	0
Vigun02g084900	0
Vigun02g085900	0
Vigun02g087000	0
Vigun02g087100	0
Vigun02g087400	0
Vigun02g087500	0
Vigun02g087600	0
Vigun02g087800	0
Vigun02g087900	0
Vigun02g088000	0
Vigun02g090800	0
Vigun02g095100	0
Vigun02g095600	0
Vigun02g096300	0
Vigun02g096600	0
Vigun02g097900	0
Vigun02g098000	0
Vigun02g098400	0
Vigun02g104600	0
Vigun02g104800	0
Vigun02g106700	0
Vigun02g107500	0
Vigun02g109400	0
Vigun02g111800	0
Vigun02g114400	0
Vigun02g114500	0
Vigun02g114800	0
Vigun02g115700	0
Vigun02g116000	0
Vigun02g116300	0
Vigun02g116500	0
Vigun02g116800	0
Vigun02g116900	0
Vigun02g118600	0
Vigun02g122100	0
Vigun02g122300	0
Vigun02g122400	0
Vigun02g122500	0
Vigun02g123400	0
Vigun02g127500	0
Vigun02g127800	0
Vigun02g127900	0
Vigun02g129100	0
Vigun02g130600	0
Vigun02g131000	0
Vigun02g133200	0
Vigun02g133400	0
Vigun02g133500	0
Vigun02g133600	0
Vigun02g134700	0
Vigun02g134800	0
Vigun02g136200	0
Vigun02g136600	0
Vigun02g136700	0
Vigun02g136800	0
Vigun02g139100	0
Vigun02g142000	0
Vigun02g142200	0
Vigun02g142300	0
Vigun02g142400	0
Vigun02g142600	0
Vigun02g143100	0
Vigun02g147800	0
Vigun02g149100	0
Vigun02g150100	0
Vigun02g151600	0
Vigun02g160400	0
Vigun02g163900	0
Vigun02g167600	0
Vigun02g167700	0
Vigun02g168000	0
Vigun02g168400	0
Vigun02g171100	0
Vigun02g171200	0
Vigun02g171400	0
Vigun02g172800	0
Vigun02g177600	0
Vigun02g177700	0
Vigun02g178700	0
Vigun02g179800	0
Vigun02g183900	0
Vigun02g186100	0
Vigun02g187200	0
Vigun02g194300	0
Vigun02g195400	0
Vigun02g195700	0
Vigun02g195800	0
Vigun02g197700	0
Vigun02g197800	0
Vigun02g198100	0
Vigun02g200000	0
Vigun02g200800	0
Vigun02g204000	0
Vigun02g205200	0
Vigun03g000500	0
Vigun03g007900	0
Vigun03g008700	0
Vigun03g014400	0
Vigun03g014800	0
Vigun03g015100	0
Vigun03g016300	0
Vigun03g019400	0
Vigun03g020300	0
Vigun03g020500	0
Vigun03g022200	0
Vigun03g024900	0
Vigun03g028000	0
Vigun03g029000	0
Vigun03g029200	0
Vigun03g030200	0
Vigun03g033800	0
Vigun03g035200	0
Vigun03g036800	0
Vigun03g039000	0
Vigun03g042000	0
Vigun03g046500	0
Vigun03g046600	0
Vigun03g051600	0
Vigun03g054700	0
Vigun03g054800	0
Vigun03g055600	0
Vigun03g055700	0
Vigun03g055800	0
Vigun03g055900	0
Vigun03g056000	0
Vigun03g056100	0
Vigun03g056200	0
Vigun03g056300	0
Vigun03g056400	0
Vigun03g056500	0
Vigun03g056600	0
Vigun03g056700	0
Vigun03g056800	0
Vigun03g056900	0
Vigun03g057000	0
Vigun03g057100	0
Vigun03g057200	0
Vigun03g057300	0
Vigun03g061300	0
Vigun03g061700	0
Vigun03g062900	0
Vigun03g064000	0
Vigun03g066700	0
Vigun03g067000	0
Vigun03g069200	0
Vigun03g073200	0
Vigun03g074200	0
Vigun03g075800	0
Vigun03g075900	0
Vigun03g079800	0
Vigun03g082100	0
Vigun03g082400	0
