taxa	In11_one_hr	six_hr
Vigun04g171400	0.21	-0.59
Vigun08g210100	0.21	-0.08
Vigun02g172200	0.21	-0.93
Vigun04g174800	0.21	0.81
Vigun04g093500	0.21	-0.07
Vigun03g344600	0.21	0.34
Vigun08g103600	0.20	0.58
Vigun10g067200	0.20	-1.70
Vigun08g139600	0.20	0.31
Vigun11g198500	0.20	1.29
Vigun08g219300	0.20	0.31
Vigun05g018100	0.20	-0.73
Vigun09g142700	0.20	-0.20
Vigun09g145000	0.20	0.31
Vigun11g180800	0.20	0.94
Vigun03g229900	0.20	0.26
Vigun04g121000	0.20	-0.84
Vigun09g084600	0.20	0.18
Vigun01g021500	0.20	-0.82
Vigun01g146400	0.20	0.24
Vigun06g124500	0.20	-1.07
Vigun02g056200	0.20	1.01
Vigun01g082900	0.20	-0.91
Vigun08g196300	0.20	-0.59
Vigun01g190300	0.20	-0.91
Vigun03g111900	0.20	1.97
Vigun11g037000	0.20	0.76
Vigun01g233300	0.20	-0.38
Vigun07g275700	0.20	0.83
Vigun08g160500	0.20	-0.51
Vigun08g197900	0.20	0.24
Vigun03g231100	0.20	0.44
Vigun07g092400	0.20	-0.33
Vigun03g391600	0.20	-1.28
Vigun05g106700	0.20	-0.30
Vigun07g098800	0.20	-0.19
Vigun10g110300	0.20	0.51
Vigun03g379900	0.20	0.68
Vigun01g131900	0.20	-0.49
Vigun01g122600	0.20	-1.03
Vigun06g009300	0.20	-0.13
Vigun09g119800	0.20	0.09
Vigun05g221100	0.20	-0.45
Vigun10g088400	0.20	0.11
Vigun01g206000	0.20	-0.17
Vigun03g216100	0.20	1.42
Vigun11g003800	0.20	0.27
Vigun08g019500	0.20	0.89
Vigun03g395600	0.20	-0.47
Vigun02g168900	0.20	-0.39
Vigun03g284000	0.20	-1.22
Vigun08g020300	0.20	0.16
Vigun03g324000	0.20	0.09
Vigun01g180400	0.20	0.10
Vigun05g120700	0.20	-0.08
Vigun05g062200	0.20	0.41
Vigun07g039000	0.20	0.62
Vigun07g147900	0.20	-0.26
Vigun03g159700	0.20	-0.02
Vigun09g127400	0.20	-0.04
Vigun02g111900	0.20	1.23
Vigun03g226000	0.20	0.87
Vigun05g090600	0.20	0.17
Vigun05g052100	0.20	0.39
Vigun02g037400	0.20	-0.37
Vigun01g061600	0.20	0.59
Vigun03g338000	0.20	0.36
Vigun09g082900	0.20	-0.54
Vigun05g100700	0.20	1.94
Vigun07g181500	0.20	-0.54
Vigun01g150500	0.20	0.32
Vigun01g186500	0.20	0.17
Vigun03g039200	0.19	1.34
Vigun06g140500	0.19	-0.50
Vigun10g139400	0.19	-0.34
Vigun08g128300	0.19	-0.81
Vigun06g207300	0.19	-0.37
Vigun09g163900	0.19	0.28
Vigun09g206400	0.19	-0.37
Vigun09g171600	0.19	-0.39
Vigun05g082600	0.19	-0.31
Vigun07g262000	0.19	0.56
Vigun07g191700	0.19	0.02
Vigun07g001000	0.19	0.08
Vigun02g174100	0.19	0.83
Vigun07g236800	0.19	0.65
Vigun02g176800	0.19	0.08
Vigun03g388200	0.19	-0.84
Vigun08g109000	0.19	0.19
Vigun02g076400	0.19	0.06
Vigun04g176100	0.19	-0.18
Vigun10g135800	0.19	-0.76
Vigun07g003200	0.19	-0.33
Vigun01g251600	0.19	0.96
Vigun02g101600	0.19	-1.09
Vigun10g140500	0.19	-0.23
Vigun05g054700	0.19	0.53
Vigun03g195000	0.19	0.04
Vigun01g128300	0.19	0.52
Vigun08g195700	0.19	-0.01
Vigun01g147700	0.19	-0.18
Vigun11g126000	0.19	-0.52
Vigun09g087900	0.19	0.63
Vigun05g123100	0.19	0.24
Vigun06g005700	0.19	0.20
Vigun05g050000	0.19	-0.86
Vigun10g091500	0.19	-0.05
Vigun07g262500	0.19	0.31
Vigun05g189900	0.19	0.53
Vigun04g011600	0.19	1.44
VigunL041700	0.19	-0.51
Vigun07g193400	0.19	-0.37
Vigun07g244400	0.19	-0.16
Vigun10g148000	0.19	0.52
Vigun03g337800	0.19	-0.65
Vigun06g050500	0.19	0.59
Vigun07g007500	0.19	0.30
Vigun08g052600	0.19	-0.32
Vigun08g041300	0.19	-0.88
Vigun08g191100	0.19	-0.05
Vigun10g120200	0.19	0.56
Vigun05g018500	0.19	0.95
Vigun05g007300	0.19	-0.58
Vigun07g260200	0.19	0.20
Vigun10g001400	0.19	-0.15
Vigun03g044500	0.19	-0.26
Vigun03g245200	0.19	-0.50
Vigun10g077600	0.19	-1.00
Vigun08g111300	0.19	0.24
Vigun06g088800	0.19	1.83
Vigun11g057600	0.19	-0.47
Vigun10g105700	0.19	0.72
Vigun05g222300	0.19	1.42
Vigun08g167500	0.19	-0.77
Vigun05g223200	0.19	-1.70
Vigun01g028400	0.19	1.05
Vigun11g100700	0.19	0.59
Vigun03g385900	0.19	-0.13
Vigun10g197500	0.19	0.00
Vigun07g236300	0.19	0.06
Vigun02g042300	0.19	1.20
Vigun07g084100	0.18	0.44
Vigun10g132100	0.18	-0.36
Vigun11g163500	0.18	1.52
Vigun02g105900	0.18	0.03
Vigun04g158800	0.18	-1.05
Vigun01g015000	0.18	1.17
Vigun07g002800	0.18	-1.44
Vigun11g157700	0.18	-1.03
Vigun04g046400	0.18	0.53
Vigun07g164000	0.18	2.51
Vigun03g210700	0.18	0.44
Vigun02g059900	0.18	-0.16
Vigun09g169100	0.18	1.07
Vigun08g067200	0.18	0.30
Vigun01g131800	0.18	0.35
Vigun09g154400	0.18	0.47
Vigun05g006900	0.18	0.13
Vigun09g122600	0.18	-0.64
Vigun01g118300	0.18	0.95
Vigun02g046700	0.18	0.67
Vigun01g023800	0.18	1.39
Vigun09g038000	0.18	-0.37
Vigun09g248900	0.18	-1.33
Vigun02g125000	0.18	0.30
Vigun03g445100	0.18	-0.98
Vigun01g027200	0.18	0.20
Vigun03g351400	0.18	-1.01
Vigun02g125100	0.18	0.22
Vigun01g088100	0.18	-0.66
Vigun02g090300	0.18	-0.05
Vigun09g181400	0.18	0.21
Vigun07g230500	0.18	-1.39
Vigun03g282700	0.18	1.07
Vigun09g099900	0.18	-0.16
Vigun11g108800	0.18	0.07
Vigun02g156400	0.18	-0.70
Vigun11g169200	0.18	-0.40
Vigun08g024600	0.18	-0.28
Vigun03g022700	0.18	2.94
Vigun03g412600	0.18	0.29
Vigun05g167800	0.18	-0.77
Vigun03g373200	0.18	-0.36
Vigun05g221800	0.18	0.10
Vigun10g009900	0.18	0.70
Vigun08g062300	0.18	0.21
Vigun10g096700	0.18	-0.42
Vigun07g079900	0.18	-0.83
Vigun03g262800	0.18	0.62
Vigun03g426100	0.18	-1.13
Vigun05g189000	0.18	-1.20
Vigun06g125200	0.18	1.28
Vigun04g007200	0.18	-0.24
Vigun05g296800	0.18	-0.07
Vigun09g164900	0.18	1.31
Vigun04g161400	0.18	0.63
Vigun05g015800	0.18	-0.79
Vigun03g000700	0.18	0.39
Vigun03g105800	0.18	-0.07
Vigun03g323100	0.18	-0.37
Vigun09g105300	0.18	-0.66
Vigun04g073800	0.18	-1.30
Vigun07g127600	0.18	-0.27
Vigun04g103600	0.18	-0.08
Vigun09g226000	0.18	0.04
Vigun02g015200	0.18	0.33
Vigun10g163500	0.18	-0.24
Vigun02g135300	0.18	-0.26
Vigun11g180100	0.18	-0.62
Vigun03g037000	0.18	-0.80
Vigun05g299000	0.18	0.31
Vigun04g151600	0.18	0.49
Vigun03g124200	0.18	-0.13
Vigun11g217300	0.18	-1.23
Vigun08g011300	0.18	1.08
Vigun08g210000	0.17	-0.52
Vigun05g211200	0.17	0.67
Vigun03g237800	0.17	-0.25
Vigun06g234600	0.17	-1.39
Vigun09g251500	0.17	1.88
Vigun06g180600	0.17	0.62
Vigun03g067300	0.17	0.59
Vigun06g161100	0.17	-0.42
Vigun02g168700	0.17	0.70
Vigun03g378500	0.17	-0.15
Vigun06g181400	0.17	0.01
Vigun01g127800	0.17	2.72
Vigun02g168300	0.17	0.71
Vigun11g067500	0.17	1.24
Vigun03g391800	0.17	1.53
Vigun10g098400	0.17	-0.64
Vigun01g213800	0.17	-0.36
Vigun03g307000	0.17	0.39
Vigun09g061900	0.17	-0.84
Vigun01g101600	0.17	0.32
Vigun05g037200	0.17	0.48
Vigun11g132500	0.17	0.12
Vigun03g357200	0.17	-0.58
Vigun09g101600	0.17	-0.93
Vigun09g133600	0.17	0.14
Vigun09g202100	0.17	0.40
Vigun11g019700	0.17	-0.55
Vigun09g149300	0.17	-0.20
Vigun08g027300	0.17	-0.24
Vigun03g018800	0.17	-0.70
Vigun01g178700	0.17	-1.00
Vigun07g292300	0.17	-0.97
Vigun03g279700	0.17	-0.45
Vigun06g112600	0.17	-0.84
Vigun03g366300	0.17	0.08
Vigun02g165500	0.17	-1.54
Vigun03g255200	0.17	-0.29
Vigun09g237600	0.17	0.34
Vigun07g241000	0.17	1.47
Vigun06g179200	0.17	-0.20
Vigun03g102800	0.17	-0.43
Vigun04g095700	0.17	0.61
Vigun02g057000	0.17	0.24
Vigun04g106700	0.17	-0.34
Vigun07g069900	0.16	0.04
Vigun03g405300	0.16	0.43
Vigun09g151300	0.16	0.24
Vigun10g013500	0.16	-0.97
Vigun11g197900	0.16	-1.54
Vigun01g106400	0.16	0.62
Vigun02g072800	0.16	-0.32
Vigun09g255600	0.16	0.30
Vigun11g163100	0.16	0.07
Vigun05g074400	0.16	0.37
Vigun03g040300	0.16	0.55
Vigun07g153900	0.16	-0.19
Vigun01g103700	0.16	0.48
Vigun06g092800	0.16	-0.10
Vigun03g401600	0.16	0.14
Vigun03g306900	0.16	0.51
Vigun03g134000	0.16	-1.14
Vigun09g232000	0.16	-0.68
Vigun02g135200	0.16	-0.26
Vigun05g036100	0.16	0.13
Vigun03g369600	0.16	-0.50
Vigun10g067100	0.16	-0.41
Vigun05g218500	0.16	-0.60
Vigun10g093500	0.16	1.38
Vigun07g193300	0.16	-1.03
Vigun11g172900	0.16	0.13
Vigun03g299200	0.16	0.76
Vigun11g118900	0.16	0.55
Vigun03g240100	0.16	0.07
Vigun03g272100	0.16	1.50
Vigun01g201000	0.16	0.38
Vigun03g434700	0.16	0.07
Vigun09g087800	0.16	1.09
Vigun03g108400	0.16	-0.02
Vigun03g321900	0.16	-0.71
Vigun03g240700	0.16	1.12
Vigun03g194400	0.16	1.69
Vigun03g366100	0.16	0.28
Vigun09g144900	0.16	-0.37
Vigun08g030900	0.16	-1.51
Vigun05g180800	0.16	0.53
Vigun04g009100	0.16	-0.37
Vigun03g208500	0.16	-0.56
Vigun07g110000	0.16	0.37
Vigun08g069100	0.16	-0.48
Vigun04g153900	0.16	-1.19
Vigun04g047600	0.16	0.37
Vigun06g220000	0.16	0.35
Vigun10g116000	0.16	0.43
Vigun10g171800	0.16	0.09
Vigun02g160800	0.16	0.33
Vigun01g222300	0.16	-1.56
Vigun11g140400	0.15	-0.61
Vigun09g193300	0.15	-0.66
Vigun09g101800	0.15	0.11
Vigun09g232700	0.15	-0.08
Vigun05g203900	0.15	0.33
Vigun05g135200	0.15	0.75
Vigun04g178300	0.15	-0.45
Vigun02g171600	0.15	0.00
Vigun07g228800	0.15	-0.74
Vigun09g162200	0.15	-0.50
Vigun10g188900	0.15	0.47
Vigun02g023200	0.15	-0.21
Vigun09g269400	0.15	0.32
Vigun03g077300	0.15	0.87
Vigun08g130000	0.15	0.28
Vigun03g153900	0.15	0.20
Vigun01g220200	0.15	-1.27
Vigun07g035100	0.15	0.16
Vigun07g149300	0.15	-0.92
Vigun05g187900	0.15	-1.81
Vigun11g189000	0.15	-0.81
Vigun11g031400	0.15	-1.31
Vigun03g360900	0.15	-0.43
Vigun08g041500	0.15	0.13
Vigun06g060100	0.15	-1.01
Vigun09g119600	0.15	-1.50
Vigun03g147700	0.15	-0.45
Vigun03g066400	0.15	-1.09
Vigun01g158700	0.15	0.57
Vigun09g067700	0.15	-0.27
Vigun08g002500	0.15	-1.05
Vigun08g106000	0.15	1.34
Vigun08g139100	0.15	-0.31
Vigun05g211600	0.15	-0.59
Vigun10g182900	0.15	1.42
Vigun02g138000	0.15	-0.63
Vigun01g090300	0.15	0.08
Vigun11g188700	0.15	-0.25
Vigun09g177600	0.15	-0.27
Vigun10g030000	0.15	-0.02
Vigun01g000700	0.15	-0.31
Vigun07g088000	0.15	0.05
Vigun03g280900	0.15	0.42
Vigun07g232000	0.15	-0.40
Vigun11g052900	0.15	-0.49
Vigun04g104500	0.15	-0.41
Vigun02g091600	0.15	0.39
Vigun05g284400	0.15	0.20
Vigun06g187800	0.15	0.90
Vigun03g238100	0.15	-0.44
Vigun03g388400	0.15	0.47
Vigun01g087000	0.15	0.28
Vigun06g070200	0.15	0.32
Vigun08g145700	0.15	-0.12
Vigun03g377000	0.15	-0.24
Vigun07g207500	0.15	-0.79
Vigun01g225900	0.15	-2.48
Vigun07g254400	0.15	-0.01
Vigun09g027000	0.15	0.31
Vigun08g140500	0.15	0.31
Vigun08g021400	0.15	-0.21
Vigun09g006100	0.15	-0.08
Vigun02g069400	0.15	-0.61
Vigun06g206400	0.15	-1.02
Vigun09g243800	0.15	0.40
Vigun03g141300	0.15	2.77
Vigun04g013700	0.15	0.99
Vigun02g119200	0.15	0.24
Vigun10g007000	0.15	-1.00
Vigun05g116300	0.15	-0.69
Vigun08g059100	0.15	-0.66
Vigun03g233900	0.15	1.19
Vigun08g214300	0.15	-0.98
Vigun05g128800	0.15	0.51
Vigun06g065000	0.15	0.25
Vigun05g155900	0.15	1.00
Vigun07g068900	0.15	-0.26
Vigun07g152800	0.15	-1.25
Vigun05g134900	0.15	-0.46
Vigun09g079200	0.14	-0.07
Vigun06g224800	0.14	0.08
Vigun02g128700	0.14	0.02
Vigun07g230900	0.14	0.39
Vigun03g205600	0.14	-0.20
Vigun01g034600	0.14	-0.73
Vigun03g019700	0.14	0.58
Vigun09g227400	0.14	-0.79
Vigun05g151700	0.14	0.16
Vigun03g243600	0.14	-0.54
Vigun08g080400	0.14	0.26
Vigun11g213300	0.14	0.91
Vigun09g252900	0.14	0.21
Vigun02g062000	0.14	0.82
Vigun01g124800	0.14	0.70
Vigun09g054800	0.14	0.84
Vigun11g172300	0.14	2.00
Vigun07g002700	0.14	-0.37
Vigun05g025400	0.14	0.27
Vigun04g173000	0.14	1.66
Vigun01g162100	0.14	0.98
Vigun02g198300	0.14	0.95
Vigun08g196500	0.14	-0.65
Vigun09g001900	0.14	-1.07
Vigun07g297600	0.14	-0.02
Vigun09g124700	0.14	0.12
Vigun10g173300	0.14	0.24
Vigun08g082000	0.14	-0.44
Vigun08g028800	0.14	0.29
Vigun06g052000	0.14	-1.07
Vigun06g140700	0.14	0.02
Vigun07g057500	0.14	-0.91
Vigun10g058700	0.14	-0.21
Vigun03g160800	0.14	0.31
Vigun07g013600	0.14	-1.14
Vigun04g150800	0.14	0.10
Vigun09g075300	0.14	-0.28
Vigun02g023700	0.14	-1.55
Vigun01g143000	0.14	0.43
Vigun10g145700	0.14	0.73
Vigun05g203800	0.14	-1.13
Vigun08g202200	0.14	0.50
Vigun05g182500	0.14	-1.00
Vigun03g374400	0.14	-0.78
Vigun01g002800	0.14	-2.18
Vigun05g081600	0.14	-0.08
Vigun06g153600	0.14	0.25
Vigun08g193500	0.13	-0.26
Vigun11g018100	0.13	0.97
Vigun10g054700	0.13	-0.47
Vigun04g005700	0.13	0.00
Vigun03g219600	0.13	0.51
Vigun01g229900	0.13	-0.18
Vigun03g008300	0.13	0.47
Vigun05g221000	0.13	-0.46
Vigun07g163500	0.13	0.07
Vigun09g061600	0.13	0.01
Vigun03g169200	0.13	-0.46
Vigun01g109500	0.13	-0.08
Vigun09g004900	0.13	-0.20
Vigun06g233600	0.13	-0.26
Vigun04g167000	0.13	0.45
Vigun03g356200	0.13	-0.20
Vigun11g155100	0.13	-0.17
Vigun08g128100	0.13	-0.32
Vigun09g210600	0.13	-0.60
Vigun08g196700	0.13	0.57
Vigun03g228200	0.13	-2.12
Vigun07g148500	0.13	0.51
Vigun01g131200	0.13	-0.73
Vigun03g393000	0.13	-0.09
Vigun04g063600	0.13	0.35
Vigun11g110800	0.13	1.12
Vigun08g216600	0.13	0.36
Vigun05g229800	0.13	0.63
Vigun09g228300	0.13	-0.16
Vigun04g103900	0.13	-0.40
Vigun03g173200	0.13	-0.65
Vigun02g195300	0.13	-0.43
Vigun05g178200	0.13	-0.01
Vigun05g053200	0.13	-0.38
Vigun01g052400	0.13	-0.47
Vigun03g066100	0.13	-0.49
Vigun09g081200	0.13	0.15
Vigun03g232100	0.13	0.54
Vigun07g197900	0.13	-0.24
Vigun03g072100	0.13	-0.54
Vigun02g093800	0.13	-0.38
Vigun03g189200	0.13	1.03
Vigun06g071600	0.13	-0.41
Vigun07g090000	0.13	-0.93
Vigun07g105100	0.13	0.44
Vigun01g180300	0.13	-0.42
Vigun11g154400	0.13	-0.68
Vigun06g162100	0.13	-0.90
Vigun07g206400	0.13	-0.20
Vigun09g249200	0.13	0.19
Vigun04g023400	0.13	0.20
Vigun03g098900	0.13	-0.39
Vigun11g079200	0.13	0.31
Vigun10g021600	0.13	0.05
Vigun08g115900	0.13	-0.40
Vigun03g121600	0.13	-0.72
Vigun05g301600	0.13	-0.88
Vigun02g138600	0.13	0.15
Vigun09g140000	0.13	0.54
Vigun07g176100	0.13	2.20
Vigun01g148200	0.13	1.25
Vigun09g139300	0.13	0.17
Vigun05g034000	0.13	1.25
Vigun05g185700	0.13	-0.67
Vigun03g407600	0.13	0.07
Vigun01g212400	0.13	0.11
Vigun03g250900	0.13	-0.31
Vigun05g290300	0.13	1.73
Vigun02g197200	0.13	1.75
Vigun08g025300	0.13	-1.06
Vigun08g028100	0.13	0.52
Vigun02g026600	0.13	0.56
Vigun01g135300	0.13	-0.74
Vigun03g146800	0.13	2.92
Vigun03g432300	0.13	2.55
Vigun03g179100	0.13	-1.38
Vigun09g083100	0.13	-0.32
Vigun08g001900	0.13	-0.35
Vigun03g284400	0.13	0.15
Vigun09g220700	0.12	-0.46
Vigun01g176800	0.12	1.73
Vigun05g259600	0.12	0.83
Vigun09g125000	0.12	0.35
Vigun06g179800	0.12	0.25
Vigun05g165000	0.12	-0.06
Vigun09g045400	0.12	0.70
Vigun07g211900	0.12	0.74
Vigun04g015900	0.12	-0.74
Vigun01g085100	0.12	0.24
Vigun08g178900	0.12	-0.08
Vigun06g150800	0.12	0.00
Vigun05g013300	0.12	0.39
Vigun10g161900	0.12	1.18
Vigun11g157900	0.12	-0.51
Vigun09g189000	0.12	-1.16
Vigun03g273800	0.12	-0.45
Vigun05g204600	0.12	0.59
Vigun01g223900	0.12	0.39
Vigun03g016400	0.12	0.60
Vigun10g193700	0.12	0.19
Vigun03g439500	0.12	-1.69
Vigun04g147500	0.12	-0.48
Vigun07g124300	0.12	0.35
Vigun08g199500	0.12	3.05
Vigun06g008600	0.12	-0.85
Vigun08g221600	0.12	-0.63
Vigun01g047600	0.12	-1.30
Vigun01g165100	0.12	-0.47
Vigun02g190000	0.12	-0.14
Vigun01g170100	0.12	0.13
Vigun02g090700	0.12	0.99
Vigun02g159700	0.12	0.53
Vigun09g102400	0.12	0.99
Vigun05g190800	0.12	0.11
Vigun03g106100	0.12	0.06
Vigun08g196600	0.12	-0.61
Vigun09g054000	0.12	-0.28
Vigun05g033900	0.12	0.65
Vigun11g131600	0.12	0.19
Vigun03g218700	0.12	-0.43
Vigun03g066500	0.12	-0.65
Vigun04g152300	0.12	-0.60
Vigun09g054200	0.12	-0.91
Vigun01g246700	0.12	0.17
Vigun11g185800	0.12	2.38
Vigun03g067600	0.12	0.26
Vigun11g044800	0.12	0.02
Vigun05g304000	0.12	-0.96
Vigun02g048100	0.12	0.48
Vigun02g203400	0.12	0.67
Vigun10g187700	0.12	-0.07
Vigun07g243900	0.12	-1.43
Vigun02g067600	0.12	0.19
Vigun03g133000	0.12	-1.56
Vigun03g120200	0.12	0.04
Vigun04g051700	0.12	0.63
Vigun10g108400	0.12	1.02
Vigun05g202600	0.12	0.35
Vigun09g094500	0.12	-0.94
Vigun05g135100	0.12	0.29
Vigun06g143500	0.12	-0.50
Vigun09g156900	0.12	-0.16
Vigun06g015300	0.12	-0.71
Vigun07g118700	0.12	0.90
Vigun05g150200	0.12	-0.36
Vigun03g087900	0.11	-0.11
Vigun09g002800	0.11	0.45
Vigun05g011000	0.11	-0.50
Vigun11g191800	0.11	-0.27
Vigun05g177400	0.11	0.26
Vigun07g110500	0.11	0.88
Vigun06g036100	0.11	1.41
Vigun11g215000	0.11	-0.13
Vigun06g231000	0.11	-0.16
Vigun09g063100	0.11	-0.83
Vigun01g237500	0.11	-0.36
Vigun09g116300	0.11	0.16
Vigun03g034600	0.11	0.11
Vigun05g262800	0.11	0.33
Vigun03g002000	0.11	-0.01
Vigun01g139200	0.11	-0.82
Vigun05g032800	0.11	1.56
Vigun07g291400	0.11	-0.77
Vigun03g291200	0.11	-0.42
Vigun01g225400	0.11	0.05
Vigun04g000200	0.11	-1.09
Vigun09g181800	0.11	-0.06
Vigun06g135200	0.11	0.63
Vigun03g426400	0.11	0.09
Vigun07g166700	0.11	-0.41
Vigun03g175700	0.11	-1.03
Vigun04g003600	0.11	0.36
Vigun09g198900	0.11	0.85
Vigun07g261200	0.11	0.57
Vigun01g208100	0.11	-0.22
Vigun10g065500	0.11	0.22
Vigun03g186700	0.11	1.70
Vigun07g226000	0.11	-0.34
Vigun01g173700	0.11	-0.04
Vigun07g027800	0.11	-0.30
Vigun08g125300	0.11	1.40
Vigun01g047000	0.11	-0.64
Vigun02g194100	0.11	0.10
Vigun03g308100	0.11	0.42
Vigun07g051400	0.11	1.43
Vigun01g173500	0.11	-0.80
Vigun11g081400	0.11	0.27
Vigun05g128400	0.11	-0.10
Vigun06g139200	0.11	-1.03
Vigun04g096000	0.11	-0.04
Vigun06g201900	0.11	0.29
Vigun07g037100	0.11	0.19
Vigun03g266000	0.11	-0.86
Vigun04g012200	0.11	0.39
Vigun11g153100	0.11	-0.20
Vigun05g138200	0.11	-0.25
Vigun09g143800	0.11	-0.93
Vigun10g144300	0.11	-0.97
Vigun08g216000	0.11	0.29
Vigun02g117800	0.11	-0.80
Vigun03g081200	0.11	0.28
Vigun07g039200	0.11	0.01
Vigun05g050700	0.11	0.14
Vigun06g159800	0.11	0.72
Vigun06g113100	0.11	-0.01
Vigun06g102800	0.11	0.02
Vigun05g302600	0.11	-1.14
Vigun10g013400	0.11	-0.61
Vigun02g135400	0.11	-0.14
Vigun11g119500	0.11	0.44
Vigun09g098100	0.11	-0.85
Vigun03g099700	0.11	-0.68
Vigun08g167800	0.11	2.14
Vigun02g129200	0.11	-1.29
Vigun11g159300	0.11	0.19
Vigun03g365900	0.10	-0.79
Vigun03g208700	0.10	-0.42
Vigun04g033300	0.10	0.26
Vigun11g137400	0.10	-1.26
Vigun08g062400	0.10	-0.30
Vigun09g062000	0.10	0.41
Vigun11g155900	0.10	-0.31
Vigun07g162800	0.10	0.28
Vigun03g063100	0.10	-0.62
Vigun04g044500	0.10	-0.34
Vigun03g235800	0.10	-0.89
Vigun05g021400	0.10	-0.03
Vigun09g166100	0.10	0.62
Vigun07g138600	0.10	0.54
Vigun11g002400	0.10	-0.30
Vigun03g292600	0.10	-0.62
Vigun10g021900	0.10	1.29
Vigun07g104300	0.10	-0.35
Vigun05g180200	0.10	0.60
Vigun05g276800	0.10	0.09
Vigun03g058000	0.10	0.02
Vigun05g126800	0.10	0.75
Vigun06g214600	0.10	-0.40
Vigun01g147900	0.10	0.24
Vigun07g271200	0.10	1.26
Vigun03g178300	0.10	-1.27
Vigun03g389000	0.10	0.62
Vigun01g212600	0.10	-2.19
Vigun08g029400	0.10	-0.02
Vigun09g169400	0.10	-0.50
Vigun01g194000	0.10	-0.42
Vigun05g129200	0.10	-0.71
Vigun03g420600	0.10	0.68
Vigun06g234400	0.10	-1.41
Vigun11g129200	0.10	-0.85
Vigun05g268100	0.10	-1.26
Vigun03g009900	0.10	0.04
Vigun07g211000	0.10	0.02
Vigun03g205800	0.10	-0.08
Vigun04g122400	0.10	-0.39
Vigun09g266100	0.10	-1.18
Vigun02g067100	0.10	0.32
Vigun08g207000	0.10	0.06
Vigun05g123700	0.10	1.18
Vigun04g147100	0.10	-0.71
Vigun06g112200	0.10	0.17
Vigun01g115400	0.10	-1.10
Vigun07g092600	0.10	-0.76
Vigun05g000400	0.10	-1.95
Vigun06g087100	0.10	0.19
Vigun05g125200	0.10	0.14
Vigun05g154700	0.10	0.39
Vigun03g353300	0.10	-1.06
Vigun10g022400	0.10	0.39
Vigun11g143000	0.10	-0.17
Vigun03g295300	0.10	-0.44
Vigun03g375800	0.10	-0.27
Vigun08g004700	0.10	0.28
Vigun03g283500	0.10	0.30
Vigun03g021800	0.10	-0.75
Vigun04g195700	0.10	-0.34
Vigun03g004700	0.10	0.26
Vigun02g172500	0.10	0.27
Vigun05g076800	0.10	0.71
Vigun04g081800	0.10	0.11
Vigun05g265500	0.10	-1.06
Vigun01g242200	0.09	-0.28
Vigun08g183500	0.09	0.04
Vigun09g133400	0.09	0.01
Vigun03g271800	0.09	0.41
Vigun01g145900	0.09	-0.64
Vigun01g017300	0.09	-0.76
Vigun08g220700	0.09	-1.00
Vigun05g212100	0.09	-0.58
Vigun02g170200	0.09	0.38
Vigun01g190900	0.09	0.22
Vigun08g015900	0.09	-0.34
Vigun09g257700	0.09	-1.36
Vigun06g197200	0.09	0.36
Vigun01g027100	0.09	0.19
Vigun09g052400	0.09	0.36
Vigun03g313300	0.09	0.59
Vigun01g007900	0.09	0.93
Vigun08g179700	0.09	0.18
Vigun01g030700	0.09	-0.86
Vigun08g032700	0.09	-0.80
Vigun09g187800	0.09	0.18
Vigun03g052600	0.09	0.46
Vigun08g020400	0.09	0.00
Vigun03g016600	0.09	-0.93
Vigun10g191200	0.09	-0.33
Vigun09g065300	0.09	-0.13
Vigun05g022800	0.09	-0.07
Vigun01g133200	0.09	0.69
Vigun05g048900	0.09	-0.13
Vigun05g201500	0.09	-0.80
Vigun10g055000	0.09	-1.67
Vigun03g275300	0.09	-1.35
Vigun11g225800	0.09	-0.27
Vigun06g093400	0.09	0.00
Vigun05g085900	0.09	-0.01
Vigun02g077600	0.09	0.52
Vigun11g180200	0.09	0.29
Vigun07g155900	0.09	0.34
Vigun09g189900	0.09	0.78
Vigun02g016700	0.09	0.22
Vigun01g150700	0.09	-0.71
Vigun04g169800	0.09	0.21
Vigun08g128500	0.09	0.99
Vigun02g083800	0.09	0.61
Vigun04g040100	0.09	0.65
Vigun03g288200	0.09	-0.15
Vigun11g124700	0.09	-0.65
Vigun01g242700	0.09	-0.32
Vigun08g001700	0.09	1.10
Vigun07g089900	0.09	0.45
Vigun03g166700	0.09	0.47
Vigun02g135900	0.09	-0.20
Vigun09g072900	0.09	-0.18
Vigun07g229900	0.09	0.33
Vigun06g222300	0.09	-0.07
Vigun02g122800	0.09	-0.18
Vigun05g136200	0.09	-0.09
Vigun01g206200	0.09	-0.51
Vigun05g218800	0.09	0.27
Vigun03g190900	0.09	-0.25
Vigun03g101100	0.09	-0.48
Vigun08g076200	0.09	0.66
Vigun09g079400	0.09	0.33
Vigun03g336500	0.09	-1.20
Vigun08g023200	0.09	-1.82
Vigun08g083700	0.09	0.20
Vigun01g001800	0.09	-0.12
Vigun02g072500	0.09	1.09
Vigun04g131100	0.09	-0.38
Vigun09g086500	0.09	-0.74
Vigun03g116600	0.09	-0.57
Vigun06g196800	0.09	-1.62
Vigun05g298800	0.09	-0.96
Vigun05g094300	0.08	2.48
Vigun09g063500	0.08	-0.08
Vigun05g019000	0.08	0.29
Vigun09g158500	0.08	-0.95
Vigun01g219600	0.08	-0.52
Vigun01g192800	0.08	0.81
Vigun09g022800	0.08	-0.15
