taxa	In11_one_hr	six_hr
Vigun11g012500	1.73	0.60
Vigun06g092900	1.73	0.04
Vigun03g172400	1.72	0.00
Vigun06g210600	1.71	-0.16
Vigun07g025700	1.71	1.07
Vigun07g266900	1.71	1.07
Vigun02g029200	1.71	-0.74
Vigun03g133200	1.69	1.83
Vigun04g180400	1.69	0.88
Vigun09g240700	1.69	0.64
Vigun07g015300	1.67	0.16
Vigun09g132600	1.67	0.88
Vigun04g179800	1.67	2.39
Vigun11g086900	1.66	-0.07
Vigun01g186800	1.66	0.66
Vigun05g228000	1.66	0.71
Vigun03g185200	1.65	1.00
Vigun03g246600	1.65	1.01
Vigun06g109700	1.64	3.53
Vigun01g239000	1.64	1.38
Vigun05g255500	1.63	0.30
Vigun01g237800	1.63	0.71
Vigun06g203600	1.62	-0.43
Vigun07g171500	1.61	1.80
Vigun10g149100	1.60	-0.49
Vigun08g142800	1.60	0.38
Vigun03g384600	1.60	0.68
Vigun05g259500	1.60	-0.49
Vigun11g094300	1.59	0.90
Vigun07g242600	1.59	1.10
Vigun04g149000	1.59	4.22
Vigun11g192800	1.58	0.00
Vigun11g152700	1.57	-0.14
Vigun05g230400	1.57	-0.19
Vigun07g268100	1.56	0.36
Vigun07g205900	1.56	1.63
Vigun05g009200	1.56	0.24
Vigun03g058600	1.56	0.64
Vigun06g167100	1.55	0.17
Vigun07g144100	1.55	1.06
Vigun08g220300	1.54	0.50
Vigun09g084300	1.53	1.37
Vigun02g185200	1.52	0.82
Vigun08g002700	1.52	-0.42
Vigun04g039200	1.52	-0.04
Vigun03g337300	1.51	-0.71
Vigun06g074400	1.49	-0.99
Vigun09g133700	1.48	1.25
Vigun03g217700	1.48	-0.44
Vigun11g122500	1.47	-0.06
Vigun09g212300	1.47	0.76
Vigun10g084200	1.47	0.31
Vigun06g186500	1.47	0.72
Vigun01g042300	1.47	0.63
Vigun09g116800	1.46	0.25
Vigun01g010200	1.46	1.27
Vigun03g226400	1.45	-0.05
Vigun04g195400	1.45	0.62
Vigun08g160200	1.45	-0.48
Vigun03g157300	1.45	-0.68
Vigun02g033800	1.44	0.54
Vigun05g042200	1.44	3.12
Vigun10g025800	1.43	0.99
Vigun07g005300	1.43	3.54
Vigun09g109300	1.43	0.52
Vigun03g015500	1.42	0.21
Vigun05g113700	1.42	0.33
Vigun01g160300	1.42	0.42
Vigun06g163900	1.41	0.76
Vigun03g116700	1.41	0.28
Vigun01g146900	1.41	0.22
Vigun03g143100	1.41	0.41
Vigun05g049500	1.41	1.03
Vigun03g305800	1.37	-0.79
Vigun06g224400	1.36	-0.10
Vigun03g041100	1.36	0.95
Vigun11g043300	1.36	0.00
Vigun04g083700	1.35	1.48
Vigun11g018500	1.34	1.65
Vigun02g189900	1.34	0.83
Vigun02g162800	1.34	0.37
Vigun03g365800	1.34	0.32
Vigun09g160500	1.33	0.33
Vigun02g201000	1.32	2.78
Vigun03g415900	1.32	0.77
Vigun09g187700	1.32	0.98
Vigun06g012100	1.32	-0.79
Vigun11g007600	1.32	5.84
Vigun07g111800	1.32	1.19
Vigun03g357900	1.31	0.91
Vigun02g162900	1.31	-0.11
Vigun02g110500	1.31	0.89
Vigun01g160400	1.31	0.66
Vigun03g225400	1.29	0.13
Vigun06g176800	1.29	0.56
Vigun02g024000	1.28	-0.15
Vigun03g077100	1.28	2.61
Vigun03g134800	1.28	1.19
Vigun03g157500	1.28	1.44
Vigun04g045600	1.28	2.11
Vigun11g002200	1.28	0.14
Vigun10g049800	1.28	1.02
Vigun03g129200	1.28	0.28
Vigun11g112900	1.27	0.40
Vigun01g171800	1.27	0.20
Vigun09g139900	1.27	-0.45
Vigun11g131700	1.27	0.13
Vigun11g092900	1.27	-0.13
Vigun09g063600	1.27	0.43
Vigun04g039300	1.27	0.26
Vigun07g255900	1.27	-0.03
Vigun08g056000	1.26	0.33
Vigun03g381200	1.26	-0.89
Vigun01g129000	1.25	0.33
Vigun10g080600	1.25	0.21
Vigun03g301100	1.24	0.04
Vigun05g281000	1.24	0.36
Vigun07g169400	1.24	-0.35
Vigun01g140200	1.24	-0.22
Vigun11g040500	1.24	-0.81
Vigun03g001200	1.24	1.01
Vigun07g021600	1.24	0.27
Vigun09g030300	1.24	1.29
Vigun03g077800	1.23	-0.02
Vigun02g151500	1.23	0.99
Vigun03g063600	1.23	0.38
Vigun05g263300	1.23	0.33
Vigun06g095900	1.23	-0.50
Vigun05g240000	1.22	0.91
Vigun06g165300	1.22	1.36
Vigun03g009600	1.22	-0.05
Vigun09g141000	1.21	1.03
Vigun05g000500	1.21	0.28
Vigun10g130200	1.21	0.27
Vigun09g074000	1.21	-0.15
Vigun07g044100	1.20	0.57
Vigun05g214900	1.20	0.41
Vigun01g143400	1.20	0.17
Vigun10g098500	1.20	0.69
Vigun07g066400	1.19	0.82
Vigun01g148800	1.18	0.19
Vigun07g122000	1.18	-0.23
Vigun01g024900	1.18	0.44
Vigun03g172800	1.17	0.24
Vigun09g263100	1.17	0.19
Vigun03g008400	1.17	-0.26
Vigun06g163400	1.16	0.48
Vigun02g110400	1.16	0.99
Vigun05g082100	1.16	-0.45
Vigun06g113300	1.16	1.93
Vigun03g075000	1.16	1.18
Vigun03g325300	1.16	0.40
Vigun04g049300	1.15	0.59
Vigun03g184600	1.15	0.10
Vigun05g212600	1.15	0.44
Vigun03g095200	1.15	0.70
Vigun02g201100	1.15	0.25
Vigun07g046200	1.15	-0.34
Vigun08g124000	1.15	-0.15
Vigun09g126000	1.15	-0.18
Vigun10g001700	1.15	0.16
Vigun03g113900	1.15	-0.06
Vigun03g117800	1.14	0.02
Vigun02g155000	1.14	1.24
Vigun05g067900	1.14	2.51
Vigun05g011600	1.13	0.21
Vigun03g277400	1.13	0.14
Vigun09g264400	1.12	0.24
Vigun01g019900	1.12	0.00
Vigun10g130400	1.12	0.32
Vigun03g354900	1.11	0.16
Vigun04g062400	1.11	1.19
Vigun01g011200	1.11	0.56
Vigun03g107200	1.11	0.28
Vigun06g105700	1.10	0.37
Vigun03g189300	1.10	0.59
Vigun01g159300	1.10	-0.31
Vigun05g046000	1.10	-0.75
Vigun04g163100	1.10	-0.20
Vigun01g042400	1.10	0.44
Vigun10g148300	1.10	-0.03
Vigun07g000600	1.10	-0.49
Vigun09g006000	1.10	0.74
Vigun03g051300	1.10	-1.03
Vigun09g215300	1.09	-0.13
Vigun10g181600	1.09	0.58
Vigun11g171300	1.08	0.48
Vigun03g222900	1.08	0.60
Vigun06g219100	1.06	1.03
Vigun05g112300	1.06	-0.42
