taxa	nodule	root	21d_leaf
MtrunA17_Chr2g0314411	-3.32	7.14	9.29
MtrunA17_Chr2g0314421	1.43	-6.64	-6.64
MtrunA17_Chr2g0314431	-3.32	-6.64	1.00
MtrunA17_Chr2g0314441	2.35	7.64	7.69
MtrunA17_Chr2g0314451	-1.74	2.43	-6.64
MtrunA17_Chr2g0314461	-1.74	7.97	3.98
MtrunA17_Chr2g0314471	-1.74	4.19	12.61
MtrunA17_Chr2g0314481	2.91	7.66	8.90
MtrunA17_Chr2g0314491	11.22	8.74	8.22
MtrunA17_Chr2g0314501	-0.32	-6.64	-6.64
MtrunA17_Chr2g0314511	9.68	-6.64	-6.64
MtrunA17_Chr2g0314521	10.76	-6.64	-6.64
MtrunA17_Chr2g0314531	-6.64	-6.64	-6.64
MtrunA17_Chr2g0314541	14.29	-1.74	-6.64
MtrunA17_Chr2g0314551	6.85	-6.64	-6.64
MtrunA17_Chr2g0314561	4.13	8.38	6.56
MtrunA17_Chr2g0314571	6.17	8.50	9.08
MtrunA17_Chr2g0314581	-1.74	3.68	5.20
MtrunA17_Chr2g0314591	-2.32	0.00	-6.64
MtrunA17_Chr2g0314601	8.59	12.08	12.25
MtrunA17_Chr2g0314611	-3.32	2.00	2.68
MtrunA17_Chr2g0314621	1.43	8.92	10.21
MtrunA17_Chr2g0314631	9.55	-6.64	-6.64
MtrunA17_Chr2g0314641	9.91	-6.64	-6.64
MtrunA17_Chr2g0314651	10.97	-6.64	-6.64
MtrunA17_Chr2g0314661	5.15	6.02	7.27
MtrunA17_Chr2g0314671	3.74	4.94	10.39
MtrunA17_Chr2g0314681	5.99	7.80	9.38
MtrunA17_Chr2g0314682	-6.64	-6.64	-6.64
MtrunA17_Chr2g0314691	2.14	-6.64	-6.64
MtrunA17_Chr2g0314701	-0.32	-6.64	-6.64
MtrunA17_Chr2g0314711	3.82	-6.64	-6.64
MtrunA17_Chr2g0314721	-6.64	7.08	7.61
MtrunA17_Chr2g0314731	-6.64	2.68	-6.64
MtrunA17_Chr2g0314741	-0.15	7.16	6.34
MtrunA17_Chr2g0314751	2.07	3.12	2.61
MtrunA17_Chr2g0314761	-6.64	1.07	1.49
MtrunA17_Chr2g0314771	-6.64	-6.64	-6.64
MtrunA17_Chr2g0314781	-6.64	0.38	-6.64
MtrunA17_Chr2g0314791	4.80	7.46	6.96
MtrunA17_Chr2g0314801	1.07	10.84	10.51
MtrunA17_Chr2g0314811	7.48	-6.64	-6.64
MtrunA17_Chr2g0314821	4.10	8.44	7.96
MtrunA17_Chr2g0314831	-6.64	2.85	2.43
MtrunA17_Chr2g0314841	4.41	9.97	4.59
MtrunA17_Chr2g0314851	7.91	-0.15	-6.64
MtrunA17_Chr2g0314861	0.58	2.94	5.54
MtrunA17_Chr2g0314871	-1.74	4.15	6.83
MtrunA17_Chr2g0314881	-6.64	2.70	0.77
MtrunA17_Chr2g0314891	-6.64	1.89	-6.64
MtrunA17_Chr2g0314901	-3.32	4.43	1.43
MtrunA17_Chr2g0314911	-6.64	4.93	8.04
MtrunA17_Chr2g0314921	-6.64	0.00	-6.64
MtrunA17_Chr2g0314931	11.10	-6.64	-6.64
MtrunA17_Chr2g0314941	3.67	2.17	1.93
MtrunA17_Chr2g0314951	0.26	-6.64	-6.64
MtrunA17_Chr2g0314961	-6.64	-6.64	4.15
MtrunA17_Chr2g0314971	-6.64	-6.64	-1.74
MtrunA17_Chr2g0314981	-6.64	-6.64	3.47
MtrunA17_Chr2g0314991	-3.32	7.31	11.63
MtrunA17_Chr2g0315001	-6.64	-6.64	5.50
MtrunA17_Chr2g0315011	-6.64	-1.74	8.28
MtrunA17_Chr2g0315021	-3.32	-6.64	9.67
MtrunA17_Chr2g0315031	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315041	-3.32	1.32	6.84
MtrunA17_Chr2g0315051	-6.64	-6.64	5.33
MtrunA17_Chr2g0315061	-6.64	-6.64	8.49
MtrunA17_Chr2g0315071	-6.64	-1.74	8.30
MtrunA17_Chr2g0315081	4.50	3.54	9.61
MtrunA17_Chr2g0315091	8.48	-6.64	-6.64
MtrunA17_Chr2g0315101	1.20	-6.64	-6.64
MtrunA17_Chr2g0315111	-1.74	-6.64	-6.64
MtrunA17_Chr2g0315121	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315131	0.93	8.98	11.11
MtrunA17_Chr2g0315141	-3.32	-6.64	-6.64
MtrunA17_Chr2g0315151	5.52	10.25	9.66
MtrunA17_Chr2g0315161	-6.64	-1.74	-6.64
MtrunA17_Chr2g0315171	6.57	9.46	10.26
MtrunA17_Chr2g0315181	2.79	7.96	9.21
MtrunA17_Chr2g0315191	-3.32	1.00	-1.74
MtrunA17_Chr2g0315201	-3.32	8.07	1.43
MtrunA17_Chr2g0315211	8.12	9.96	11.36
MtrunA17_Chr2g0315221	3.78	4.15	4.82
MtrunA17_Chr2g0315231	6.63	8.04	8.62
MtrunA17_Chr2g0315241	-1.74	3.17	-0.15
MtrunA17_Chr2g0315251	1.89	7.32	6.49
MtrunA17_Chr2g0315261	-3.32	0.00	0.00
MtrunA17_Chr2g0315271	-6.64	-6.64	-1.74
MtrunA17_Chr2g0315281	-6.64	-6.64	-1.74
MtrunA17_Chr2g0315291	3.35	4.60	4.05
MtrunA17_Chr2g0315301	-3.32	3.73	2.10
MtrunA17_Chr2g0315311	-0.51	4.36	3.12
MtrunA17_Chr2g0315321	4.51	7.11	5.92
MtrunA17_Chr2g0315331	1.43	4.52	-0.51
MtrunA17_Chr2g0315341	-6.64	2.00	-6.64
MtrunA17_Chr2g0315351	-6.64	0.58	-6.64
MtrunA17_Chr2g0315361	-1.74	-6.64	2.61
MtrunA17_Chr2g0315371	-6.64	1.54	3.52
MtrunA17_Chr2g0315381	-6.64	1.68	-6.64
MtrunA17_Chr2g0315391	-6.64	-2.32	-6.64
MtrunA17_Chr2g0315401	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315411	5.86	9.21	10.29
MtrunA17_Chr2g0315421	6.57	11.04	5.89
MtrunA17_Chr2g0315431	3.25	8.82	7.13
MtrunA17_Chr2g0315441	3.51	-6.64	-6.64
MtrunA17_Chr2g0315451	5.07	-6.64	-1.74
MtrunA17_Chr2g0315461	-1.74	1.14	-6.64
MtrunA17_Chr2g0315471	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315481	6.22	8.54	8.22
MtrunA17_Chr2g0315491	4.81	5.75	-6.64
MtrunA17_Chr2g0315501	6.52	8.09	8.28
MtrunA17_Chr2g0315511	6.55	8.91	7.27
MtrunA17_Chr2g0315521	8.08	10.26	10.55
MtrunA17_Chr2g0315531	7.61	9.67	6.04
MtrunA17_Chr2g0315541	-6.64	-6.64	-1.74
MtrunA17_Chr2g0315551	8.92	10.68	10.64
MtrunA17_Chr2g0315561	9.55	2.72	7.67
MtrunA17_Chr2g0315571	8.03	8.22	8.14
MtrunA17_Chr2g0315581	-3.32	0.38	-6.64
MtrunA17_Chr2g0315591	-6.64	-1.74	-6.64
MtrunA17_Chr2g0315601	10.12	8.78	0.00
MtrunA17_Chr2g0315611	-1.74	1.20	-6.64
MtrunA17_Chr2g0315621	3.22	-6.64	-6.64
MtrunA17_Chr2g0315631	0.38	-6.64	-6.64
MtrunA17_Chr2g0315641	6.65	8.66	9.71
MtrunA17_Chr2g0315651	-3.32	1.00	-6.64
MtrunA17_Chr2g0315661	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315671	-3.32	-6.64	-6.64
MtrunA17_Chr2g0315681	-3.32	-6.64	-6.64
MtrunA17_Chr2g0315691	-1.74	-6.64	-6.64
MtrunA17_Chr2g0315701	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315711	-2.32	-6.64	-6.64
MtrunA17_Chr2g0315721	5.24	5.58	5.69
MtrunA17_Chr2g0315731	-0.51	2.70	4.42
MtrunA17_Chr2g0315741	0.14	-6.64	-6.64
MtrunA17_Chr2g0315751	7.06	9.10	8.55
MtrunA17_Chr2g0315761	6.91	8.54	10.82
MtrunA17_Chr2g0315771	-1.74	8.22	10.24
MtrunA17_Chr2g0315781	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315791	6.96	9.04	4.91
MtrunA17_Chr2g0315801	-1.32	0.38	-6.64
MtrunA17_Chr2g0315811	1.43	-6.64	2.32
MtrunA17_Chr2g0315821	-3.32	-6.64	-0.74
MtrunA17_Chr2g0315831	0.49	-6.64	1.43
MtrunA17_Chr2g0315841	8.31	6.38	3.94
MtrunA17_Chr2g0315851	6.46	10.62	-6.64
MtrunA17_Chr2g0315861	-3.32	-6.64	-6.64
MtrunA17_Chr2g0315871	-3.32	-0.51	-6.64
MtrunA17_Chr2g0315881	-0.15	-6.64	-6.64
MtrunA17_Chr2g0315891	11.07	14.47	12.44
MtrunA17_Chr2g0315892	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315901	6.59	8.40	8.34
MtrunA17_Chr2g0315911	-3.32	-6.64	-6.64
MtrunA17_Chr2g0315921	-6.64	0.00	-6.64
MtrunA17_Chr2g0315931	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315941	-1.74	-6.64	-6.64
MtrunA17_Chr2g0315951	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315961	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315971	-6.64	-6.64	-6.64
MtrunA17_Chr2g0315981	-6.64	0.00	-0.51
MtrunA17_Chr2g0315991	-6.64	-6.64	0.00
MtrunA17_Chr2g0316001	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316011	8.29	11.52	11.63
MtrunA17_Chr2g0316021	-1.32	3.90	10.07
MtrunA17_Chr2g0316031	-6.64	-6.64	3.46
MtrunA17_Chr2g0316041	-6.64	1.54	8.06
MtrunA17_Chr2g0316051	-3.32	-6.64	-6.64
MtrunA17_Chr2g0316061	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316071	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316081	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316091	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316101	3.94	-6.64	-6.64
MtrunA17_Chr2g0316111	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316121	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316131	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316141	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316151	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316161	-3.32	-6.64	-6.64
MtrunA17_Chr2g0316171	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316181	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316191	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316201	11.06	12.19	12.49
MtrunA17_Chr2g0316211	9.87	9.67	9.96
MtrunA17_Chr2g0316221	7.22	11.18	9.94
MtrunA17_Chr2g0316231	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316241	5.34	8.72	7.07
MtrunA17_Chr2g0316251	6.65	9.80	11.02
MtrunA17_Chr2g0316261	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316271	8.36	10.62	10.96
MtrunA17_Chr2g0316281	7.22	10.91	12.30
MtrunA17_Chr2g0316291	1.38	6.38	7.32
MtrunA17_Chr2g0316301	-6.64	5.93	0.77
MtrunA17_Chr2g0316311	8.96	11.29	12.88
MtrunA17_Chr2g0316321	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316331	3.72	6.98	9.44
MtrunA17_Chr2g0316341	-3.32	-0.51	-6.64
MtrunA17_Chr2g0316351	-6.64	2.58	-6.64
MtrunA17_Chr2g0316361	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316371	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316381	-2.32	-1.74	-6.64
MtrunA17_Chr2g0316391	7.56	5.62	4.57
MtrunA17_Chr2g0316401	-1.00	10.57	7.63
MtrunA17_Chr2g0316411	-6.64	-1.74	1.43
MtrunA17_Chr2g0316421	-6.64	0.38	-0.51
MtrunA17_Chr2g0316431	7.81	11.49	12.20
MtrunA17_Chr2g0316441	-2.32	-0.51	7.65
MtrunA17_Chr2g0316451	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316461	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316471	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316481	-6.64	-6.64	-1.74
MtrunA17_Chr2g0316491	7.96	9.16	9.40
MtrunA17_Chr2g0316501	4.10	1.63	1.00
MtrunA17_Chr2g0316511	8.39	9.80	9.77
MtrunA17_Chr2g0316521	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316531	1.54	9.01	9.68
MtrunA17_Chr2g0316541	-0.74	8.05	6.01
MtrunA17_Chr2g0316551	2.79	8.48	5.88
MtrunA17_Chr2g0316561	5.18	7.35	8.58
MtrunA17_Chr2g0316571	-3.32	2.20	0.38
MtrunA17_Chr2g0316581	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316591	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316601	6.52	10.26	10.83
MtrunA17_Chr2g0316611	-3.32	-6.64	-6.64
MtrunA17_Chr2g0316621	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316631	-1.74	-6.64	2.74
MtrunA17_Chr2g0316641	-6.64	2.91	-1.74
MtrunA17_Chr2g0316651	-6.64	1.63	-6.64
MtrunA17_Chr2g0316661	-6.64	1.63	-6.64
MtrunA17_Chr2g0316671	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316681	-6.64	4.03	-6.64
MtrunA17_Chr2g0316691	-6.64	3.97	-6.64
MtrunA17_Chr2g0316701	-6.64	0.38	-6.64
MtrunA17_Chr2g0316711	-6.64	2.81	-6.64
MtrunA17_Chr2g0316721	5.49	7.67	8.41
MtrunA17_Chr2g0316731	6.19	8.35	8.37
MtrunA17_Chr2g0316741	6.17	10.06	9.63
MtrunA17_Chr2g0316751	0.93	4.58	11.17
MtrunA17_Chr2g0316761	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316771	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316781	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316791	-6.64	-1.32	-6.64
MtrunA17_Chr2g0316801	-6.64	1.89	-0.51
MtrunA17_Chr2g0316811	-3.32	-6.64	-6.64
MtrunA17_Chr2g0316821	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316831	-6.64	4.32	5.10
MtrunA17_Chr2g0316841	1.72	8.10	8.82
MtrunA17_Chr2g0316851	6.77	9.32	10.44
MtrunA17_Chr2g0316861	6.05	7.50	7.66
MtrunA17_Chr2g0316871	3.42	7.83	8.48
MtrunA17_Chr2g0316881	7.16	9.59	9.76
MtrunA17_Chr2g0316891	-2.32	1.68	2.54
MtrunA17_Chr2g0316901	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316911	6.99	-6.64	-6.64
MtrunA17_Chr2g0316921	0.77	5.21	4.36
MtrunA17_Chr2g0316931	10.76	7.03	7.57
MtrunA17_Chr2g0316941	3.19	10.09	11.53
MtrunA17_Chr2g0316951	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316961	-6.64	-6.64	-6.64
MtrunA17_Chr2g0316971	-1.74	-6.64	-6.64
MtrunA17_Chr2g0316981	6.66	11.97	5.93
MtrunA17_Chr2g0316991	12.91	-6.64	0.00
MtrunA17_Chr2g0317001	6.34	9.77	10.53
MtrunA17_Chr2g0317011	5.12	9.13	6.87
MtrunA17_Chr2g0317021	7.36	11.21	12.47
MtrunA17_Chr2g0317031	-6.64	-1.74	-6.64
MtrunA17_Chr2g0317041	-3.32	-6.64	-6.64
MtrunA17_Chr2g0317051	0.85	3.00	-6.64
MtrunA17_Chr2g0317061	-6.64	-6.64	1.58
MtrunA17_Chr2g0317071	6.26	10.30	7.91
MtrunA17_Chr2g0317081	-6.64	2.29	-6.64
MtrunA17_Chr2g0317091	0.49	2.87	3.34
MtrunA17_Chr2g0317101	4.26	6.03	6.50
MtrunA17_Chr2g0317111	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317121	7.37	9.75	3.55
MtrunA17_Chr2g0317131	1.07	4.61	4.60
MtrunA17_Chr2g0317141	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317151	0.38	6.37	8.19
MtrunA17_Chr2g0317161	-3.32	6.82	10.70
MtrunA17_Chr2g0317171	-2.32	5.49	7.07
MtrunA17_Chr2g0317181	-6.64	1.49	2.81
MtrunA17_Chr2g0317191	-6.64	-0.51	0.77
MtrunA17_Chr2g0317201	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317211	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317221	-6.64	0.85	-1.74
MtrunA17_Chr2g0317231	2.00	11.67	12.81
MtrunA17_Chr2g0317241	-1.32	9.20	7.80
MtrunA17_Chr2g0317251	5.45	9.05	10.93
MtrunA17_Chr2g0317261	-3.32	-6.64	-6.64
MtrunA17_Chr2g0317271	-2.32	-6.64	-6.64
MtrunA17_Chr2g0317281	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317291	-3.32	-6.64	-6.64
MtrunA17_Chr2g0317301	7.75	11.07	12.06
MtrunA17_Chr2g0317311	0.58	-6.64	-6.64
MtrunA17_Chr2g0317321	8.02	9.50	11.34
MtrunA17_Chr2g0317331	0.77	9.89	10.72
MtrunA17_Chr2g0317341	-6.64	-1.74	-0.51
MtrunA17_Chr2g0317351	5.51	-6.64	-6.64
MtrunA17_Chr2g0317361	12.34	-6.64	-6.64
MtrunA17_Chr2g0317371	-2.32	3.70	-6.64
MtrunA17_Chr2g0317381	-1.74	-6.64	-6.64
MtrunA17_Chr2g0317391	-3.32	-6.64	-6.64
MtrunA17_Chr2g0317401	3.25	6.66	8.85
MtrunA17_Chr2g0317411	9.88	12.36	12.88
MtrunA17_Chr2g0317421	6.15	-6.64	-6.64
MtrunA17_Chr2g0317431	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317441	6.04	8.17	9.58
MtrunA17_Chr2g0317451	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317461	0.00	-6.64	-6.64
MtrunA17_Chr2g0317471	-3.32	-6.64	-6.64
MtrunA17_Chr2g0317481	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317491	4.77	9.18	10.92
MtrunA17_Chr2g0317501	7.95	9.79	10.55
MtrunA17_Chr2g0317511	7.41	9.33	9.58
MtrunA17_Chr2g0317521	-0.32	5.59	4.25
MtrunA17_Chr2g0317531	2.89	1.96	1.07
MtrunA17_Chr2g0317541	9.35	10.08	9.98
MtrunA17_Chr2g0317551	-3.32	-6.64	3.28
MtrunA17_Chr2g0317561	-3.32	4.96	6.22
MtrunA17_Chr2g0317571	-6.64	1.32	7.15
MtrunA17_Chr2g0317581	3.36	6.04	6.61
MtrunA17_Chr2g0317591	-6.64	-6.64	-6.64
MtrunA17_Chr2g0317601	5.35	8.34	7.57
MtrunA17_Chr2g0317611	4.05	4.68	4.82
MtrunA17_Chr2g0317621	3.00	6.38	5.77
MtrunA17_Chr2g0317631	5.58	8.51	7.80
MtrunA17_Chr2g0317641	2.00	7.61	6.98
MtrunA17_Chr2g0317651	0.58	8.43	14.34
MtrunA17_Chr2g0317661	6.94	9.01	9.57
MtrunA17_Chr2g0317671	-6.64	-1.74	-6.64
MtrunA17_Chr2g0317681	6.82	9.01	9.71
MtrunA17_Chr2g0317691	-0.51	-1.74	0.00
MtrunA17_Chr2g0317701	0.58	5.69	-6.64
MtrunA17_Chr2g0317711	9.19	3.55	-6.64
MtrunA17_Chr2g0317721	10.93	-1.74	-6.64
MtrunA17_Chr2g0317731	7.95	9.85	11.99
MtrunA17_Chr2g0317741	-6.64	3.70	4.74
MtrunA17_Chr2g0317751	-6.64	5.55	2.81
MtrunA17_Chr2g0317761	7.54	9.70	9.60
MtrunA17_Chr2g0317771	4.10	0.26	-6.64
MtrunA17_Chr2g0317781	12.14	-6.64	-6.64
MtrunA17_Chr2g0317791	5.28	8.14	7.02
MtrunA17_Chr2g0317801	6.42	8.63	7.65
MtrunA17_Chr2g0317811	9.50	11.41	12.65
MtrunA17_Chr2g0317821	2.89	8.33	8.65
MtrunA17_Chr2g0317831	5.93	9.36	9.94
MtrunA17_Chr2g0317841	1.00	7.46	9.22
MtrunA17_Chr2g0317851	6.53	8.11	8.62
MtrunA17_Chr2g0317861	5.51	10.08	9.78
MtrunA17_Chr2g0317871	8.87	10.10	7.49
MtrunA17_Chr2g0317881	7.28	8.95	3.05
MtrunA17_Chr2g0317891	1.54	-6.64	-6.64
MtrunA17_Chr2g0317901	12.28	11.10	13.65
MtrunA17_Chr2g0317911	3.49	7.12	4.34
MtrunA17_Chr2g0317921	3.39	8.20	15.26
MtrunA17_Chr2g0317931	7.64	10.01	10.04
MtrunA17_Chr2g0317941	-6.64	0.77	-6.64
MtrunA17_Chr2g0317951	6.97	10.19	10.92
MtrunA17_Chr2g0317961	2.10	-6.64	-6.64
MtrunA17_Chr2g0317971	4.18	6.14	0.77
MtrunA17_Chr2g0317981	2.79	2.87	-6.64
MtrunA17_Chr2g0317991	-0.32	2.74	-6.64
MtrunA17_Chr2g0318001	0.38	3.22	0.00
MtrunA17_Chr2g0318011	12.59	12.60	9.80
MtrunA17_Chr2g0318021	0.38	9.95	0.58
MtrunA17_Chr2g0318031	-3.32	9.48	7.75
MtrunA17_Chr2g0318041	-1.74	-2.32	-1.00
MtrunA17_Chr2g0318051	-3.32	-2.32	1.00
MtrunA17_Chr2g0318052	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318061	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318071	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318081	0.93	9.49	11.45
MtrunA17_Chr2g0318091	-6.64	-6.64	1.43
MtrunA17_Chr2g0318101	3.61	7.47	9.36
MtrunA17_Chr2g0318111	-3.32	4.47	5.14
MtrunA17_Chr2g0318121	4.59	7.49	7.47
MtrunA17_Chr2g0318131	5.58	8.37	12.49
MtrunA17_Chr2g0318141	-6.64	-6.64	-1.74
MtrunA17_Chr2g0318151	7.82	10.80	11.60
MtrunA17_Chr2g0318161	0.77	-6.64	-1.74
MtrunA17_Chr2g0318171	-6.64	-6.64	4.58
MtrunA17_Chr2g0318181	-1.74	3.88	2.00
MtrunA17_Chr2g0318191	-3.32	3.29	-1.00
MtrunA17_Chr2g0318201	-1.74	2.81	-6.64
MtrunA17_Chr2g0318211	-1.74	3.12	0.00
MtrunA17_Chr2g0318221	-6.64	-0.51	-6.64
MtrunA17_Chr2g0318231	-3.32	1.58	-6.64
MtrunA17_Chr2g0318241	7.58	8.59	7.36
MtrunA17_Chr2g0318251	0.77	1.72	0.77
MtrunA17_Chr2g0318261	13.02	-6.64	-6.64
MtrunA17_Chr2g0318271	3.25	-6.64	-6.64
MtrunA17_Chr2g0318281	-6.64	3.58	1.49
MtrunA17_Chr2g0318291	-6.64	2.17	0.85
MtrunA17_Chr2g0318301	8.22	9.54	9.32
MtrunA17_Chr2g0318311	-1.00	4.22	0.00
MtrunA17_Chr2g0318321	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318331	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318341	0.14	7.00	-6.64
MtrunA17_Chr2g0318351	9.41	10.23	9.64
MtrunA17_Chr2g0318361	-6.64	-6.64	-1.74
MtrunA17_Chr2g0318371	4.96	8.15	11.05
MtrunA17_Chr2g0318381	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318391	7.81	10.51	11.65
MtrunA17_Chr2g0318401	-3.32	-6.64	0.00
MtrunA17_Chr2g0318411	6.54	9.20	7.72
MtrunA17_Chr2g0318421	7.05	8.46	8.19
MtrunA17_Chr2g0318431	8.59	11.27	12.73
MtrunA17_Chr2g0318441	6.05	8.21	9.94
MtrunA17_Chr2g0318451	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318461	-0.32	-6.64	-6.64
MtrunA17_Chr2g0318471	-1.00	-6.64	-6.64
MtrunA17_Chr2g0318481	5.08	6.18	5.38
MtrunA17_Chr2g0318491	0.14	-6.64	-6.64
MtrunA17_Chr2g0318501	6.66	9.15	10.11
MtrunA17_Chr2g0318511	7.23	8.98	9.71
MtrunA17_Chr2g0318521	4.30	8.90	15.98
MtrunA17_Chr2g0318531	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318541	7.54	9.05	9.67
MtrunA17_Chr2g0318551	-3.32	-6.64	-1.74
MtrunA17_Chr2g0318561	-2.32	4.06	2.87
MtrunA17_Chr2g0318571	-3.32	3.88	-6.64
MtrunA17_Chr2g0318581	4.67	9.85	10.15
MtrunA17_Chr2g0318591	-3.32	-0.51	-1.74
MtrunA17_Chr2g0318601	9.44	6.99	3.12
MtrunA17_Chr2g0318611	10.84	7.50	3.55
MtrunA17_Chr2g0318621	1.20	-6.64	-6.64
MtrunA17_Chr2g0318631	-3.32	-6.64	-6.64
MtrunA17_Chr2g0318641	0.38	-1.74	-6.64
MtrunA17_Chr2g0318651	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318661	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318671	8.53	10.52	12.31
MtrunA17_Chr2g0318681	-0.51	-6.64	-6.64
MtrunA17_Chr2g0318691	-3.32	-6.64	-6.64
MtrunA17_Chr2g0318701	-1.74	-6.64	-6.64
MtrunA17_Chr2g0318711	4.19	7.44	9.52
MtrunA17_Chr2g0318721	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318731	-0.15	-6.64	-6.64
MtrunA17_Chr2g0318741	-3.32	0.77	-6.64
MtrunA17_Chr2g0318751	-3.32	-0.51	-6.64
MtrunA17_Chr2g0318761	0.38	2.94	2.94
MtrunA17_Chr2g0318771	-3.32	-6.64	-6.64
MtrunA17_Chr2g0318781	-0.32	0.38	-6.64
MtrunA17_Chr2g0318791	-6.64	2.10	0.38
MtrunA17_Chr2g0318801	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318811	-6.64	4.54	10.04
MtrunA17_Chr2g0318821	8.89	11.20	11.14
MtrunA17_Chr2g0318831	-2.32	7.74	7.69
MtrunA17_Chr2g0318841	-6.64	5.64	7.67
MtrunA17_Chr2g0318851	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318861	12.99	8.85	11.97
MtrunA17_Chr2g0318871	0.49	14.70	-6.64
MtrunA17_Chr2g0318881	-3.32	5.62	-6.64
MtrunA17_Chr2g0318891	-6.64	7.87	-6.64
MtrunA17_Chr2g0318901	-6.64	0.49	-6.64
MtrunA17_Chr2g0318911	-1.32	3.80	1.58
MtrunA17_Chr2g0318921	2.41	6.53	-6.64
MtrunA17_Chr2g0318931	5.97	16.20	-1.74
MtrunA17_Chr2g0318941	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318951	-0.74	-1.74	3.22
MtrunA17_Chr2g0318961	6.99	11.32	11.57
MtrunA17_Chr2g0318971	0.77	8.95	9.35
MtrunA17_Chr2g0318981	-6.64	-6.64	-6.64
MtrunA17_Chr2g0318991	3.78	5.31	5.66
MtrunA17_Chr2g0318992	-6.64	-6.64	-6.64
MtrunA17_Chr2g0319001	-1.00	9.87	8.68
MtrunA17_Chr2g0319011	-3.32	-6.64	-6.64
MtrunA17_Chr2g0319021	-3.32	-6.64	-6.64
MtrunA17_Chr2g0319031	-3.32	-6.64	-6.64
MtrunA17_Chr2g0319041	-3.32	-6.64	3.63
MtrunA17_Chr2g0319051	-6.64	-1.74	-6.64
MtrunA17_Chr2g0319061	-6.64	-6.64	-6.64
MtrunA17_Chr2g0319071	-3.32	-1.74	-6.64
MtrunA17_Chr2g0319081	-3.32	5.90	-6.64
MtrunA17_Chr2g0319091	6.11	7.95	11.82
MtrunA17_Chr2g0319101	5.21	9.44	9.87
MtrunA17_Chr2g0319111	6.40	8.57	12.16
