taxa	NGP_WH_1h_l2FC	NGP_InH_1h_l2FC	NGP_flg22H_1h_l2FC	NGP_WH_6h_l2FC	NGP_InH_6h_l2FC	NGP_flg22H_6h_l2FC
Vigun01g045101	-0.07	-0.24	5.59	0.22	-1.41	0.54
Vigun09g250300	-2.09	0.17	5.09	6.70	7.53	0.52
Vigun11g073500	-0.07	-0.24	4.83	-1.33	-0.03	-0.26
Vigun03g199200	-0.07	3.09	4.27	5.26	8.22	0.91
Vigun11g164200	-0.79	6.69	4.05	0.12	3.55	2.43
Vigun10g033800	-0.07	2.99	3.88	1.01	0.60	-0.21
Vigun02g013000	-1.37	1.67	3.83	6.91	6.80	-0.05
Vigun02g129000	-0.79	7.15	3.81	2.69	4.21	0.69
Vigun06g160200	-0.07	5.97	3.78	3.00	4.88	1.80
Vigun09g264866	-2.79	1.22	3.77	0.40	0.67	0.67
Vigun02g098400	15.69	0.00	3.76	29.96	0.00	-7.30
Vigun05g224600	-0.07	3.65	3.70	5.17	5.89	0.36
Vigun03g190300	-4.42	-1.34	3.66	-3.42	-1.48	1.74
Vigun01g024100	1.38	3.52	3.58	7.26	8.85	0.91
Vigun01g225000	-0.07	2.80	3.58	5.70	7.11	0.64
Vigun02g103901	-2.08	0.29	3.53	3.30	4.54	0.92
Vigun05g089300	1.87	3.82	3.53	5.48	7.89	0.77
Vigun06g153900	-0.07	-0.24	3.49	0.80	2.62	1.14
Vigun07g265600	0.65	0.48	3.48	-0.60	0.03	-0.26
Vigun09g192900	-2.56	-0.72	3.47	1.22	-1.45	0.58
Vigun09g052600	1.36	3.78	3.43	8.56	9.52	0.31
Vigun01g005800	-1.52	-0.07	3.29	4.71	5.14	0.25
Vigun04g001801	-0.79	-0.24	3.24	1.03	0.59	-0.60
Vigun02g127500	-1.52	1.12	3.17	-0.60	-0.69	2.27
Vigun05g231700	-0.64	3.61	3.16	3.51	4.28	0.90
Vigun02g053800	0.65	4.19	3.16	4.69	4.89	0.26
Vigun06g159100	-0.07	3.66	3.14	5.01	8.19	1.47
Vigun03g141500	-0.07	2.20	3.13	4.82	6.27	1.07
Vigun10g178900	0.65	3.90	3.11	0.64	-1.41	-2.23
Vigun07g055700	-0.79	1.49	3.11	0.12	0.03	2.42
Vigun08g038750	-4.04	-2.91	3.11	-0.57	-0.73	-0.30
Vigun07g245500	0.65	1.22	3.08	-0.60	0.03	3.48
Vigun01g099932	-3.33	-2.06	3.06	-0.56	-0.21	0.30
Vigun03g049100	-2.10	0.76	3.05	-3.63	-3.71	1.22
Vigun04g075300	-2.45	-0.57	3.03	0.03	-1.36	-0.27
Vigun03g142100	-1.07	-0.25	3.02	5.29	6.99	1.40
Vigun03g050300	-1.39	-0.23	3.01	7.35	6.74	-0.91
Vigun11g013401	-2.77	-2.22	3.01	0.68	1.04	-0.81
Vigun05g246732	1.31	2.05	3.01	2.26	7.71	3.08
Vigun03g270050	-2.94	-0.59	2.97	-1.52	-0.56	0.86
Vigun03g418300	-1.52	-0.97	2.97	-1.33	1.94	2.68
Vigun02g075200	1.86	6.25	2.96	5.59	7.40	0.86
Vigun11g046000	1.12	2.01	2.96	4.25	8.78	2.57
Vigun07g121400	0.65	1.79	2.96	5.45	8.58	1.35
Vigun03g306400	-0.07	2.80	2.95	4.65	7.89	1.13
Vigun06g075600	0.00	1.75	2.94	0.00	-0.69	0.46
Vigun05g003500	0.65	4.77	2.91	3.53	5.15	-0.52
Vigun03g096000	1.06	2.12	2.91	6.82	8.11	0.51
VigunL028201	-4.12	-1.99	2.90	-4.09	-4.90	0.43
Vigun01g220400	0.65	2.80	2.89	3.82	5.16	0.47
Vigun03g108700	-1.79	0.77	2.89	-0.51	0.72	0.30
Vigun03g233200	-0.79	3.19	2.86	1.83	0.92	-0.87
Vigun05g092600	-2.87	0.03	2.86	-1.19	-1.28	-0.98
Vigun03g373601	-0.07	-0.24	2.85	0.38	0.66	-1.09
Vigun02g188800	0.65	7.01	2.84	2.59	6.32	1.65
VigunL086501	-4.94	-4.39	2.84	-0.89	-0.98	0.49
Vigun08g157450	-2.03	-0.18	2.83	-0.60	0.72	1.72
Vigun11g169700	-0.79	0.46	2.83	-1.33	-0.69	0.46
Vigun07g005200	-0.07	3.04	2.82	0.12	0.03	1.47
Vigun03g348200	-0.07	0.48	2.81	3.19	3.39	0.69
Vigun04g027400	1.92	3.78	2.80	4.61	7.10	0.97
Vigun11g058750	-1.55	0.63	2.80	-0.66	0.40	1.30
Vigun10g151300	-1.52	-1.69	2.79	-1.87	-2.68	-0.26
Vigun05g217600	-2.50	-0.90	2.78	4.14	6.48	1.31
Vigun11g183000	-0.79	1.43	2.78	0.50	-1.84	-1.91
Vigun09g018600	-1.33	0.35	2.76	2.08	4.23	1.29
Vigun05g044400	-0.07	-0.96	2.75	-0.93	0.54	1.04
Vigun01g105100	2.01	3.51	2.75	6.39	8.00	0.93
Vigun07g055400	-1.78	0.53	2.74	4.42	6.13	0.10
Vigun06g043750	-3.11	-1.85	2.74	0.89	1.30	-0.28
Vigun05g081300	-0.07	3.80	2.74	-3.44	-1.53	1.68
Vigun05g029500	0.92	1.23	2.74	6.56	7.27	0.38
VigunL067601	-1.78	0.79	2.72	-0.07	1.10	1.03
Vigun11g072700	-0.80	0.34	2.68	-1.47	-0.84	1.05
Vigun02g158300	1.37	2.79	2.68	5.64	7.62	0.15
Vigun10g140650	-0.07	-0.24	2.67	-1.18	-1.94	-0.94
Vigun05g109700	-2.32	-2.49	2.66	-0.60	-0.69	-0.26
Vigun03g175900	-1.68	3.42	2.66	0.59	3.25	1.99
Vigun08g121000	-0.07	0.48	2.66	3.35	4.64	0.75
Vigun03g401100	-1.37	-0.55	2.66	2.54	2.43	-0.31
Vigun10g116900	-0.53	1.05	2.65	5.70	6.47	-0.11
Vigun04g029100	-0.07	2.57	2.64	-0.60	0.16	-0.26
Vigun10g115050	-2.12	0.17	2.64	-2.23	-2.32	0.44
Vigun01g059066	-2.07	0.22	2.64	1.33	1.22	0.16
Vigun03g400500	-0.07	3.36	2.63	2.36	2.31	1.50
Vigun01g130950	-0.07	1.48	2.61	-1.63	-0.42	0.49
Vigun10g183100	0.00	2.55	2.61	0.00	-0.69	-0.26
Vigun08g021900	2.45	5.66	2.60	2.46	5.56	1.05
Vigun06g228300	-0.07	2.55	2.60	-1.00	-1.87	-1.05
Vigun11g097000	-2.77	0.34	2.60	-3.84	-3.21	0.46
Vigun04g109200	-2.09	0.76	2.59	0.80	0.09	-0.42
Vigun08g166800	-0.07	2.19	2.59	3.49	3.22	0.60
VigunL048080	-0.79	1.10	2.59	-0.67	1.17	1.86
Vigun03g094800	1.77	2.07	2.57	2.71	4.60	-0.12
Vigun03g166200	0.43	6.62	2.57	1.62	2.81	0.92
Vigun07g144400	-0.07	1.18	2.56	-0.99	-3.07	0.27
Vigun02g011400	-1.78	-0.21	2.56	-0.60	-0.69	-0.26
Vigun07g146700	-2.61	0.67	2.55	-0.56	0.39	-0.27
Vigun02g083500	0.65	3.00	2.54	-0.60	1.30	0.46
Vigun07g186900	0.65	2.20	2.54	-0.60	-0.69	0.46
Vigun07g187100	1.73	3.39	2.54	0.12	1.31	-0.26
Vigun05g162265	-0.07	1.82	2.53	-0.98	-2.48	-0.25
Vigun11g036533	0.00	2.55	2.52	0.00	-0.69	-0.26
Vigun10g171300	1.98	3.07	2.52	5.02	5.78	1.00
Vigun07g024900	0.65	3.75	2.51	1.40	2.86	1.64
Vigun04g108100	1.89	2.34	2.51	7.44	8.01	0.50
Vigun07g182600	-1.52	-1.69	2.50	-2.05	-2.70	-0.35
Vigun07g138800	0.00	0.48	2.47	0.00	1.37	1.21
Vigun08g018200	-0.79	-0.24	2.47	1.52	1.32	-1.66
Vigun05g089400	0.07	0.45	2.47	5.13	5.47	0.67
Vigun11g123900	2.42	3.18	2.47	7.34	8.19	0.47
VigunL060026	-0.79	-0.96	2.45	-0.60	0.65	2.34
Vigun01g090000	1.55	1.90	2.45	7.01	7.31	0.58
Vigun03g179400	0.65	1.79	2.43	-0.60	-0.69	0.46
Vigun06g217100	-0.79	-0.96	2.43	1.91	0.72	-2.78
Vigun04g141200	-0.42	0.71	2.42	2.88	7.93	3.16
Vigun03g219900	-2.23	-0.08	2.42	1.70	1.59	-0.15
Vigun03g088001	-0.79	-0.24	2.41	-1.39	-2.20	1.16
Vigun05g214400	3.41	4.33	2.41	8.46	8.90	-0.63
Vigun01g094400	0.49	1.56	2.41	1.14	3.95	1.44
Vigun05g253400	2.40	4.41	2.41	6.80	8.93	0.06
Vigun10g045700	3.55	4.75	2.40	6.59	9.94	0.58
Vigun06g119900	-0.07	1.22	2.40	0.12	0.72	1.06
Vigun03g226900	1.21	4.31	2.40	6.58	8.40	0.79
Vigun07g243700	0.65	1.76	2.38	-0.60	0.03	-0.26
VigunL006900	-3.79	-1.65	2.37	-3.56	-5.07	-1.68
Vigun01g239550	-2.43	-1.30	2.36	-1.14	-3.31	-1.04
Vigun05g081900	-0.79	2.56	2.36	3.55	3.60	0.17
Vigun02g188700	3.43	8.91	2.36	2.86	5.58	1.69
Vigun08g090100	-0.79	-0.96	2.36	-1.98	-1.37	0.17
Vigun02g010650	-0.07	2.22	2.35	-0.60	0.62	0.43
Vigun05g009400	0.50	4.77	2.35	7.95	8.39	0.36
Vigun11g158200	-1.38	0.18	2.35	3.15	3.29	-0.40
Vigun10g095951	-0.79	0.75	2.34	0.12	2.37	0.48
Vigun07g056800	-0.79	0.49	2.34	0.46	1.45	1.65
VigunL059815	-0.07	1.09	2.33	-2.04	-2.85	1.89
Vigun06g083900	-3.26	-0.43	2.33	0.12	6.02	2.53
Vigun11g032900	-0.07	1.78	2.33	5.91	6.23	1.03
Vigun07g179900	1.29	3.51	2.32	0.06	2.59	1.84
VigunL072900	-0.79	1.83	2.32	-1.24	-0.80	-0.33
Vigun06g109100	-0.07	-0.24	2.32	6.29	6.66	1.11
Vigun05g164200	-0.79	0.48	2.32	5.37	5.59	0.05
Vigun06g160800	2.23	4.09	2.32	-0.60	-0.69	2.75
Vigun06g212350	0.61	1.08	2.31	-0.28	-1.02	0.04
Vigun07g090150	-0.07	2.50	2.31	0.57	-0.57	-3.30
Vigun10g056100	1.75	2.65	2.30	7.25	8.11	0.58
VigunL059137	1.39	3.63	2.29	0.27	1.44	-0.03
Vigun02g193100	-0.78	1.77	2.29	0.88	1.72	-0.33
Vigun11g055500	-2.08	-1.53	2.28	2.04	2.75	0.55
Vigun03g164750	0.66	4.15	2.28	2.94	3.60	0.95
Vigun01g085300	-0.81	0.74	2.28	-0.62	0.50	1.31
Vigun03g139000	1.33	2.21	2.28	-0.60	0.75	0.46
Vigun03g418000	-0.10	1.43	2.26	4.40	5.31	0.30
Vigun05g156751	-1.52	-0.24	2.26	-1.86	-3.18	0.20
Vigun02g070800	-0.05	0.75	2.26	2.81	0.76	0.78
Vigun03g247200	-0.07	3.00	2.26	5.48	4.96	-0.52
Vigun11g216300	-0.07	1.47	2.25	0.39	1.71	-0.22
Vigun03g391200	-0.07	0.48	2.25	2.06	2.10	0.28
Vigun06g010600	-0.79	1.04	2.25	-0.49	-1.36	-0.34
VigunL012101	-3.12	-1.27	2.25	-1.15	0.58	1.29
Vigun06g179100	-0.07	-0.24	2.25	1.91	0.98	-1.31
Vigun11g046350	-1.51	-0.23	2.24	1.45	0.04	0.75
Vigun07g294900	0.65	1.21	2.23	-0.60	0.03	1.21
Vigun03g448700	2.22	4.09	2.23	4.41	5.16	-0.85
Vigun06g065801	-0.07	-0.24	2.23	-1.79	-0.54	-0.98
Vigun02g016800	3.34	4.50	2.23	6.44	7.41	0.76
Vigun05g272400	-0.07	1.79	2.23	2.15	1.74	-3.02
Vigun04g173200	-0.10	-0.96	2.22	5.83	6.30	0.24
Vigun03g134600	-1.83	-1.28	2.22	0.71	1.10	0.22
Vigun08g048300	-0.79	0.50	2.22	1.18	0.07	-1.24
Vigun01g164850	-1.28	-2.23	2.21	-1.99	-0.01	2.25
VigunL035850	-1.81	-1.99	2.21	0.11	-0.50	-0.76
Vigun05g181900	-0.07	3.27	2.21	2.90	4.04	1.08
Vigun09g186700	-2.84	-1.22	2.20	0.68	0.52	0.32
Vigun03g425500	1.24	2.50	2.20	0.12	-0.69	-0.98
Vigun01g133400	-2.06	0.54	2.20	1.20	0.49	-0.15
Vigun04g015700	1.32	2.20	2.20	-0.60	0.03	-0.26
Vigun04g063600	0.25	-0.24	2.20	7.52	8.46	0.10
Vigun06g175300	-0.07	1.08	2.19	2.17	0.76	-2.31
Vigun10g060900	-1.53	1.33	2.18	-1.74	-1.85	-1.55
Vigun03g315800	-0.76	1.94	2.18	1.29	-0.69	-2.16
VigunL028500	-3.20	-2.64	2.17	-2.99	-4.55	-1.74
Vigun06g020800	-2.33	-1.20	2.17	-1.02	-1.05	-0.28
Vigun09g274900	0.65	1.22	2.16	0.12	-0.69	-0.26
Vigun08g103800	-1.77	0.08	2.16	0.80	-0.12	-0.67
Vigun02g032100	-2.22	-0.35	2.16	0.12	0.03	-0.98
Vigun09g108900	-0.07	1.83	2.16	-1.33	0.03	1.77
Vigun10g016000	-2.10	0.06	2.14	0.22	-0.28	-0.94
Vigun10g001950	0.65	1.19	2.14	1.29	0.25	-0.78
Vigun06g213200	-1.94	-2.90	2.13	-2.70	-1.00	3.11
Vigun11g163300	-2.96	-1.82	2.13	-1.00	-1.73	-0.74
Vigun07g039400	-0.60	0.03	2.13	2.91	3.86	0.19
Vigun05g173800	-0.79	1.06	2.12	6.53	6.40	0.15
Vigun04g060450	-0.79	2.09	2.12	0.37	0.53	0.13
Vigun05g014000	-0.27	1.14	2.11	3.09	3.14	-0.37
Vigun09g179300	-0.07	1.78	2.11	1.96	2.48	-0.23
Vigun11g068300	0.67	3.29	2.09	-0.29	0.63	1.49
Vigun08g070600	0.65	1.21	2.09	-0.60	0.66	-0.26
Vigun10g038900	-1.29	0.54	2.09	2.34	2.14	0.42
Vigun05g253300	2.28	3.97	2.08	6.57	8.32	-0.01
Vigun06g225300	-2.64	-1.70	2.08	-2.08	-4.99	0.57
Vigun11g141200	1.84	4.97	2.07	7.23	8.53	0.87
VigunL076200	-0.07	1.77	2.07	0.76	0.06	0.71
Vigun01g089100	0.65	1.19	2.05	-0.60	-1.41	0.99
Vigun02g195600	-0.07	0.48	2.04	2.72	3.33	1.10
Vigun03g226600	-0.63	-1.53	2.04	-0.08	-1.44	0.41
Vigun02g022100	-0.66	1.20	2.04	0.93	0.93	-0.18
Vigun11g124000	2.57	3.00	2.03	7.21	7.69	0.34
Vigun07g039866	-0.66	0.98	2.02	3.81	3.13	0.18
Vigun06g118500	-2.12	-2.30	2.01	-2.40	-1.77	-0.26
Vigun09g098900	0.88	2.85	2.01	3.54	4.92	0.60
Vigun07g061900	-2.90	-1.25	2.00	-0.56	0.52	0.37
Vigun01g187400	-2.76	-2.21	2.00	1.54	-0.69	-0.48
Vigun03g433550	0.65	3.03	2.00	0.12	-0.69	-0.26
Vigun11g166156	0.65	1.86	1.99	0.12	-0.69	-0.26
Vigun06g170200	-1.60	-1.33	1.98	-3.11	-1.81	-0.26
Vigun02g016501	-1.90	-1.51	1.98	-0.39	-0.98	1.56
Vigun11g019800	-3.09	-1.85	1.98	2.40	0.74	0.19
Vigun11g045000	1.41	3.00	1.98	2.49	2.51	0.33
VigunL075200	-2.70	-0.44	1.97	-0.60	0.75	0.46
Vigun11g125300	2.88	3.54	1.97	8.15	8.92	0.56
Vigun08g111500	2.67	4.29	1.96	2.80	4.96	0.39
Vigun01g079400	2.10	2.30	1.96	5.64	6.90	0.75
Vigun09g012900	-0.07	1.08	1.96	1.62	0.88	-0.53
Vigun10g136065	-0.08	1.75	1.95	-3.44	-0.79	2.77
Vigun05g017700	0.65	3.19	1.95	1.46	0.03	-1.61
Vigun11g101000	-1.39	0.77	1.95	-1.00	-0.79	0.22
Vigun06g184700	-3.08	-1.80	1.95	-1.49	1.14	0.78
Vigun03g422900	0.65	3.53	1.94	0.18	-1.41	-1.05
Vigun07g230300	-0.07	2.28	1.94	-2.75	-1.41	-0.26
Vigun06g142000	-2.29	-0.71	1.93	0.13	0.14	-0.11
Vigun01g112900	-0.39	1.13	1.93	1.18	0.98	0.29
Vigun02g096500	-2.15	-0.48	1.93	2.11	2.58	0.84
Vigun03g165400	-3.35	-2.79	1.93	-2.32	-0.72	-0.26
VigunL064100	-3.24	-2.69	1.93	-3.60	-3.69	-0.26
Vigun05g218600	-0.02	3.46	1.93	2.66	3.42	-0.12
Vigun11g216484	-2.67	-2.11	1.93	-2.61	-0.17	2.29
VigunL030000	-4.20	-3.65	1.92	-3.06	-3.15	0.46
Vigun08g133200	-0.07	-0.96	1.92	1.90	0.03	-2.04
Vigun05g149601	-2.76	-1.49	1.92	-0.23	0.33	0.41
Vigun03g304600	1.22	0.48	1.92	5.48	5.93	0.95
Vigun08g132400	-0.07	-0.24	1.91	2.12	5.46	0.49
Vigun09g097500	-1.48	-0.94	1.91	0.62	0.63	1.39
Vigun08g113950	-0.07	3.20	1.90	-1.32	-2.36	-1.23
Vigun08g061200	-2.50	-2.67	1.90	0.70	1.00	0.26
Vigun04g169200	-0.07	-0.24	1.90	1.50	2.41	1.50
Vigun11g115500	-0.07	-0.96	1.90	0.80	1.69	2.03
Vigun02g024800	-0.52	1.06	1.89	5.21	6.41	0.62
Vigun03g112000	-0.07	0.48	1.89	0.12	0.03	1.73
Vigun10g103900	-0.79	-1.68	1.89	-1.59	-4.49	-0.86
Vigun07g161800	-0.79	-0.24	1.89	-0.58	-1.99	-1.58
Vigun11g082300	-0.07	1.06	1.88	4.99	4.89	0.33
Vigun01g198400	0.65	3.24	1.88	-0.60	0.03	0.46
Vigun03g084800	0.12	0.58	1.88	3.44	4.10	0.26
Vigun09g031700	-0.07	-0.24	1.88	4.65	6.11	0.78
Vigun11g036200	1.33	1.82	1.87	-1.99	-2.08	1.22
Vigun04g109900	1.15	1.86	1.87	5.21	6.22	0.72
VigunL083900	-0.07	2.47	1.87	-2.11	-1.13	-0.19
Vigun11g065950	-3.17	-2.51	1.86	-2.88	-3.46	-2.02
Vigun08g173700	0.65	2.53	1.86	1.47	1.46	-0.33
Vigun04g193200	0.62	1.47	1.86	-1.14	0.36	-0.24
VigunL059439	-0.07	-0.24	1.86	1.38	1.34	-1.52
Vigun03g341700	-1.50	-0.96	1.86	-1.41	-2.22	0.38
Vigun03g441400	-1.60	-0.23	1.86	0.06	0.17	-0.05
Vigun05g091800	0.65	2.56	1.85	-0.60	2.57	-0.26
Vigun02g154100	-3.38	-1.50	1.85	-3.36	-2.73	0.46
Vigun06g136150	-0.07	-0.24	1.85	5.55	5.66	0.61
Vigun08g043200	-2.58	-2.04	1.85	3.82	2.27	0.43
Vigun10g174300	-0.55	-0.66	1.85	0.56	1.05	0.35
Vigun07g126300	0.65	2.83	1.85	-0.60	0.69	-0.26
Vigun02g010800	-1.66	-1.82	1.85	2.78	2.27	-0.04
Vigun06g219600	-0.79	1.07	1.85	-2.53	-4.79	-1.07
Vigun08g122100	-1.36	-0.82	1.85	1.67	2.53	0.81
Vigun02g112300	2.94	5.27	1.84	5.88	8.04	1.44
Vigun03g196950	-1.36	0.21	1.84	0.62	-0.66	-0.25
Vigun07g069600	-1.52	-0.37	1.84	-2.35	-0.99	1.77
Vigun10g070701	-0.80	-0.29	1.84	0.12	-0.69	-0.98
Vigun07g030100	0.50	-0.96	1.84	4.44	4.52	-0.09
Vigun06g013100	-0.07	3.19	1.84	5.31	5.32	0.19
Vigun09g013300	2.34	3.90	1.83	-2.08	0.28	1.16
Vigun10g096900	-2.99	-1.88	1.83	1.34	0.34	-1.15
Vigun10g116200	-0.07	1.07	1.83	-0.53	-0.21	-0.22
Vigun10g153200	0.89	0.97	1.82	5.68	7.37	0.14
Vigun06g023350	-2.25	-1.70	1.82	-0.60	0.99	2.17
Vigun04g107000	-0.04	2.09	1.82	-1.33	0.63	3.33
Vigun10g089600	-2.81	-2.26	1.82	0.00	-0.97	0.20
Vigun11g185300	-0.77	-0.95	1.82	1.39	1.41	0.93
Vigun04g090600	-1.94	-1.07	1.82	0.65	-1.98	-0.84
Vigun08g095700	-2.85	-2.63	1.82	-2.61	-3.06	1.41
Vigun11g193100	0.65	-0.24	1.82	4.51	5.29	1.20
Vigun07g109000	-0.07	2.17	1.81	2.38	1.34	-0.87
VigunL072800	-3.10	-1.81	1.81	0.90	0.03	-1.05
Vigun03g029000	-0.74	-0.87	1.81	-1.47	-1.00	0.32
Vigun10g032532	-2.08	-0.22	1.81	-1.96	-2.56	-0.22
Vigun03g434200	-0.07	0.48	1.80	0.93	-0.69	0.81
Vigun04g027900	-0.79	1.52	1.80	1.60	-1.41	-1.09
Vigun01g120250	-1.80	-1.29	1.80	-1.85	1.70	3.05
Vigun09g099800	-1.51	1.07	1.80	-0.75	-3.16	-0.02
Vigun05g235900	-0.07	2.21	1.80	4.02	5.81	0.93
Vigun02g095100	0.65	2.22	1.79	-0.60	1.30	2.83
Vigun09g109600	-0.79	-0.96	1.79	-0.80	-0.71	-0.94
Vigun11g022760	-2.84	0.01	1.79	0.09	0.58	1.40
Vigun05g012400	-0.56	0.21	1.78	-0.18	-1.48	0.26
Vigun04g002500	1.30	2.32	1.78	-2.64	1.13	0.46
Vigun02g152900	-2.08	1.69	1.77	2.82	4.17	1.17
VigunL061600	-2.59	-1.30	1.77	-2.71	-2.10	-0.98
VigunL059341	-1.06	-1.24	1.77	0.65	1.25	-1.46
Vigun03g150050	0.40	0.77	1.76	-0.79	-0.22	0.97
Vigun01g013500	-1.59	-1.23	1.76	0.01	0.60	0.55
Vigun11g026400	3.04	6.69	1.76	0.80	2.73	1.42
Vigun11g015200	-0.12	1.38	1.76	1.67	3.49	1.84
Vigun06g233200	0.65	3.01	1.75	0.12	0.78	-0.98
Vigun02g002300	-1.78	-0.14	1.75	0.24	0.09	0.19
Vigun06g091200	-0.79	1.45	1.74	-1.87	-0.64	1.04
Vigun06g058200	0.24	0.97	1.74	-0.98	-0.68	-0.44
Vigun09g142400	1.45	1.45	1.74	4.81	6.37	1.04
Vigun01g199300	-0.10	0.76	1.74	-0.54	1.67	1.29
VigunL089000	-0.07	-0.24	1.73	0.66	0.68	-0.87
Vigun09g032500	-1.09	0.94	1.73	0.88	-0.69	-1.03
Vigun03g185100	-0.07	2.24	1.73	3.43	3.53	0.85
Vigun09g274700	-1.14	0.29	1.72	1.14	0.51	-0.39
Vigun05g196800	-0.07	2.55	1.72	0.12	0.03	-0.98
Vigun05g265900	1.44	3.67	1.72	0.12	-0.69	0.49
Vigun02g085800	0.28	0.62	1.72	4.00	4.41	0.47
Vigun01g163300	0.00	1.34	1.72	-0.60	-0.69	0.46
VigunL069100	-3.40	-3.60	1.72	-3.12	-2.79	-2.28
Vigun05g025350	0.61	1.08	1.71	-0.06	-0.10	-1.55
Vigun10g094225	-2.34	-0.64	1.71	-3.91	-3.43	1.09
Vigun03g235200	1.94	3.79	1.71	-1.21	-1.32	0.40
Vigun05g179600	0.70	0.49	1.71	-1.28	-1.37	2.61
Vigun11g106750	-2.03	-1.49	1.71	0.03	1.50	0.18
Vigun11g021932	0.93	1.73	1.71	-1.04	0.43	1.28
Vigun07g048300	3.80	5.12	1.70	5.10	7.27	0.77
Vigun09g078100	2.52	5.50	1.70	8.32	9.15	1.30
Vigun10g180700	-2.65	-1.69	1.70	-3.13	-3.85	-0.46
Vigun07g226600	1.33	3.06	1.70	3.70	3.48	-1.11
Vigun02g189000	5.58	9.85	1.70	3.01	4.71	1.32
Vigun09g021500	-1.51	0.33	1.70	-0.74	-2.49	-0.56
Vigun09g027500	0.40	0.26	1.70	1.15	0.24	-0.22
Vigun09g030600	-1.22	-1.03	1.69	2.83	3.97	0.84
Vigun02g188900	5.10	9.20	1.69	5.12	7.23	1.00
Vigun05g212800	0.19	0.56	1.68	4.29	4.31	0.24
Vigun01g211500	-0.84	0.59	1.68	-0.82	-1.38	0.22
Vigun03g383800	-0.36	0.30	1.68	3.34	4.07	0.23
Vigun04g193000	-1.42	-0.42	1.68	0.41	0.74	0.45
Vigun06g084300	4.34	5.33	1.68	4.64	7.61	0.93
Vigun03g269400	2.36	5.36	1.67	6.35	7.89	0.79
VigunL071800	-1.67	-1.41	1.67	1.47	1.81	0.18
Vigun03g199300	3.83	3.87	1.67	7.32	7.28	-0.21
Vigun05g042100	-0.78	-0.24	1.67	3.14	3.71	0.30
Vigun05g199800	1.22	1.80	1.67	6.51	7.40	1.15
Vigun09g235300	-1.20	0.07	1.66	3.92	4.33	0.46
Vigun10g044700	1.21	2.25	1.66	6.91	7.98	-0.16
Vigun03g256201	-0.07	2.25	1.66	0.09	0.35	0.51
Vigun07g205600	0.65	1.47	1.66	6.79	6.48	0.85
Vigun10g063600	2.27	2.47	1.66	-0.60	-0.69	1.75
Vigun09g052500	-0.72	0.23	1.66	5.80	5.85	0.21
Vigun09g194800	1.86	2.98	1.66	-0.64	-1.43	-0.26
Vigun11g218400	-0.05	1.09	1.66	1.23	0.26	-0.23
Vigun07g193650	-3.00	-2.19	1.65	-1.36	-1.98	-0.07
Vigun07g191100	0.39	0.74	1.65	-2.88	-2.97	-0.26
Vigun03g302125	-1.36	0.35	1.65	-0.41	1.39	1.67
Vigun03g115000	1.23	1.18	1.65	-0.60	-0.69	-0.26
Vigun09g015200	-3.04	-3.16	1.65	-2.19	-3.87	-0.81
Vigun02g116700	1.38	1.77	1.65	-1.79	-1.68	-0.57
Vigun05g029300	1.33	3.52	1.65	1.33	0.03	-0.24
Vigun09g064200	2.23	3.37	1.65	2.37	0.03	-3.24
Vigun05g174533	-2.20	-1.03	1.64	-4.00	-3.37	1.85
Vigun09g030100	-1.36	-0.41	1.64	0.82	1.49	0.55
Vigun04g007700	-2.31	-0.41	1.64	0.84	1.28	0.90
Vigun06g177800	-2.49	-0.37	1.64	0.47	-2.09	-0.35
Vigun11g174200	1.24	1.92	1.64	2.84	2.79	0.23
Vigun01g200500	3.37	4.19	1.63	2.84	7.72	1.98
Vigun03g443700	0.72	2.02	1.63	-1.33	-0.69	0.46
Vigun05g033700	-0.07	2.25	1.63	1.47	0.77	-1.62
Vigun03g397300	0.32	0.79	1.63	0.24	0.22	-0.41
Vigun07g103550	-1.50	0.66	1.63	-0.19	1.28	0.53
Vigun03g368500	3.89	4.83	1.62	0.12	0.03	1.02
Vigun10g135850	-0.72	1.47	1.62	2.55	1.56	-2.20
Vigun11g108300	1.26	1.77	1.62	1.30	1.99	-0.08
Vigun05g007800	0.65	1.80	1.62	0.92	-0.69	-1.07
Vigun06g064600	-1.55	-2.45	1.62	-2.81	-2.90	1.20
Vigun07g003000	-0.20	1.16	1.62	0.03	-0.99	0.16
Vigun11g145500	1.25	2.54	1.62	-0.60	-0.69	2.10
Vigun01g238600	-0.22	1.32	1.62	0.68	0.05	0.09
Vigun10g123100	-1.95	-1.75	1.62	-1.11	-0.98	1.27
Vigun11g022201	-0.34	0.34	1.61	6.46	6.08	0.11
VigunL046800	1.44	2.21	1.61	-2.44	-1.09	1.15
Vigun06g094200	-1.32	0.20	1.61	0.30	0.24	-0.24
Vigun07g240400	-0.03	1.38	1.61	0.44	-0.84	-0.48
Vigun07g095450	0.65	0.48	1.61	-2.16	-2.25	2.55
Vigun06g041733	1.84	3.76	1.61	0.76	-0.69	0.28
Vigun08g058800	4.88	6.49	1.60	4.65	4.83	0.42
Vigun10g090600	-0.07	-0.24	1.60	-1.82	-1.90	0.95
Vigun03g332300	2.62	3.81	1.60	0.12	0.76	1.06
Vigun07g099600	3.39	5.28	1.60	1.83	0.03	-1.29
Vigun03g422200	-1.54	-0.46	1.59	1.99	2.42	0.27
Vigun11g014050	0.65	1.74	1.59	-0.53	-0.48	-0.27
