taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0000043g0270.1	-2.1	-1.9	-3.9	-2.4	-3.7	-3.7
Nitab4.5_0000043g0290.1	2.2	1.6	-0.7	-1.1	-0.3	-0.1
Nitab4.5_0000044g0100.1	3.7	3.3	-1.7	-1.1	-0.3	-1.4
Nitab4.5_0000044g0130.1	1	0.6	0	0	0.6	0.2
Nitab4.5_0000044g0150.1	1.3	0.7	0.4	0.4	0.2	0.6
Nitab4.5_0000044g0490.1	-1.3	-0.8	-0.4	-0.3	-0.7	0.9
Nitab4.5_0000044g0620.1	-1.4	-0.7	-0.4	-0.8	-2.2	0
Nitab4.5_0000045g0110.1	-1.1	-0.6	-1	-1.2	-1.5	-1.7
Nitab4.5_0000046g0200.1	2.8	0.8	2.8	2.6	0.8	1.6
Nitab4.5_0000048g0210.1	1.3	0.3	1	0.5	1	1.2
Nitab4.5_0000048g0290.1	2.7	0.1	0.6	-0.3	0.5	1.1
Nitab4.5_0000052g0020.1	-1.7	-0.4	-0.2	-0.3	-0.6	0
Nitab4.5_0000052g0270.1	3	2.1	2.5	1.9	3.9	2.5
Nitab4.5_0000052g0360.1	-1.2	-0.7	-0.4	-0.6	-1.3	-0.7
Nitab4.5_0000052g0370.1	-1.1	-0.4	-0.1	0.1	-0.1	-0.7
Nitab4.5_0000053g0160.1	-1.8	-0.4	0.1	-0.7	-0.4	-0.3
Nitab4.5_0000053g0180.1	-1.4	-0.5	-2.5	-2.1	-2.3	-2.1
Nitab4.5_0000055g0250.1	1.3	1	1.7	1.1	1.7	1.2
Nitab4.5_0000057g0010.1	2.3	1.7	0.5	-1.8	0.2	-1
Nitab4.5_0000057g0030.1	-1.8	-0.5	-1	-0.4	0	-1.5
Nitab4.5_0000057g0080.1	-1.6	0.3	0.7	0.9	2.6	0.5
Nitab4.5_0000057g0160.1	1.8	1.8	-1.8	-0.8	-2	-2.7
Nitab4.5_0000058g0120.1	1.5	1.4	0.4	0.1	0.5	0.7
Nitab4.5_0000058g0170.1	1.4	0.4	0.1	-0.4	-0.1	0
Nitab4.5_0000059g0020.1	-1.6	-0.3	0.5	-0.3	-0.3	-0.1
Nitab4.5_0000059g0240.1	1.2	0.5	0.7	0.7	0.8	0.3
Nitab4.5_0000059g0320.1	-1.3	-1	-0.8	-1.6	-1.6	-0.7
Nitab4.5_0000062g0030.1	-2	0.4	0.5	-0.3	-1.6	1.3
Nitab4.5_0000062g0220.1	-1.8	-0.7	-0.6	-1.4	-1.8	-0.9
Nitab4.5_0000062g0550.1	-1.5	0.4	0.8	0.2	1.8	-0.3
Nitab4.5_0000063g0130.1	-1.4	-1.1	-0.4	-1.4	-1.5	-1.4
Nitab4.5_0000064g0080.1	2.1	0.5	1.1	0.7	1.2	-0.5
Nitab4.5_0000066g0040.1	1.1	0.1	0.7	0.6	1.3	0.1
Nitab4.5_0000068g0260.1	1.1	0.2	-0.6	0	0.7	0.6
Nitab4.5_0000068g0290.1	1.9	1.8	-0.4	-0.1	0	-0.2
Nitab4.5_0000069g0230.1	-2.1	-0.8	-2.5	-2.4	-2.4	-2.7
Nitab4.5_0000069g0390.1	-1.3	-0.7	-1.8	-2	-2.7	-2.1
Nitab4.5_0000070g0010.1	1	0.6	0.7	0.7	0.6	0.2
Nitab4.5_0000073g0150.1	-1.3	-1	-0.2	-0.2	-1.1	-0.6
Nitab4.5_0000073g0500.1	-1.6	-0.7	0	-1.8	-0.8	-2
Nitab4.5_0000073g0550.1	1.2	1.1	1	0.7	0.8	-0.6
Nitab4.5_0000075g0090.1	1.2	0.3	0.8	0.5	0.7	0.1
Nitab4.5_0000076g0200.1	-1.4	-0.2	0.2	0.9	0.4	-0.6
Nitab4.5_0000078g0010.1	1.7	0.9	-0.2	-2.3	-4.3	1.1
Nitab4.5_0000078g0070.1	1	0.5	0.7	0.6	0.8	0.8
Nitab4.5_0000078g0160.1	1.3	1	1.3	0.5	0.2	-0.6
Nitab4.5_0000079g0040.1	-1.5	-0.4	0.3	-0.1	-1.9	-0.4
Nitab4.5_0000080g0080.1	2.2	1.5	0.5	0	-1	1.2
Nitab4.5_0000081g0170.1	-2.1	-1.5	-0.8	0	-0.6	-2.1
Nitab4.5_0000082g0020.1	2.8	1.2	-0.7	-0.5	0	-1.4
Nitab4.5_0000084g0490.1	1.2	-0.5	-0.5	-0.8	-1.2	-0.3
Nitab4.5_0000085g0060.1	2	1.8	1.3	0.2	-0.3	0.8
Nitab4.5_0000086g0050.1	-1.8	-0.3	0.4	-1.3	-1.8	0
Nitab4.5_0000088g0050.1	1.8	1.5	0	-0.4	0.2	0.9
Nitab4.5_0000088g0120.1	1.4	0.6	0	-0.3	0.1	0.5
Nitab4.5_0000090g0070.1	-1.4	-0.8	0.3	0.1	0.4	0.3
Nitab4.5_0000090g0090.1	-2.3	0.4	0.7	1.7	0.6	-1.3
Nitab4.5_0000090g0190.1	1.1	0.9	0.7	0.4	0.3	0.8
Nitab4.5_0000090g0220.1	1.2	0.6	0.3	0.1	-0.1	0.3
Nitab4.5_0000090g0230.1	1.1	0.8	0.3	0.5	0.3	0.4
Nitab4.5_0000090g0330.1	2	1.6	0.3	0.9	0.3	-0.1
Nitab4.5_0000091g0280.1	-1.5	-0.1	-0.2	-0.5	-0.9	-0.5
Nitab4.5_0000091g0360.1	1.8	0.9	0.2	0.1	-0.3	0.9
Nitab4.5_0000092g0120.1	1	0.2	-0.1	-0.1	-0.3	-0.1
Nitab4.5_0000095g0150.1	-1.1	-0.8	-0.6	-1.4	-0.8	-1.4
Nitab4.5_0000097g0020.1	1.1	1	0.2	0.4	0.3	-0.2
Nitab4.5_0000099g0090.1	-1.9	-0.4	-0.2	-0.9	-1.7	-1
Nitab4.5_0000099g0140.1	-1.2	-0.3	-0.2	-0.7	-1.7	-0.7
Nitab4.5_0000099g0200.1	-2.3	-2.1	-0.6	0.7	0.5	-2.2
Nitab4.5_0000101g0080.1	-1	-0.2	-0.1	-0.4	-1.2	0.4
Nitab4.5_0000102g0080.1	1.3	1.8	1.5	1.6	1.5	-0.1
Nitab4.5_0000102g0140.1	-1.4	-1.2	0.2	2.2	2	0.1
Nitab4.5_0000104g0070.1	-1.1	-0.6	0.1	-0.7	0	-0.3
Nitab4.5_0000105g0200.1	-2.7	-1.6	-0.8	-0.3	-0.4	-1
Nitab4.5_0000105g0290.1	1.8	1.5	-0.3	0	0.7	0.3
Nitab4.5_0000105g0350.1	3	1	0.8	-0.2	-0.5	0.3
Nitab4.5_0000107g0030.1	1.4	0.1	0.3	-0.3	-0.2	-0.2
Nitab4.5_0000107g0090.1	1.4	1.1	0.7	0	0.4	1.1
Nitab4.5_0000108g0020.1	-1.2	-0.3	0.8	0.9	0.6	-0.1
Nitab4.5_0000108g0050.1	-4.8	-1.2	-7.7	-7.1	-7.1	-5.9
Nitab4.5_0000108g0080.1	-1.6	0.5	0	0.7	0.1	-1.1
Nitab4.5_0000108g0260.1	2	0.4	0.6	0.5	1.1	1.1
Nitab4.5_0000108g0460.1	2	1.1	0.7	0.7	0.1	1.2
Nitab4.5_0000109g0170.1	1.4	0.8	0.3	0.3	0.6	0.1
Nitab4.5_0000109g0460.1	-1.2	1	-0.2	0.2	0.3	-1.9
Nitab4.5_0000109g0570.1	1.1	0.3	0.1	0.2	-0.6	0
Nitab4.5_0000110g0190.1	1.2	0.3	0.6	0.6	0.4	-0.2
Nitab4.5_0000110g0320.1	-1.3	-0.5	-0.4	-0.1	-0.4	0
Nitab4.5_0000111g0130.1	-1.4	-0.7	0.8	0.8	-1	0.9
Nitab4.5_0000115g0140.1	-13.6	-3	-13.6	-13.6	-4.1	-13.6
Nitab4.5_0000115g0270.1	-1.5	-1.6	-0.6	0.5	-1.5	-0.7
Nitab4.5_0000115g0330.1	-2.1	-1	0.5	0.4	-0.8	-0.4
Nitab4.5_0000116g0120.1	-2	-1.5	-7.3	-5.6	-7.8	-6.5
Nitab4.5_0000116g0180.1	1	0.7	0.7	0.8	0.7	0.3
Nitab4.5_0000116g0330.1	1.3	0.8	-0.2	0.2	-0.7	-0.4
Nitab4.5_0000118g0060.1	-1.7	-1.1	-1.8	-2.6	-3.1	-2.7
Nitab4.5_0000118g0080.1	1.1	0.6	0.1	-0.6	-0.4	0.1
Nitab4.5_0000119g0420.1	-1.1	-0.2	-0.1	0.1	0.2	-0.3
Nitab4.5_0000120g0190.1	1.8	-0.2	0.4	-0.4	1.3	0.6
Nitab4.5_0000121g0170.1	-2.4	-1.5	-0.3	0.2	-1.1	-1.3
Nitab4.5_0000123g0170.1	1.8	1.1	0.8	-0.2	-1	2.3
