taxa	0.5h	1h	3h	5h	8h	24h
Nitab4.5_0001554g0070.1	-1.1	-0.6	-0.2	0	-0.6	-1.1
Nitab4.5_0001556g0100.1	1.6	0.3	0	0.4	0	0.8
Nitab4.5_0001561g0100.1	1.7	1	0.3	-0.6	-0.4	0.5
Nitab4.5_0001565g0040.1	-1.2	-0.7	-1.1	-1.2	-1.3	-1.3
Nitab4.5_0001568g0130.1	2.1	0.8	-1.2	-2.1	0.5	-0.6
Nitab4.5_0001569g0140.1	-2.1	-1.8	-0.2	-0.1	-1.6	-0.4
Nitab4.5_0001569g0160.1	1.5	1	-0.4	-0.5	-1.4	-0.3
Nitab4.5_0001572g0030.1	-2.2	-0.5	0.6	-1.8	-1.9	1.2
Nitab4.5_0001574g0020.1	-1.5	-0.6	-0.5	0.2	-0.5	0.1
Nitab4.5_0001576g0060.1	1.6	0.2	0.2	-0.3	-0.2	-0.3
Nitab4.5_0001578g0030.1	1.7	0.2	0.9	1	1.2	-0.2
Nitab4.5_0001579g0060.1	-3.1	-1.7	-5.1	-3.3	-5.6	-5.4
Nitab4.5_0001583g0150.1	-1.8	-1.1	-0.2	-0.7	-0.9	0
Nitab4.5_0001585g0070.1	1.1	0.4	-0.2	-1.8	-2.3	-0.3
Nitab4.5_0001591g0020.1	1.6	0.9	0	0	-0.5	-0.3
Nitab4.5_0001599g0220.1	-1	-1	-0.7	-0.8	-1.2	-0.9
Nitab4.5_0001600g0060.1	-13.5	-2.4	-3.5	-3.7	-1	-3
Nitab4.5_0001604g0120.1	-1.9	-1.7	-1.1	-0.8	-1.7	-1.6
Nitab4.5_0001607g0020.1	-1.5	-1	-0.8	-0.9	-1.3	0.1
Nitab4.5_0001607g0030.1	-2.4	-1.2	-1	-1	-1.2	-0.5
Nitab4.5_0001610g0040.1	2.7	1.2	-1.8	-0.8	0.6	-1.4
Nitab4.5_0001612g0020.1	2.1	1.5	-0.2	0.2	0.5	0.1
Nitab4.5_0001612g0080.1	1.6	0.6	0.1	-0.3	0	0.6
Nitab4.5_0001614g0060.1	-1.4	0	0.5	0.9	0.2	-0.7
Nitab4.5_0001614g0180.1	1.1	1	0.6	0.3	0.5	0.1
Nitab4.5_0001616g0060.1	-1.1	-0.5	-0.4	-0.1	-0.2	-0.9
Nitab4.5_0001617g0020.1	-1.3	-0.8	-0.8	-0.3	-0.4	-1.2
Nitab4.5_0001617g0050.1	1.5	0.4	0.1	-0.4	0	-0.1
Nitab4.5_0001617g0070.1	1.1	0.4	0.2	0.5	0.4	-0.4
Nitab4.5_0001618g0220.1	2.3	2	-0.4	0.6	0.3	-1
Nitab4.5_0001618g0270.1	1.6	0.3	0.7	0.3	1	0.8
Nitab4.5_0001622g0050.1	-1.9	-1.1	-1.3	-1.9	-2.4	-2.4
Nitab4.5_0001622g0090.1	1.5	0.7	0	-0.3	-0.2	0.1
Nitab4.5_0001624g0040.1	-1.2	-0.9	-1.3	-0.8	-1.2	-1.7
Nitab4.5_0001628g0030.1	-2.6	-0.1	-0.2	-1.3	-1.9	0.1
Nitab4.5_0001629g0060.1	1.4	0.5	0.7	0.4	0.8	0.9
Nitab4.5_0001634g0050.1	-3.6	-2	0.5	0.6	-1.7	0.1
Nitab4.5_0001634g0060.1	-2	-1.7	1	1.6	-1.1	-0.7
Nitab4.5_0001637g0110.1	1.1	0.4	0.2	-0.4	-0.8	0.5
Nitab4.5_0001640g0020.1	-1.2	-0.5	-0.3	-0.4	-0.8	-1
Nitab4.5_0001643g0100.1	1.5	1.5	0.6	0.7	0.5	-0.9
Nitab4.5_0001644g0100.1	-1.8	-1.5	-1.3	-1.1	-0.6	-0.6
Nitab4.5_0001652g0150.1	-2.9	0.6	2	0.6	-1.1	0.4
Nitab4.5_0001654g0010.1	1.4	1.4	-0.6	-1.5	-2.2	0
Nitab4.5_0001654g0020.1	3.1	2.6	-0.6	-0.5	-0.9	0.9
Nitab4.5_0001655g0210.1	1.1	0.4	0.7	0.4	0.9	0.6
Nitab4.5_0001657g0010.1	1.4	1.2	1.8	0.6	0.8	0.6
Nitab4.5_0001658g0020.1	-2.1	-1.3	-0.4	-1	-2.1	0.6
Nitab4.5_0001659g0030.1	-2	-0.7	-1.3	-1.6	-1.7	-1.9
Nitab4.5_0001659g0160.1	-1	-1	-0.3	0.8	0.7	-0.4
Nitab4.5_0001662g0020.1	-1.9	-3.1	-2.9	-2.8	-0.8	-3.7
Nitab4.5_0001662g0030.1	3.6	2.7	-1.1	-2.4	0.3	-0.2
Nitab4.5_0001663g0020.1	1.6	0.1	-0.6	-0.9	-0.1	0.5
Nitab4.5_0001664g0080.1	4	0	-1.9	0.2	1.3	0.4
Nitab4.5_0001666g0010.1	1.8	0.5	0.4	0.6	0.1	-1
Nitab4.5_0001668g0080.1	1.6	0.5	1.1	0.3	0.4	0.7
Nitab4.5_0001668g0150.1	-2.1	-0.7	-0.3	-1.8	-0.8	-0.4
Nitab4.5_0001672g0130.1	1.5	1	0.2	-1.6	-1.5	1.2
Nitab4.5_0001683g0050.1	-1.7	-0.8	-1.1	-1.9	-2.4	-1.4
Nitab4.5_0001684g0020.1	1.2	0	-0.1	-1.3	-0.1	0.8
Nitab4.5_0001684g0040.1	-1.7	-1.9	-0.5	0.5	-0.2	-1.3
Nitab4.5_0001688g0070.1	-3.8	-1	-4.8	-6	-6.4	-6.9
Nitab4.5_0001690g0020.1	-2.5	-1	-0.8	-1.1	-0.9	-0.7
Nitab4.5_0001699g0010.1	1.9	1	1	1.5	0.7	0.7
Nitab4.5_0001699g0020.1	1.2	1	1.2	0.3	0.3	0
Nitab4.5_0001699g0070.1	-2	-0.1	0.3	1.3	-4.9	-1.3
Nitab4.5_0001701g0030.1	-2.9	-0.3	0.4	-0.2	-1	0.9
Nitab4.5_0001701g0210.1	1.1	0.6	0.4	0.9	1.4	0.2
Nitab4.5_0001703g0040.1	-1.8	-0.5	-1.6	-1.3	0.8	-0.9
Nitab4.5_0001706g0010.1	1	1	0.2	0.4	0.7	0.4
Nitab4.5_0001707g0050.1	-2.7	-0.6	-2	-2.9	-3.6	-3.7
Nitab4.5_0001709g0010.1	-1.6	1	1.3	-0.8	0.4	0.5
Nitab4.5_0001709g0030.1	1.1	0.4	0.1	-0.2	0	1.1
Nitab4.5_0001710g0020.1	-1.5	-0.7	-0.3	-0.2	-1.4	-0.3
Nitab4.5_0001711g0010.1	13.5	11.3	10.8	10.6	0	10.7
Nitab4.5_0001711g0040.1	1.7	1.7	-0.1	0.7	1	-2.1
Nitab4.5_0001711g0050.1	3.9	1.3	0.1	1.4	1.4	1.1
Nitab4.5_0001714g0060.1	1.3	1	0	0.5	0.7	0.2
Nitab4.5_0001715g0040.1	1.2	0.9	0.7	0.9	0.8	0.2
Nitab4.5_0001715g0090.1	1	1	1.1	0.4	0.9	-0.1
Nitab4.5_0001725g0120.1	-2.3	-0.9	0.3	0	-0.1	0.7
Nitab4.5_0001727g0170.1	-1.4	-0.3	-1.1	-1.5	-1.6	-2
Nitab4.5_0001730g0060.1	-1.9	-1.8	-0.6	-0.5	-1.9	-1.2
Nitab4.5_0001731g0020.1	-1.5	-0.8	-0.1	-0.2	0.2	0.5
Nitab4.5_0001739g0070.1	-1.1	-0.2	-1.1	-1.5	-1.4	-1.4
Nitab4.5_0001744g0070.1	1.2	0.9	2.1	0.4	1.7	2.3
Nitab4.5_0001748g0040.1	1.7	-0.2	-0.7	-0.7	0.7	-2
Nitab4.5_0001748g0050.1	-1	-1	-0.1	-1	-2.2	0.3
Nitab4.5_0001749g0070.1	2	0.2	0.8	0.6	0.9	0.7
Nitab4.5_0001750g0050.1	-1.5	-2.8	-2.2	-2	-3.3	-5.8
Nitab4.5_0001752g0010.1	1.5	1.2	0.3	0.9	0.7	0.6
Nitab4.5_0001752g0040.1	3.7	2.8	2.4	2.3	1.5	1.3
Nitab4.5_0001758g0020.1	1.7	1.3	-0.5	-1.2	-1	-1
Nitab4.5_0001759g0070.1	1.1	0.1	0.8	0.2	0.4	-0.5
Nitab4.5_0001763g0070.1	1.3	0.8	-0.1	0	0.9	0.5
Nitab4.5_0001764g0020.1	1.1	0.4	-0.1	-0.5	-0.3	-0.1
Nitab4.5_0001764g0070.1	1.5	0.5	0.1	-0.8	0.4	1.2
Nitab4.5_0001764g0140.1	2.4	0.2	0	-0.9	-0.9	-0.2
Nitab4.5_0001769g0160.1	4.1	0.9	-2	-1.9	0.5	-0.4
Nitab4.5_0001772g0040.1	1	1	0.8	0.9	-0.2	-0.6
Nitab4.5_0001777g0040.1	1.4	0.8	0.6	0.4	1.2	0
Nitab4.5_0001780g0140.1	1.1	0.2	0.2	-0.3	-0.4	0.2
Nitab4.5_0001781g0130.1	-2.1	-1.8	-0.2	0.7	0.1	-0.8
Nitab4.5_0001783g0090.1	1.4	0.8	0.4	0.5	0.2	0.6
Nitab4.5_0001786g0040.1	1.4	0.6	-0.3	-0.4	0.6	0.2
Nitab4.5_0001787g0010.1	1	-0.2	0.3	-0.4	-0.2	0.1
Nitab4.5_0001789g0110.1	2.8	1.8	1.7	2.2	1.7	0.9
Nitab4.5_0001791g0030.1	1.4	-0.1	-2	-0.5	-1.3	-1.2
Nitab4.5_0001794g0080.1	-1.2	-0.1	-0.6	0.3	-0.6	-0.7
Nitab4.5_0001800g0050.1	-1.1	-0.8	-0.5	-0.6	-0.9	-0.7
Nitab4.5_0001801g0080.1	-2.1	-0.4	1	1.5	-0.8	1.7
Nitab4.5_0001803g0050.1	1.6	0.6	0	-0.4	-1.8	1.5
Nitab4.5_0001810g0030.1	2.4	1.9	0.8	0.9	3.3	5.2
Nitab4.5_0001810g0050.1	-3.4	-0.1	0.4	-0.5	-0.6	0.5
Nitab4.5_0001814g0020.1	1.4	0.2	-1.8	-1	-0.7	-0.6
Nitab4.5_0001816g0200.1	-1.2	-1	-0.7	-0.1	-0.5	-1.4
Nitab4.5_0001817g0010.1	2	0.5	0.9	0.6	1.1	0.8
Nitab4.5_0001819g0100.1	-1.3	-1.2	-0.5	0	-0.5	-0.8
Nitab4.5_0001820g0070.1	-2.3	-0.3	0.3	-1.9	-1	-1.2
Nitab4.5_0001840g0060.1	-2.3	-1.6	-0.6	0.6	-1	-1.3
Nitab4.5_0001842g0060.1	1.5	0.7	0.5	-0.3	-0.4	0.8
Nitab4.5_0001849g0020.1	2	0.4	1	0.6	1.1	-0.7
Nitab4.5_0001850g0040.1	-1.4	-0.8	0.4	0.9	0.3	-0.2
Nitab4.5_0001855g0040.1	3.7	2	-0.5	0.8	0.8	1.6
Nitab4.5_0001855g0070.1	2.5	1.2	1.3	0.7	0.9	0.2
Nitab4.5_0001856g0070.1	1.6	0.1	0.5	0	0.4	0.8
Nitab4.5_0001857g0030.1	-1.2	-0.9	-0.5	-0.6	-0.5	0
Nitab4.5_0001860g0140.1	1.5	1.3	0.4	0.4	1	0.6
Nitab4.5_0001861g0020.1	-1.2	-0.9	-0.7	-0.6	-1.1	-0.8
Nitab4.5_0001861g0120.1	-1.3	-1.3	-0.7	-0.3	-0.9	-0.9
Nitab4.5_0001864g0070.1	1	0.9	-0.4	-0.1	0	-0.6
Nitab4.5_0001871g0030.1	-1.4	-0.9	-0.1	-0.9	-2.1	0.9
Nitab4.5_0001876g0060.1	1.3	-0.1	0.6	0.5	0.9	0.7
Nitab4.5_0001879g0160.1	1.5	0.1	0.5	0.4	0.6	0.1
Nitab4.5_0001884g0050.1	3.6	2.9	2.7	2.6	2	2.8
Nitab4.5_0001884g0060.1	3	2.2	2	2	0.9	2.1
Nitab4.5_0001889g0160.1	-1.5	-1.3	0.4	0.2	-0.9	0.6
Nitab4.5_0001891g0130.1	1.1	0.3	-0.1	-0.5	-0.1	0.4
Nitab4.5_0001896g0070.1	-2.8	-1.8	-0.6	-0.1	-0.9	0.2
Nitab4.5_0001897g0030.1	-2.1	-0.6	0.8	0.1	-0.8	-0.1
Nitab4.5_0001898g0080.1	-1.9	-0.9	-0.5	-1.1	-1.2	-0.7
Nitab4.5_0001899g0070.1	1.5	0.8	0.9	0.7	0.7	0.5
Nitab4.5_0001903g0020.1	-1.2	-1	-0.6	-0.3	-0.5	0.4
Nitab4.5_0001912g0020.1	1.1	1.4	1.1	1.4	1.8	0.2
Nitab4.5_0001913g0040.1	-1.5	-1.6	-0.6	-0.5	-1.5	-1.2
Nitab4.5_0001922g0060.1	1.2	0.7	0.8	1	1.1	1
Nitab4.5_0001922g0090.1	-2.9	-1.1	-5.3	-4.7	-3.8	-5.7
Nitab4.5_0001924g0060.1	2.3	0	-0.1	-0.7	0.4	0.9
Nitab4.5_0001925g0200.1	-1.2	-0.7	-0.5	-1	0.3	-0.7
Nitab4.5_0001925g0250.1	-1.9	-3.1	-2.6	-3.7	0.2	-1.7
Nitab4.5_0001931g0030.1	-1.2	-0.9	0.6	0.5	-1	0
Nitab4.5_0001931g0140.1	1.8	0.5	1.2	0.6	0.8	2.7
Nitab4.5_0001933g0010.1	-1.2	-0.9	-0.9	-0.6	-1.1	-1.3
Nitab4.5_0001935g0040.1	-4.6	-1.5	1	0.4	-1.1	0.4
Nitab4.5_0001936g0040.1	1.1	0.6	-0.3	-0.9	-0.7	-0.9
Nitab4.5_0001936g0070.1	1.5	0.5	0.5	0.5	0.6	0.7
Nitab4.5_0001949g0070.1	1	-0.2	-0.4	-0.5	0.1	0.4
Nitab4.5_0001955g0030.1	12.5	10.8	11.2	9.6	12.5	11.9
Nitab4.5_0001955g0110.1	-4.2	-1.6	-6.4	-5.7	-8	-8.1
Nitab4.5_0001960g0030.1	1.6	0.7	0.5	0.3	0.4	0.8
Nitab4.5_0001961g0010.1	1.2	0	0.5	0.5	0.7	0.6
Nitab4.5_0001970g0020.1	1.3	1.7	1.5	1.5	1.6	0.1
Nitab4.5_0001979g0030.1	-1.1	-1.4	-0.3	-0.5	-0.5	0.5
Nitab4.5_0001982g0010.1	2.8	1.3	0.4	-0.1	-1.3	1.5
Nitab4.5_0001982g0050.1	2.1	1.6	0.4	-0.3	-0.2	0.7
Nitab4.5_0001982g0120.1	-1.1	-0.1	0.5	-1.2	-1.7	-0.8
Nitab4.5_0001984g0010.1	-1.4	0	-0.4	-1	0	-0.7
Nitab4.5_0001984g0020.1	2.9	2.1	-1.2	-0.4	0.8	-0.2
Nitab4.5_0001984g0100.1	-1.7	-0.7	-0.1	-0.2	-1.4	0.6
Nitab4.5_0001991g0040.1	-1.5	-0.2	0.2	0.4	1.6	0.7
Nitab4.5_0001993g0060.1	1.3	0.8	0.7	0	0.8	1.4
Nitab4.5_0001996g0080.1	1.7	0.4	0.2	-0.9	-2.5	1.4
Nitab4.5_0001998g0010.1	-1.5	-1.5	-0.1	0.2	-0.1	-0.5
Nitab4.5_0002002g0110.1	-3.5	-1.5	-1.4	-0.6	-2	-0.8
Nitab4.5_0002003g0010.1	1	0.5	0.5	0.6	0.4	0.2
Nitab4.5_0002003g0070.1	-1.1	-0.8	-0.1	-0.2	0.2	-0.3
Nitab4.5_0002009g0020.1	-1.5	1	2	0.2	0.3	0.1
Nitab4.5_0002009g0030.1	1.6	0.9	-0.5	-0.8	-1	-0.3
Nitab4.5_0002016g0120.1	1.1	0.3	-0.2	-0.6	-1.1	0.2
Nitab4.5_0002020g0050.1	-17.6	-2.3	-17.6	-8.6	-7.6	-17.6
Nitab4.5_0002033g0020.1	1.1	0.3	0.2	0.3	0.3	0.3
Nitab4.5_0002038g0020.1	-2.4	-2.2	0.2	-0.4	0	0.9
Nitab4.5_0002040g0080.1	2.1	0.3	0.6	0.5	1.2	1
Nitab4.5_0002042g0060.1	-1.6	-1.1	-0.6	-0.7	0	-0.9
Nitab4.5_0002042g0070.1	1.7	1.1	0.2	-0.9	-1.2	0.7
Nitab4.5_0002043g0050.1	1.3	0.7	-0.3	0.1	-0.2	0.3
Nitab4.5_0002044g0020.1	1.1	0.2	0	-0.1	0.3	0.1
Nitab4.5_0002046g0020.1	1.2	0.9	0.4	0.2	0.8	0.9
Nitab4.5_0002046g0110.1	2.1	0.1	-0.4	-0.3	0.5	0.2
Nitab4.5_0002050g0020.1	-2.6	-1	-1.1	-0.6	-1.8	-1.5
Nitab4.5_0002053g0030.1	1.8	0.3	0.7	0.6	1	0.8
Nitab4.5_0002054g0010.1	1.8	0	0.3	0.1	0.7	0.9
Nitab4.5_0002064g0040.1	-1.3	-0.5	-0.5	-1.3	-1.8	-2.5
Nitab4.5_0002073g0040.1	-2.2	-1.4	-0.5	-1.8	-1	-0.5
Nitab4.5_0002076g0100.1	-2.1	-0.5	-0.3	-0.4	-1.3	-0.2
Nitab4.5_0002079g0020.1	2.1	0.7	-0.6	0	-0.1	-0.1
Nitab4.5_0002081g0010.1	-1.4	0.5	0.2	0.8	2.6	-1.1
Nitab4.5_0002088g0040.1	-1.4	-1.3	-0.2	0.5	0.1	-0.4
Nitab4.5_0002090g0040.1	2.3	0.1	0.6	0.4	0.7	0.4
Nitab4.5_0002091g0010.1	1.2	0.1	0.1	-1.2	0.3	0.1
Nitab4.5_0002093g0020.1	1.4	1.5	0.4	-0.3	2.2	2.2
Nitab4.5_0002093g0090.1	2.1	0.3	-0.2	-0.1	0.6	0.9
Nitab4.5_0002100g0040.1	1.2	0.8	0.1	0.1	0.2	-0.2
Nitab4.5_0002101g0060.1	1.5	0.5	0.8	0.1	0.6	0.5
Nitab4.5_0002103g0020.1	1.3	1.1	0.7	-0.3	0.7	1.1
Nitab4.5_0002103g0110.1	-1.2	-0.6	-0.6	-0.6	-1.4	-0.6
Nitab4.5_0002109g0010.1	1.7	-0.1	0.3	0.4	0.9	0.7
Nitab4.5_0002109g0020.1	1.4	0.2	0.6	0.2	0.9	-0.2
Nitab4.5_0002113g0180.1	-3.6	-1	-3.8	-5.4	-6.3	-6.6
Nitab4.5_0002114g0020.1	2.3	0.1	0.7	0.8	1.3	1
Nitab4.5_0002115g0020.1	1.2	1	0.9	0.3	0.6	0.4
Nitab4.5_0002124g0010.1	3.3	0.7	-1.1	-2.2	0.5	1
Nitab4.5_0002132g0070.1	1.6	-0.3	0.2	0	0.6	0.8
Nitab4.5_0002137g0130.1	1.1	0.6	0.8	0.9	1.3	0.8
Nitab4.5_0002137g0140.1	5.6	5	4.7	4.1	4.3	4.5
Nitab4.5_0002145g0030.1	-2.3	-0.2	1.5	-0.7	-0.7	0.8
Nitab4.5_0002150g0010.1	-1.5	-1.5	-0.3	0.3	-0.7	-0.1
Nitab4.5_0002156g0050.1	-3.4	-2.2	-0.9	0	-1.8	-2.4
Nitab4.5_0002157g0030.1	-1.1	-1.2	-0.1	0.7	0.5	-0.3
Nitab4.5_0002157g0130.1	-1.2	-0.1	-0.1	-1.6	-3.8	-0.2
Nitab4.5_0002158g0090.1	1.8	0.4	0	-0.4	-0.9	0.2
Nitab4.5_0002158g0130.1	1.3	1.1	0	-0.2	0.4	0.5
Nitab4.5_0002161g0050.1	1.1	0.5	0.1	-0.4	0.6	0.8
Nitab4.5_0002162g0230.1	-1.6	0.1	0.2	-1.3	-0.1	0
Nitab4.5_0002163g0070.1	3.4	0.6	-2.4	1.3	1.5	0
Nitab4.5_0002167g0030.1	-1.6	-1.1	-0.1	0.6	-0.3	-0.3
Nitab4.5_0002167g0150.1	2	0.1	0.8	1	1	0.6
Nitab4.5_0002168g0010.1	-1	-0.1	0.5	1.4	1.9	0.1
Nitab4.5_0002172g0020.1	-2.2	-0.7	0.1	-0.1	-2.1	-0.7
Nitab4.5_0002176g0010.1	1.9	-0.4	-0.3	-0.9	-0.4	-0.5
Nitab4.5_0002185g0130.1	-1.5	-0.1	-0.6	-0.6	-1.4	-0.4
Nitab4.5_0002186g0060.1	-12.9	-1.4	-0.5	-12.9	-1	-12.9
Nitab4.5_0002200g0010.1	-2.1	0	-0.7	-0.2	1.3	-2.6
Nitab4.5_0002214g0050.1	1.2	0.9	-0.7	-1.1	-0.5	0.9
Nitab4.5_0002216g0020.1	-1	-0.3	0.1	-0.1	0	-0.1
Nitab4.5_0002219g0010.1	-1.1	-1.1	-0.3	0.3	-0.5	-0.7
Nitab4.5_0002219g0030.1	-2.2	-0.9	-0.9	0.1	-0.9	-0.4
Nitab4.5_0002221g0060.1	-2.2	-1.3	0.8	-1.4	-1.9	0.1
Nitab4.5_0002222g0050.1	1.3	-1	-1.1	-2	-0.9	-0.3
Nitab4.5_0002222g0070.1	2.2	1	-1	-1.5	-0.7	-0.1
Nitab4.5_0002224g0130.1	1.5	0.3	1	0.4	1	-0.2
Nitab4.5_0002227g0010.1	-1.2	-0.2	-0.1	0.6	3.2	1.2
Nitab4.5_0002229g0010.1	-1.6	-0.8	-0.1	-0.3	-1.7	-0.6
Nitab4.5_0002229g0130.1	1.2	0.8	0.7	0.7	0.5	0.3
Nitab4.5_0002230g0030.1	1.3	0.3	-1	-0.7	-0.7	-0.4
Nitab4.5_0002231g0020.1	-1.2	-0.5	-0.3	-0.5	-0.8	-0.2
Nitab4.5_0002231g0070.1	2.1	0.5	1.2	0.9	1.3	0.9
Nitab4.5_0002232g0070.1	1.3	1.4	-0.9	-0.7	-0.1	-0.3
Nitab4.5_0002238g0090.1	1.1	0.6	0.6	0.6	0.6	0.2
Nitab4.5_0002253g0010.1	14.2	15	14.5	12	12	13.2
Nitab4.5_0002257g0010.1	1	0.7	0.8	1.3	1.7	1
Nitab4.5_0002257g0090.1	2.8	1.7	-0.7	-0.8	1.1	-0.7
Nitab4.5_0002259g0010.1	-1.6	-1	0.2	1.5	1.1	-0.8
Nitab4.5_0002262g0160.1	2.3	1	-0.5	-0.9	-0.2	0
Nitab4.5_0002263g0060.1	1.8	0.5	-0.5	-0.9	1.9	2.1
Nitab4.5_0002269g0030.1	1.5	0	-0.5	-0.3	-0.3	0.3
Nitab4.5_0002274g0030.1	1.1	0.6	0.1	-0.1	-0.1	0.2
Nitab4.5_0002276g0050.1	-1.3	0.3	-0.3	-0.2	1.1	-0.9
Nitab4.5_0002278g0070.1	1.3	0.2	-0.1	0.4	0.8	0
Nitab4.5_0002279g0090.1	1	0.6	0.2	0.2	-0.2	0.4
Nitab4.5_0002282g0030.1	-1.2	-0.9	-0.4	-0.8	-0.5	0
Nitab4.5_0002282g0120.1	1.3	1.3	1.3	1	0.5	0
Nitab4.5_0002283g0030.1	1.6	1	-0.5	-1.6	-2.8	1.3
Nitab4.5_0002285g0030.1	-1.3	0.4	0.1	0.4	-0.2	-0.8
Nitab4.5_0002285g0060.1	-1.2	-0.5	-0.1	-0.1	-0.4	-0.5
Nitab4.5_0002286g0090.1	-1.1	-0.8	-1.1	-1.1	-1.5	-1.8
Nitab4.5_0002291g0030.1	-2.5	-1.8	-0.3	1.7	0.6	0.2
Nitab4.5_0002294g0130.1	-1.8	-2.2	-0.4	0.4	-0.9	-0.1
Nitab4.5_0002298g0040.1	1.5	-0.1	-0.2	-0.5	-0.1	0
Nitab4.5_0002303g0010.1	1.2	0.6	0.7	0.9	0.8	0.5
Nitab4.5_0002303g0040.1	-2.2	-1.7	-0.9	-0.1	-0.7	-0.8
Nitab4.5_0002308g0030.1	-2.2	-0.6	-1.8	-2.4	-2.9	-2.5
Nitab4.5_0002309g0080.1	-1.1	-0.7	-1	-0.9	-1.1	-1.2
Nitab4.5_0002310g0010.1	-1.5	-0.5	0.4	-1.1	-0.1	0.1
Nitab4.5_0002311g0020.1	-2.2	-1.4	-0.3	0.5	-1.1	-1
Nitab4.5_0002313g0080.1	-12.9	-2.4	-0.6	-1.8	-1.9	0
Nitab4.5_0002315g0030.1	1	0.5	0.1	0	-0.2	0.5
Nitab4.5_0002315g0110.1	1.5	0.1	0.6	0	0.1	0.6
Nitab4.5_0002321g0060.1	-1.1	-1	-0.3	-0.5	-1	-0.8
Nitab4.5_0002322g0170.1	1	1.5	-0.4	-0.4	1.3	2
Nitab4.5_0002330g0060.1	1.4	1	0.7	0.1	0.3	-0.5
Nitab4.5_0002340g0030.1	2.1	0.4	-0.9	-0.2	0	-1.1
Nitab4.5_0002340g0070.1	-1.3	-0.9	-0.2	-1	-2.2	0.1
Nitab4.5_0002343g0020.1	-1.9	-1.7	-1.4	-0.4	-0.7	-1.9
Nitab4.5_0002347g0080.1	-3.2	0.2	-0.6	-1.5	-1.6	-1.1
Nitab4.5_0002350g0030.1	1.3	0.5	-0.1	0.3	0.6	0.7
Nitab4.5_0002350g0050.1	-1.9	-1.7	-2.2	-1.4	-1.4	-2.6
Nitab4.5_0002350g0070.1	1.7	1	0.7	0.9	0.5	0.5
Nitab4.5_0002352g0120.1	-1.9	-2.4	-2.8	-0.6	-1.4	-2.9
Nitab4.5_0002354g0010.1	3	0.2	-0.4	-1.1	0.3	2.2
Nitab4.5_0002357g0020.1	-2.2	-0.6	0.3	-1.2	-2.3	0.6
Nitab4.5_0002361g0050.1	2	0.9	1	0.1	0.5	1
Nitab4.5_0002364g0010.1	1.2	0.3	0.4	0.3	0.3	0.2
Nitab4.5_0002366g0010.1	-1.6	-0.8	-0.9	-0.7	-0.7	-1
Nitab4.5_0002367g0020.1	-1	-1	-0.7	0.2	0.1	0.4
Nitab4.5_0002367g0040.1	-1.1	-0.7	-0.4	1	1.3	0.2
Nitab4.5_0002370g0050.1	-2.8	-1.5	-0.1	-1	-2.5	0.7
Nitab4.5_0002377g0030.1	-2.1	-0.4	0	1.7	0.4	-1.6
Nitab4.5_0002379g0010.1	-1.9	-0.7	-1.4	-2.2	-0.3	-0.8
Nitab4.5_0002389g0040.1	-1.3	-0.8	-0.3	-0.6	-1.3	-1
Nitab4.5_0002392g0100.1	2.9	1.7	1.2	1.3	1.3	1.2
Nitab4.5_0002394g0060.1	1.2	0.1	0.3	-0.6	-0.8	0.7
Nitab4.5_0002406g0040.1	1.8	0.9	0.7	0.9	0.1	1.2
Nitab4.5_0002415g0020.1	-1.3	0	0.6	0.7	0.2	-0.1
Nitab4.5_0002424g0010.1	1.7	0.6	-0.2	-0.7	0.4	0
Nitab4.5_0002436g0020.1	-1.2	-1.4	-0.9	-0.7	-1.2	-0.5
Nitab4.5_0002437g0020.1	1.6	1	-0.3	0.2	-0.6	-0.2
Nitab4.5_0002438g0100.1	-1.9	-0.9	0.5	0	-0.9	1.9
Nitab4.5_0002443g0040.1	-3.2	-2.9	-3.6	-2.2	-3.8	-7.1
Nitab4.5_0002446g0130.1	1	0.2	-0.1	-0.4	-0.4	0.6
Nitab4.5_0002449g0010.1	1.1	0.9	0.8	1	1	0
Nitab4.5_0002456g0090.1	-2.2	-0.9	0.6	-0.3	-0.7	1.8
Nitab4.5_0002456g0130.1	-1.5	-1.4	-0.9	-0.6	-1.3	-1.1
Nitab4.5_0002456g0140.1	-1.2	-0.7	0	0	-0.1	-0.2
Nitab4.5_0002458g0030.1	-1.7	-0.9	-1.3	-0.8	-1.5	-2.2
Nitab4.5_0002459g0050.1	-1.3	-0.3	0.6	-0.8	-1.1	0.6
Nitab4.5_0002465g0040.1	-1.6	-1.1	-0.7	-0.2	-0.4	-1.4
Nitab4.5_0002466g0010.1	-3.4	-1.9	-2.3	-1.8	-3.1	-4.2
Nitab4.5_0002467g0090.1	2	1.1	1.1	0.7	1.1	0.3
Nitab4.5_0002467g0100.1	2	1.4	1.2	0.8	1.1	1
Nitab4.5_0002470g0040.1	1.6	0.3	0	0.4	0.5	-0.1
Nitab4.5_0002479g0010.1	-1.2	-0.7	0.2	-0.7	-1.3	0.3
Nitab4.5_0002492g0020.1	-1.1	-0.2	0	-0.7	-0.7	-0.6
Nitab4.5_0002493g0050.1	2.9	-0.7	-0.4	-0.8	-1.1	-1
Nitab4.5_0002495g0050.1	3.3	1.2	-1.1	-0.5	-0.8	-0.2
Nitab4.5_0002499g0010.1	2.2	0.9	0.1	0	0.6	-0.1
Nitab4.5_0002499g0080.1	-1.2	-0.8	-0.3	-0.2	-0.3	-0.6
