taxa	flg22	elf18	nlp20	og	chitin
AT4G01120	0.85	0.59	0.32	0.18	-0.01
AT5G03610	2.19	1.85	1.66	1.04	0.65
AT1G31880	0.64	0.97	-0.05	-0.15	0.11
AT5G19400	1.09	0.54	0.56	0.38	0.06
AT2G01670	2.54	2.58	2.01	1.96	1.43
AT5G09690	1.23	0.71	0.70	0.45	0.63
AT5G62100	0.55	0.12	0.02	-0.07	-0.06
AT5G33290	1.92	1.36	1.39	1.33	1.11
AT4G32440	1.50	0.89	0.96	0.32	0.22
AT4G37020	1.16	0.68	0.63	0.51	0.35
AT2G17220	2.97	2.92	2.16	2.44	1.85
AT1G21400	1.71	1.20	1.18	0.95	0.02
AT3G02070	2.16	1.70	1.44	1.63	0.72
AT4G31980	2.21	1.87	1.68	1.29	1.05
AT4G04800	2.21	1.54	1.68	1.16	0.34
AT2G33600	1.46	0.80	0.93	0.26	0.14
AT1G67520	3.74	3.21	3.20	3.14	2.19
AT2G16870	1.89	1.41	1.27	1.35	1.17
AT1G11310	2.94	2.78	2.07	2.40	2.00
AT2G45760	3.66	3.25	3.02	3.13	1.30
AT5G18170	1.65	0.95	1.12	0.39	-0.13
AT4G18197	4.54	4.43	4.01	3.93	3.50
AT5G45100	1.19	0.42	0.65	0.62	0.37
AT2G41070	1.44	0.74	0.90	0.80	0.30
AT4G28570	1.32	0.92	0.79	0.44	0.40
AT1G02880	2.35	2.29	1.81	1.68	1.46
AT1G55475	1.39	1.39	0.37	0.80	0.85
AT4G21540	1.54	1.10	1.01	0.60	0.20
AT4G00270	0.90	0.80	0.36	0.35	0.20
AT4G07950	1.08	0.59	0.54	0.49	0.32
AT5G59940	0.99	0.22	0.45	0.25	0.16
AT5G55700	0.87	0.20	0.34	0.15	-0.05
AT2G27180	0.89	-0.17	-0.01	0.35	0.07
AT3G13970	0.98	0.31	0.34	0.44	0.29
AT5G49540	0.78	0.28	0.17	0.22	0.24
AT5G53310	1.66	0.96	0.89	1.12	0.54
AT1G06760	0.93	0.41	0.40	0.15	0.14
AT1G21080	1.72	1.27	1.16	1.18	0.54
AT2G37975	1.23	0.77	0.69	0.55	0.46
AT4G13550	1.00	0.19	0.46	0.01	0.08
AT5G39990	0.94	0.49	0.41	0.35	0.18
AT1G02120	2.02	1.63	1.48	0.82	0.69
AT4G34970	0.85	0.54	0.31	0.07	0.14
AT1G19780	1.53	1.87	0.75	0.99	0.73
AT1G30780	0.61	0.23	0.07	0.07	0.00
AT3G17710	1.16	0.65	0.51	0.63	0.46
AT1G55460	1.46	1.52	0.81	0.92	0.82
AT1G29195	1.67	0.63	0.79	1.13	0.57
AT5G03160	2.22	2.43	1.69	1.28	1.15
AT2G22250	2.62	1.32	2.08	1.17	0.49
AT1G32930	0.91	0.37	0.27	0.37	0.15
AT4G16660	2.12	2.06	1.58	1.17	1.06
AT1G32920	4.42	4.38	3.84	3.88	3.18
AT3G29200	0.99	0.37	0.24	0.45	0.33
AT1G50280	0.59	0.10	0.05	-0.32	0.05
AT2G34940	1.02	0.94	0.48	0.35	0.10
AT1G59580	1.49	1.31	0.95	0.74	0.33
AT4G33950	1.13	0.79	0.49	0.59	-0.06
AT3G60600	1.34	0.90	0.80	0.67	0.30
AT5G09790	2.38	1.57	1.84	1.56	1.08
AT2G16630	1.26	1.26	0.09	0.68	0.72
AT5G09720	1.88	0.72	0.59	1.34	0.08
AT1G53490	1.56	0.90	1.02	0.79	0.81
AT5G02310	0.93	0.42	0.39	0.16	0.03
AT1G66870	1.07	1.11	0.29	0.52	0.50
AT1G29310	2.00	2.10	1.46	0.89	0.91
AT2G44200	1.59	0.88	1.05	0.75	0.24
AT1G05135	1.21	1.13	0.61	0.67	0.20
AT4G23320	4.16	3.96	3.61	3.31	2.05
AT3G19980	1.06	0.58	0.52	0.28	0.37
AT5G12230	1.18	0.62	0.64	0.28	0.33
AT1G29970	2.05	1.98	1.15	1.51	0.94
AT1G55080	1.50	0.97	0.84	0.96	0.54
AT2G04050	1.80	1.48	1.26	0.84	0.85
AT5G12390	1.56	1.19	1.02	0.59	0.15
AT3G45300	1.04	0.65	0.47	0.50	-0.01
AT3G15440	0.86	0.31	0.31	-0.20	-0.09
AT3G25760	2.77	2.03	2.22	2.14	0.32
AT5G48412	0.91	0.43	0.37	0.10	-0.07
AT2G26800	0.81	0.35	0.27	0.22	-0.05
AT4G11330	3.74	3.71	2.49	3.19	2.27
AT5G57660	0.62	0.53	-0.05	0.07	-0.06
AT5G51710	1.27	0.88	0.73	0.61	0.20
AT4G30360	1.44	1.27	0.90	0.87	0.49
AT1G52280	0.95	0.39	0.38	0.39	0.41
AT5G07960	1.03	0.71	0.32	0.48	0.36
AT4G18930	0.77	0.76	0.17	0.23	0.10
AT2G41880	2.75	1.53	2.21	1.63	1.51
AT2G32660	3.19	3.11	1.21	2.65	0.69
AT1G12760	2.03	1.57	1.48	0.98	0.52
AT3G57120	2.28	1.35	1.25	1.74	1.05
AT5G42300	1.14	0.62	0.57	0.59	0.22
AT1G35430	1.52	1.32	0.82	0.98	0.51
AT2G24860	1.53	0.73	0.99	0.47	0.41
AT3G27950	1.53	0.16	0.98	0.37	0.17
AT4G24020	1.03	0.39	0.48	0.39	-0.15
AT4G24190	1.83	2.12	1.22	1.05	1.29
AT4G02370	1.39	1.21	0.85	0.52	0.35
AT4G34370	0.94	0.48	0.39	0.31	0.09
AT3G32090	4.26	3.83	3.58	3.72	3.23
AT5G49620	1.99	0.71	0.43	1.44	0.37
AT1G05000	2.23	1.48	1.68	1.00	0.61
AT5G24240	3.36	3.03	2.81	2.06	1.38
AT2G25870	0.89	0.60	0.31	0.34	0.30
AT2G17900	1.34	1.01	0.79	0.44	0.14
AT5G40590	3.46	2.16	2.16	2.91	2.02
AT1G19360	1.76	1.14	1.21	0.55	0.15
AT3G18930	2.55	2.12	2.01	1.43	0.66
AT4G35510	1.16	0.53	0.61	0.13	0.44
AT1G30890	0.73	0.53	-0.01	0.10	0.18
AT2G14580	1.14	1.26	0.54	0.16	0.59
AT1G64385	1.54	1.52	0.95	0.99	0.92
AT1G20925	1.37	1.06	0.82	0.60	0.41
AT2G37710	3.43	3.96	2.88	2.52	2.14
AT3G04110	2.28	1.99	1.73	1.64	0.99
AT5G58390	1.33	0.47	0.78	0.28	0.71
AT3G59950	1.12	0.56	0.57	0.36	0.11
AT2G29400	1.93	1.17	1.38	0.58	0.16
AT2G39660	2.88	2.56	1.75	2.32	1.56
AT2G22790	1.23	0.46	0.67	0.47	0.51
AT2G30942	1.01	0.59	0.46	0.18	0.35
AT1G12790	0.99	0.43	0.44	0.25	0.03
AT2G46220	0.62	0.20	0.07	0.05	-0.14
AT2G28500	2.62	2.24	2.07	2.07	1.55
AT3G45260	1.89	2.07	1.00	1.27	1.34
