taxa	flg22	elf18	nlp20	og	chitin
AT5G54610	-0.48	0.99	1.31	2.60	1.47
AT5G03350	-0.42	1.77	0.62	2.65	1.06
AT5G40990	2.84	2.12	5.87	1.67	1.02
AT1G75830	1.13	0.33	4.00	0.53	0.54
AT2G14560	-0.29	1.75	2.37	2.58	1.33
AT1G79400	0.95	2.05	3.68	2.88	2.43
AT1G21250	-0.09	0.74	2.02	2.17	2.43
AT1G21240	1.42	1.73	3.79	2.44	2.25
AT3G57240	0.84	2.13	1.56	2.26	3.05
AT3G28270	-0.84	0.19	0.54	1.30	0.98
AT2G32530	-0.27	1.91	0.02	1.80	1.22
AT3G21500	0.12	0.68	0.87	2.17	0.25
AT1G66700	4.24	2.85	6.26	3.03	3.81
AT4G35200	-1.09	0.40	0.71	-0.25	0.86
AT2G43580	2.33	1.47	4.27	1.95	1.20
AT5G42530	-0.19	1.05	1.47	1.74	1.69
AT5G18710	-0.70	0.57	0.79	0.42	1.23
AT5G66816	-0.44	0.42	1.42	0.10	0.72
AT2G23170	0.01	1.56	0.96	1.85	0.19
AT1G76790	-0.37	0.27	1.43	0.27	0.05
AT1G12630	-0.33	0.54	1.47	0.13	0.33
AT1G31580	-0.26	0.44	0.81	1.18	1.50
AT3G22560	-1.04	0.07	0.72	-0.29	-0.10
AT4G27654	2.32	2.20	1.29	4.08	1.33
AT1G33102	-0.54	0.48	0.71	1.19	0.38
AT5G10760	0.42	1.79	0.59	1.29	2.15
AT2G29410	1.62	0.58	3.34	0.83	0.42
AT1G76640	1.11	0.69	0.94	2.81	0.43
AT1G49640	-0.57	0.86	0.91	1.12	1.03
AT2G14610	-0.19	1.78	1.47	0.87	0.62
AT1G02470	-0.09	0.46	0.59	1.58	0.55
AT2G22590	-0.73	0.60	0.21	0.29	0.92
AT1G21245	1.96	2.20	3.62	1.72	1.63
AT2G30770	4.36	2.49	6.01	2.38	0.73
AT2G07674	-0.36	0.18	0.38	0.38	1.28
AT5G19650	-0.43	0.71	0.49	1.21	0.31
AT1G55230	1.93	1.72	3.56	0.80	1.09
AT5G17030	-0.04	-0.41	0.07	1.31	1.59
AT3G30180	-0.10	1.30	0.76	1.52	0.89
AT5G01900	2.80	3.59	1.80	4.39	0.65
AT3G20810	0.42	1.28	1.57	2.01	1.80
AT1G73120	-0.23	1.36	0.06	1.17	1.36
AT1G48670	-0.79	0.09	-0.10	0.24	0.79
AT5G38700	-0.16	0.48	0.43	1.42	0.16
AT1G66390	-0.24	0.57	0.38	1.34	1.10
AT3G09870	4.18	4.47	5.75	4.37	3.81
AT1G23600	-0.45	0.29	0.50	1.10	0.37
AT1G54940	-0.25	0.04	1.28	0.68	0.37
AT5G47980	-0.26	0.10	0.28	1.28	0.15
AT2G35345	-0.63	0.62	0.55	0.21	0.90
AT3G03650	-0.45	-0.07	0.36	0.45	1.08
AT5G43290	1.15	2.99	0.10	1.38	2.67
AT1G08090	-0.79	-0.47	-0.01	0.72	0.01
AT4G35985	1.42	1.91	0.79	2.92	0.52
AT1G09350	-0.65	-0.51	-0.45	-0.01	0.86
AT4G14400	2.49	2.54	3.40	2.77	3.99
AT4G18450	-0.09	-0.14	0.60	1.05	1.41
AT3G26440	0.70	1.16	2.20	0.91	0.53
AT1G67360	0.08	0.82	1.57	0.36	1.20
AT3G50770	0.82	0.62	1.92	2.30	1.96
AT1G64590	-0.49	0.41	0.99	0.23	-0.14
AT2G25510	-0.46	0.42	0.24	1.02	0.92
AT3G10320	1.43	1.11	2.89	1.71	0.75
AT3G29110	-0.40	0.28	0.25	0.45	1.07
AT5G57820	0.09	0.76	0.57	0.81	1.55
AT2G02990	0.01	1.34	0.36	1.46	0.26
AT5G53760	0.16	1.10	0.72	1.61	0.97
AT4G26270	1.21	0.65	2.66	0.43	0.25
AT1G13420	-0.19	0.22	0.51	1.25	0.27
AT5G43285	0.60	2.72	-0.41	1.08	2.05
AT1G58007	-0.44	0.56	0.42	1.01	0.56
AT3G14620	1.60	1.72	3.05	2.03	1.22
AT4G16690	-0.24	0.23	0.06	1.20	0.35
AT2G36970	0.52	0.30	1.95	1.27	0.47
AT3G14940	-0.27	0.57	0.41	0.08	1.17
AT1G51090	0.56	0.73	0.63	1.98	0.61
AT3G49070	0.14	0.27	1.56	0.07	0.58
AT4G35660	-0.41	-0.18	-0.01	0.93	1.01
AT5G16230	2.09	1.28	3.51	1.44	0.41
AT1G18350	0.03	0.87	0.35	0.56	1.45
AT3G20180	0.67	0.43	2.08	0.82	0.60
AT3G16210	-0.60	0.39	0.22	0.81	0.39
AT5G58770	0.95	2.53	1.22	2.36	1.68
AT3G28740	-0.52	-0.52	-0.31	0.88	0.29
AT5G19110	0.17	0.67	-0.03	1.57	0.15
AT5G55720	-0.41	0.01	0.30	0.99	0.60
AT5G65510	-0.04	1.10	1.36	0.87	0.42
AT1G80730	-0.60	0.07	0.80	0.25	0.43
AT1G55240	1.38	0.32	2.77	0.34	-0.03
AT1G73340	-0.81	0.46	0.58	0.33	-0.28
AT3G21420	-0.01	1.31	1.39	1.38	0.38
AT1G66783	-0.63	0.37	0.76	0.61	0.50
AT4G01430	-0.01	1.23	0.29	1.38	0.38
AT5G37300	-0.04	1.52	-0.09	0.39	1.35
AT5G38344	-0.01	0.38	0.55	1.37	1.02
AT2G18140	-0.32	1.10	0.25	0.90	1.05
AT3G20710	-0.30	0.52	0.55	0.47	1.08
AT2G32620	-0.75	0.46	0.41	0.53	0.62
AT3G24110	-0.32	0.27	1.05	0.77	0.15
AT5G38780	-0.19	1.85	-0.04	1.18	0.54
AT1G27960	0.14	0.01	1.50	0.39	0.24
AT1G55030	-0.33	0.21	0.30	-0.17	1.03
AT4G33330	-0.72	0.30	0.24	0.15	0.64
AT5G55450	0.46	0.57	-0.01	0.77	1.81
AT1G74080	4.10	1.57	5.46	2.81	1.74
AT5G57540	-0.60	0.18	0.16	-0.01	0.75
AT2G14095	-0.45	0.30	0.91	0.72	0.64
AT1G52580	-0.06	1.21	0.95	1.03	1.29
AT5G07190	-0.69	-0.28	0.46	-0.11	0.66
AT1G56660	2.37	2.13	0.86	3.71	0.31
AT3G14590	0.54	0.90	0.60	1.89	0.17
AT5G59700	1.08	0.63	2.42	0.37	-0.03
AT2G02620	-0.67	0.26	0.67	0.17	0.07
AT5G58280	-0.34	0.52	0.26	1.00	0.85
AT1G64780	-1.00	-0.17	0.15	-0.39	0.34
AT3G60120	4.55	3.53	5.89	2.25	1.22
AT3G22231	-0.04	1.13	1.29	1.24	1.15
AT1G60095	-0.51	0.09	0.18	0.49	0.81
AT3G14550	-0.33	0.31	0.35	0.50	0.99
AT2G30660	0.39	1.45	0.54	1.71	0.73
AT3G45860	-0.02	0.53	0.65	0.63	1.29
AT1G05990	-0.56	0.35	-0.04	0.74	0.51
AT2G40750	0.88	1.18	2.18	1.89	1.37
AT2G25160	-0.45	0.06	0.72	0.85	0.19
AT1G23210	-0.53	0.07	0.77	0.12	0.73
AT4G18425	-0.23	-0.27	1.07	0.53	0.73
AT5G35190	-0.75	0.08	0.06	0.21	0.55
AT4G30420	-0.35	0.31	0.34	0.49	0.94
AT3G27940	0.03	0.08	0.72	1.33	0.28
AT1G05420	-0.17	0.50	-0.22	0.66	1.12
AT2G47800	1.19	1.19	2.49	1.32	1.54
AT2G22330	1.86	0.41	3.16	0.56	0.22
AT4G26330	-0.14	-0.69	1.15	0.28	0.46
AT3G44870	1.41	0.35	0.18	2.70	0.34
AT3G22840	-0.68	-0.01	0.06	0.52	0.60
AT5G18260	-0.50	0.00	0.39	0.78	0.28
AT1G23730	2.28	2.45	3.57	2.40	1.24
AT5G51770	0.56	0.81	1.84	0.52	0.50
AT1G43910	0.47	0.68	0.67	1.74	1.75
AT3G21560	-0.09	0.53	1.19	0.17	0.33
AT5G65800	-0.57	-0.19	0.38	0.71	0.07
AT3G28580	3.17	3.19	4.45	4.12	3.78
AT4G08400	-0.71	-0.13	-0.13	0.35	0.56
AT4G08410	-0.68	-0.09	-0.16	0.32	0.58
AT1G30190	4.62	4.23	5.88	3.89	4.22
AT2G36750	-0.14	-0.15	-0.14	1.12	0.41
AT4G21200	0.46	1.05	1.72	1.19	0.83
AT1G27140	-0.56	0.75	0.70	0.47	0.33
AT2G34360	0.98	0.35	2.24	1.44	1.61
AT5G53980	-0.25	0.49	0.54	0.60	1.01
AT5G45240	0.25	0.23	0.46	1.50	0.73
AT2G21900	1.70	1.22	1.02	2.94	1.20
AT4G00670	-0.07	0.51	0.53	0.52	1.17
AT1G69730	0.23	1.14	1.38	1.15	1.47
AT1G02580	0.02	0.66	1.26	0.49	0.53
AT3G32030	-0.56	-0.07	0.68	0.28	-0.22
AT3G26840	0.95	0.88	2.18	1.24	0.86
AT3G16070	-0.32	0.21	0.43	0.46	0.92
AT1G55790	0.40	0.51	0.79	1.63	0.28
AT1G50550	-0.41	0.15	0.68	0.03	0.82
AT5G59060	-0.02	0.17	-0.02	1.21	0.69
AT5G40030	0.84	1.22	1.30	1.17	2.07
AT1G03010	0.09	0.14	0.50	0.82	1.32
AT3G54020	1.73	1.69	0.84	2.96	0.55
AT3G08860	-0.25	0.23	0.73	0.97	-0.35
AT2G24200	1.16	0.43	2.38	0.49	0.25
AT4G12520	-0.64	0.22	0.58	0.05	-0.37
AT5G36970	2.61	1.80	3.83	2.77	0.75
AT2G35210	-0.51	-0.01	0.30	0.29	0.71
AT3G49960	-0.54	0.42	0.35	0.04	0.68
AT1G66930	0.04	1.52	0.22	1.26	1.01
AT1G60470	-0.19	0.59	1.03	0.75	0.58
AT2G24310	-0.34	-0.30	0.03	0.87	0.85
AT4G26020	-0.16	-0.28	-0.12	0.09	1.06
AT5G17800	-0.50	0.15	0.16	0.35	0.71
AT2G24720	-0.48	0.40	0.45	0.73	-0.14
AT4G12410	-0.12	0.63	0.43	0.08	1.09
AT2G39370	-0.53	0.31	0.68	-0.44	0.38
AT3G45240	-0.07	0.44	0.62	0.17	1.14
AT5G24530	0.63	1.59	1.11	1.84	0.84
AT3G51970	1.11	1.86	0.87	2.32	0.31
AT2G11620	-0.27	0.78	0.14	0.94	0.36
AT4G00210	-0.01	-0.03	1.20	-0.39	0.27
AT5G13170	-0.17	0.43	-0.13	1.03	0.69
AT1G21520	0.77	2.30	1.37	1.97	1.22
AT3G26830	5.10	4.00	6.31	3.53	2.26
AT5G07550	-0.32	0.07	0.64	0.88	-0.01
AT1G04220	0.19	1.32	0.52	1.14	1.39
AT4G23496	-0.49	0.19	0.28	0.02	0.71
AT1G07795	-0.50	-0.22	0.23	0.69	0.47
AT3G61035	0.32	1.31	1.15	1.51	0.74
AT1G25530	-0.25	0.22	0.31	0.87	0.94
AT2G44260	-0.34	0.33	0.08	-0.40	0.85
AT1G13430	-0.22	0.51	0.69	0.97	0.88
AT1G35240	-0.07	0.25	1.12	0.12	0.59
AT4G29800	-0.43	-0.18	0.76	0.17	-0.08
AT3G21080	1.64	2.60	2.51	2.83	2.36
AT1G26360	-0.50	-0.04	-0.18	0.69	0.06
AT5G16235	0.56	0.38	1.74	0.41	0.48
AT3G44770	-0.05	0.77	0.37	1.14	0.00
AT1G22340	-0.22	0.69	0.29	0.19	0.96
AT3G17790	-0.16	0.35	1.02	0.90	0.36
AT3G22600	2.69	0.98	3.87	0.73	0.25
AT3G17690	3.82	4.33	3.63	5.00	3.64
AT1G53100	-0.17	0.25	-0.06	0.18	1.01
AT1G62975	-0.21	0.13	-0.03	0.96	-0.19
AT2G29130	0.10	0.08	1.07	1.27	0.28
AT3G59220	0.58	1.92	0.63	1.75	1.07
AT3G54780	-0.34	0.44	0.57	-0.06	0.83
AT2G45680	0.27	0.75	0.66	0.87	1.44
AT1G15460	-0.79	0.11	-0.09	0.37	0.12
AT1G50110	0.21	0.50	0.46	0.71	1.37
AT1G22240	0.65	1.10	1.81	0.60	0.53
AT4G27400	-0.73	0.16	0.44	0.02	0.19
AT5G52450	0.51	0.38	1.68	1.02	0.89
AT2G38995	-0.23	0.23	-0.07	0.70	0.94
AT1G53130	-0.07	-0.01	0.93	0.50	1.09
AT3G10590	-0.37	0.56	0.50	0.79	0.77
AT5G38450	-0.27	0.24	0.89	0.29	0.58
AT1G10110	0.06	0.09	0.16	1.22	0.38
AT5G24070	0.48	0.04	0.65	1.63	0.58
AT4G36620	-0.48	0.75	0.45	0.34	0.67
AT3G46170	-0.34	-0.06	0.82	0.70	0.30
AT2G23400	-0.50	0.33	0.66	0.23	0.09
AT1G27610	-0.24	0.89	0.27	0.91	0.44
AT5G44578	0.36	0.67	0.23	0.42	1.50
AT5G62520	1.26	0.89	0.23	2.41	0.07
AT3G14540	-0.05	0.10	0.27	0.24	1.10
AT3G59200	-0.32	0.79	0.37	0.82	0.75
AT1G79480	0.06	0.07	1.21	0.47	0.33
AT4G12290	-0.06	0.90	0.62	1.08	0.50
AT3G63430	-0.49	0.23	0.23	0.10	0.66
AT4G28815	-0.03	0.24	-0.08	1.11	0.51
AT3G05858	0.15	0.26	-0.04	1.29	0.44
AT3G51642	-0.04	-0.23	0.44	1.09	-0.03
AT3G60420	1.96	1.98	3.10	2.97	2.97
AT3G58190	-0.26	0.12	0.61	0.87	-0.06
AT4G39800	-0.01	-0.13	0.05	0.42	1.12
AT3G49330	-0.55	0.76	0.39	0.29	0.59
AT2G34238	-0.34	0.22	0.47	0.06	0.79
AT1G68825	-0.29	0.30	-0.16	0.84	0.16
AT4G37970	-0.51	0.05	0.62	0.34	0.24
AT1G76960	0.39	0.36	1.52	0.82	0.44
AT3G44326	-0.01	0.57	0.14	1.12	0.34
AT2G17840	1.85	1.72	0.85	2.98	0.32
AT2G36110	0.78	0.70	0.81	1.90	0.47
AT1G53830	-0.53	0.14	0.60	-0.33	0.12
AT5G60470	0.33	0.71	0.25	1.45	0.43
AT3G50450	0.03	0.53	-0.09	1.12	1.15
AT5G15800	0.13	0.49	0.47	1.24	0.52
AT5G18050	-0.10	0.49	0.93	1.02	0.22
AT3G02493	-0.41	0.13	0.18	0.70	0.33
AT5G16360	0.66	0.55	0.48	1.78	0.01
AT1G10640	-0.22	0.46	0.40	0.40	0.89
AT2G17330	0.01	0.51	0.42	1.12	0.67
AT4G22110	-0.03	0.12	0.20	1.08	0.09
AT1G01190	-0.71	0.20	0.32	0.09	0.40
AT1G05490	-0.25	-0.03	0.30	0.51	0.86
AT3G15650	0.04	0.32	0.27	0.20	1.15
AT1G71370	0.15	0.05	1.26	0.24	0.40
AT2G18620	0.14	0.08	0.42	1.24	0.25
AT5G25020	0.10	-0.22	-0.02	-0.07	1.20
AT1G18430	-0.28	0.32	0.34	0.82	0.51
AT3G61400	-0.01	0.90	0.59	1.10	0.19
AT3G59440	0.48	0.87	1.06	1.59	0.99
AT4G14780	-0.14	-0.14	0.96	0.77	0.57
AT5G53420	0.21	0.48	0.57	0.83	1.31
AT3G16390	-0.57	0.46	0.53	0.25	-0.05
AT5G17150	-0.02	0.34	0.50	0.66	1.08
AT3G55720	-0.35	-0.03	0.70	0.66	0.75
AT3G43930	-0.07	0.23	-0.32	1.03	0.49
AT1G75060	-0.44	0.13	0.29	0.66	0.39
AT3G21670	-0.32	0.21	-0.07	0.77	0.17
AT3G58193	0.42	0.52	0.26	0.61	1.51
AT2G20750	-0.26	0.16	0.83	0.38	0.31
AT5G58610	-0.36	0.42	-0.25	0.18	0.73
AT3G62730	-0.41	0.52	-0.35	0.60	0.68
AT3G45290	1.55	2.35	1.61	1.22	2.64
AT2G30220	-0.21	0.24	0.57	0.88	-0.07
AT3G15700	-0.34	0.71	0.07	0.75	0.13
AT3G13405	-0.24	0.52	0.63	0.84	0.27
AT1G62410	-0.14	0.41	-0.56	0.95	0.80
AT1G52660	-0.37	0.47	0.70	0.21	0.71
AT1G02850	1.09	1.05	1.66	2.17	1.27
AT1G70860	-0.31	0.12	0.78	-0.35	-0.58
AT1G10750	-0.26	0.45	0.21	0.82	0.30
AT1G33090	0.00	0.31	1.08	-0.24	0.19
AT5G57770	-0.49	0.53	0.59	0.06	0.55
AT3G20110	-0.23	0.18	0.52	0.51	0.84
AT5G53750	1.25	2.00	1.88	2.33	1.29
AT3G01015	-0.58	0.40	0.02	0.49	0.12
AT1G10790	-0.25	0.32	0.83	0.13	0.13
AT4G29210	1.16	0.97	2.23	1.14	0.35
AT1G29490	-0.30	0.54	0.69	0.08	0.77
AT3G21180	-0.61	0.10	0.34	0.46	-0.26
AT2G15370	-0.74	0.03	0.28	0.33	0.33
AT3G12502	0.16	-0.09	1.23	0.47	0.26
AT2G25820	-0.29	0.55	0.78	-0.21	0.10
AT5G59310	-0.07	0.32	0.58	0.99	0.37
AT2G13430	-0.42	0.39	0.65	0.47	0.09
AT4G17090	0.02	0.78	0.39	0.97	1.08
AT5G49870	0.05	0.06	1.12	0.02	-0.07
AT1G22260	-0.20	0.44	0.62	0.87	0.51
AT2G42660	-0.38	0.21	0.02	0.68	0.20
AT1G64105	0.43	0.40	0.33	0.43	1.49
AT5G04590	0.57	0.30	1.63	0.68	0.24
AT1G15010	2.62	2.55	1.58	3.68	0.85
AT3G08040	-0.38	0.03	0.69	0.44	0.06
AT1G48500	-0.49	0.16	0.34	0.07	0.57
AT5G66815	-0.43	-0.11	0.58	0.63	0.45
AT4G11910	0.47	0.83	0.75	1.53	0.33
AT3G03770	-0.04	0.15	0.25	1.02	0.97
AT5G01740	-0.03	1.66	0.04	1.03	0.82
AT2G18500	-0.10	0.59	0.58	0.96	0.18
AT4G15490	-0.24	0.04	0.19	0.82	0.33
AT1G61950	0.21	0.54	1.27	0.31	-0.30
AT1G21410	-0.05	0.57	0.38	1.01	-0.08
AT2G48075	-0.26	-0.04	-0.17	0.80	-0.01
AT2G17660	2.44	2.42	0.83	3.49	0.36
AT3G23930	-0.05	0.53	0.27	1.01	0.82
AT3G09240	-0.28	0.34	0.50	0.78	-0.40
AT1G64930	-0.22	0.02	0.05	-0.18	0.84
AT3G57260	1.00	1.23	2.05	0.30	0.72
AT5G24155	-0.25	0.29	0.37	0.80	0.71
AT1G48640	0.75	0.74	1.81	1.28	0.29
AT1G51190	-0.58	0.24	0.47	0.26	-0.07
AT2G29350	2.01	1.44	3.06	2.09	0.32
AT1G09483	-0.35	0.32	0.17	0.71	0.69
AT1G19900	-0.32	0.04	0.23	-0.05	0.73
AT3G60164	0.53	0.72	0.81	1.58	0.60
AT4G37410	-0.59	-0.08	0.46	-0.28	-0.06
AT5G36260	-0.40	0.46	0.46	0.65	0.17
AT3G27210	0.50	0.57	0.29	1.55	-0.09
AT3G03240	0.06	-0.11	1.11	0.29	0.51
AT1G63320	-0.16	0.57	0.24	0.05	0.89
AT5G52860	-0.04	1.43	0.34	1.01	0.82
AT5G65300	3.05	2.45	2.26	4.10	1.89
AT2G16990	-0.10	0.25	0.95	0.35	0.04
AT4G31190	0.05	0.67	0.32	1.10	0.24
AT1G77660	0.75	0.40	1.79	0.22	0.30
AT1G73780	-0.20	0.21	0.84	0.13	0.57
AT3G23800	-0.47	0.10	0.57	0.05	0.23
AT4G01630	-0.19	-0.15	0.26	0.85	0.53
AT5G06630	-0.65	-0.04	-0.09	0.39	0.21
AT2G47870	-0.20	0.17	0.54	0.32	0.84
AT2G34080	0.26	0.98	1.29	0.90	0.45
AT3G16050	0.52	1.23	1.56	0.57	0.88
AT1G36950	-0.18	0.17	0.85	0.21	-0.07
AT1G29200	-0.35	0.14	0.69	0.22	0.59
AT3G14280	0.01	0.69	0.33	1.04	-0.14
AT4G28230	-0.06	0.31	0.97	0.19	0.21
AT5G14000	-0.23	0.94	0.33	0.80	0.16
AT1G61930	-0.20	0.46	0.59	0.65	0.84
AT5G22355	-0.53	0.39	0.20	0.50	0.27
AT2G33750	0.16	0.31	1.19	0.51	0.43
AT5G15850	0.39	1.18	1.43	1.38	0.48
AT5G12450	-0.26	0.36	0.77	0.20	0.60
AT4G15380	-0.51	0.05	0.52	0.37	-0.05
AT1G45015	0.05	1.12	1.08	0.30	0.09
AT5G49350	-0.49	-0.06	0.54	0.00	-0.14
AT4G28005	-0.17	-0.46	0.04	-0.09	0.86
AT5G35770	-0.15	0.52	0.19	0.87	0.41
AT1G03700	-0.61	-0.37	0.42	0.32	0.00
AT1G22760	-0.10	0.03	0.29	0.93	0.18
AT2G30615	-0.21	0.15	0.66	0.81	0.11
AT2G37770	1.14	1.20	1.59	2.16	0.94
AT4G21903	1.87	1.42	2.89	1.16	1.52
AT5G05965	-0.26	0.07	0.76	0.63	0.58
AT3G57500	0.00	0.55	0.30	0.21	1.03
AT3G59340	-0.18	0.14	0.85	0.31	-0.19
AT4G01930	-0.30	0.38	0.72	0.05	0.23
AT1G26790	-0.12	0.74	0.29	0.63	0.90
AT2G44670	0.28	0.82	0.27	0.78	1.30
AT4G27660	-0.03	0.57	0.39	0.67	0.99
AT1G78090	-0.35	-0.12	0.22	0.58	0.67
AT2G07826	-0.29	0.40	0.56	0.19	0.72
AT5G55680	-0.01	0.61	0.22	1.01	0.36
AT4G36010	1.03	1.25	1.02	2.05	0.85
AT3G15370	-0.11	0.07	0.31	0.55	0.91
AT1G07728	-0.09	0.44	-0.01	0.93	0.21
AT5G59320	-0.40	0.55	0.17	0.62	-0.26
AT1G68320	0.29	0.79	1.31	1.14	0.44
AT5G52710	2.80	0.31	0.68	3.81	1.69
AT2G44170	-0.05	0.44	0.38	0.18	0.97
AT2G27300	0.15	0.29	0.56	1.16	0.53
AT1G54790	-0.25	0.26	0.76	0.58	-0.14
AT5G63087	-0.22	-0.03	0.66	0.79	0.67
AT5G04970	-0.29	0.43	0.23	0.39	0.72
AT4G38410	0.08	0.12	0.53	1.09	0.84
AT4G23590	0.23	0.98	0.15	1.24	-0.15
AT4G15165	0.10	0.46	0.61	1.10	0.42
AT2G18800	-0.25	0.33	0.76	0.16	0.20
AT3G45130	0.08	0.75	-0.32	1.08	0.23
AT1G29730	-0.19	0.34	0.14	0.21	0.81
AT1G20130	-0.11	0.11	0.73	0.61	0.90
AT1G44180	-0.52	0.00	0.48	0.05	-0.53
AT3G05720	-0.37	-0.03	-0.05	0.47	0.63
AT4G37682	-0.24	-0.16	-0.25	0.76	-0.04
AT1G47578	-0.03	0.00	0.97	-0.08	0.61
AT2G27420	-0.06	0.60	0.94	0.04	-0.12
AT3G23630	1.52	1.22	1.29	2.52	0.69
AT5G01050	0.51	0.46	0.53	1.51	0.68
AT4G25490	3.16	2.35	0.69	4.16	0.80
AT2G35770	-0.09	-0.08	0.46	0.91	0.15
AT3G60955	0.76	1.61	1.13	1.75	1.29
AT2G18980	-0.43	0.10	0.56	0.14	-0.09
AT3G32040	-0.29	-0.12	0.71	-0.42	-0.09
AT3G28899	-0.11	0.61	-0.38	0.89	0.04
AT3G20160	-0.69	0.17	0.30	0.27	0.25
AT1G33800	-0.28	0.31	0.14	0.20	0.71
AT5G10280	-0.39	0.38	0.61	0.60	0.31
AT1G50420	0.09	0.42	0.68	1.09	0.67
AT5G03435	-0.36	-0.15	0.32	0.63	0.30
AT1G29830	-0.26	0.00	0.42	0.73	-0.08
AT5G08640	-0.21	0.01	0.13	0.06	0.78
AT2G17940	-0.28	0.48	0.71	0.67	0.48
AT4G16540	-0.27	0.17	0.72	0.15	-0.07
AT3G26125	0.07	0.48	0.59	0.66	1.06
AT1G19560	0.24	0.47	0.31	1.22	0.22
AT1G31750	-0.06	0.36	0.37	0.93	0.20
AT5G45475	-0.14	0.86	0.53	0.17	0.85
AT1G72416	0.36	0.59	0.63	0.72	1.35
AT5G46130	-0.34	0.18	0.64	0.26	0.26
AT4G22460	-0.44	0.17	0.36	0.20	0.54
AT1G30080	-0.21	0.31	0.26	0.78	0.15
AT3G26815	-0.27	0.26	-0.07	0.71	0.19
AT5G38970	-0.22	0.87	0.76	0.31	0.07
AT1G06330	-0.18	0.05	0.80	0.57	0.10
AT4G26150	-0.20	0.16	0.14	0.54	0.78
AT1G51520	0.03	0.24	1.01	0.80	0.84
AT1G71690	-0.10	0.42	0.64	0.88	0.87
AT4G04745	0.04	1.26	0.16	1.02	0.70
AT2G01580	0.14	-0.09	1.12	-0.32	1.02
AT2G18180	-0.12	0.56	-0.05	0.85	-0.19
AT5G53950	0.12	0.14	1.10	0.16	0.38
AT4G30430	4.16	4.41	4.39	5.14	3.73
AT2G42800	0.08	0.63	0.10	0.93	1.06
AT4G12530	0.72	1.71	1.70	0.99	0.98
AT1G56430	-0.65	0.12	0.03	0.00	0.33
AT3G06520	0.24	0.72	0.41	1.21	1.10
AT1G31820	-0.07	0.32	0.91	0.46	-0.12
AT1G59700	0.36	0.95	0.58	1.33	0.57
AT1G47920	-0.49	0.40	0.05	-0.08	0.48
AT4G21902	-0.08	0.66	-0.12	0.90	0.38
AT3G01260	-0.44	-0.13	0.53	0.17	-0.21
AT5G28917	-0.17	1.08	0.80	0.35	0.36
AT5G35550	-0.40	0.16	0.39	0.57	0.42
AT3G41768	-0.05	0.38	0.59	0.34	0.92
AT1G47440	-0.28	0.79	0.69	0.14	0.57
AT3G10710	-0.24	0.50	0.42	0.11	0.73
AT1G29179	-0.20	0.44	-0.01	0.77	0.10
AT3G03470	-0.34	0.50	0.44	0.63	-0.14
AT3G04530	-0.22	0.55	0.75	0.29	0.38
AT2G31180	0.22	0.78	1.19	1.09	1.06
AT4G37310	1.04	1.40	2.01	1.15	0.63
AT1G72600	-0.16	-0.09	-0.24	-0.09	0.81
AT1G54930	-0.19	0.94	0.78	0.12	0.61
AT4G31910	-0.32	0.16	0.65	0.10	0.40
AT5G12280	0.05	0.16	1.01	0.18	0.48
AT3G14510	-0.41	0.18	0.02	0.18	0.55
AT2G36710	-0.12	0.38	0.19	0.09	0.84
AT3G45660	1.08	0.77	0.82	2.04	0.95
AT2G29090	0.01	0.82	-0.08	0.69	0.97
AT4G26770	-0.09	0.07	0.06	0.17	0.87
AT5G55950	-0.35	0.29	0.17	0.61	0.34
AT5G62210	-0.22	-0.30	-0.13	0.13	0.75
AT1G35710	2.03	2.93	2.99	2.96	2.93
AT1G11120	-0.11	0.15	0.85	0.25	0.24
AT5G47150	-0.38	-0.15	0.58	0.16	0.53
AT1G30040	2.19	2.51	3.16	2.58	2.35
AT1G02710	-0.28	0.21	0.13	0.16	0.68
AT1G14880	0.28	1.10	1.24	0.68	-0.05
AT3G27480	0.00	0.34	0.26	0.23	0.97
AT3G30842	-0.13	0.26	0.83	-0.05	0.70
AT1G68500	0.12	0.23	0.30	1.08	0.45
AT1G78480	-0.20	0.20	0.76	0.40	0.04
AT2G43960	-0.31	0.33	0.29	0.65	0.06
AT2G43000	4.84	3.28	5.80	3.15	2.54
AT2G24980	-0.63	0.05	0.04	0.31	0.33
AT4G13290	-0.41	0.10	0.16	0.54	0.21
AT5G45440	-0.04	0.48	0.92	0.20	0.01
AT1G71380	-0.29	0.49	0.67	0.08	0.37
AT1G12950	-0.04	0.05	0.07	0.92	0.12
AT1G61800	1.82	0.51	2.77	1.16	1.28
AT2G17770	-0.46	-0.07	0.24	0.49	-0.02
AT5G47560	0.09	1.20	1.05	0.99	0.22
AT1G17480	-0.08	0.29	0.43	0.87	0.48
AT2G41090	0.40	0.75	0.94	0.72	1.35
AT5G20960	1.42	1.20	2.37	0.59	0.07
AT3G53980	-0.32	0.24	0.36	0.63	0.08
AT5G06790	-0.08	-0.01	-0.05	0.86	0.15
AT4G14940	-0.11	0.25	0.84	0.29	0.63
AT2G07762	-0.38	0.75	0.18	0.56	0.11
AT1G29540	0.05	-0.04	0.77	0.37	0.99
AT2G30370	0.02	0.54	0.13	0.43	0.97
AT4G37890	-0.38	-0.02	0.57	0.00	0.52
AT2G01010	-0.03	0.39	0.60	0.35	0.91
AT1G63820	2.29	3.08	2.65	3.24	2.27
AT1G53860	-0.14	0.54	0.33	0.32	0.80
