taxa	ID
LOC110383184]	58.82
LOC110384557]	68.42
LOC110371693]	72.73
LOC110379391]	75
LOC110384479]	77.78
LOC110384514]	81.82
LOC110383752]	83.33
LOC110383620]	86.36
LOC110383756]	87.5
LOC126054254]	88.89
LOC110383620]	89.47
LOC110383620]	89.66
LOC126055834]	90
LOC110370747]	90
LOC110370747]	90
LOC110374563]	90
LOC110381625]	90.91
LOC110384479]	90.91
LOC126055863]	90.91
LOC110371818]	91.67
LOC110371818]	91.67
LOC110383620]	91.67
LOC126055357]	91.67
LOC135116552]	91.67
LOC135116553]	91.67
LOC110384480]	91.67
LOC110384490]	91.67
LOC110384486]	91.67
LOC110384483]	91.67
LOC110381016]	92.31
LOC110381635]	92.31
LOC110373545]	92.86
LOC110383799]	93.33
LOC110384479]	93.33
LOC110384479]	93.33
LOC110380582]	93.75
LOC135116580]	94.12
LOC110381016]	95
LOC110379024]	95.24
LOC110379016]	96.77
LOC126053744]	97.22
LOC126053744]	97.22
LOC126053744]	100
LOC126053744]	100
LOC126053744]	100
LOC126053744]	100
LOC110384146]	100
LOC110383757]	100
LOC110381726]	100
LOC110379024]	100
LOC110377034]	100
LOC110380575]	100
LOC126053744]	100
LOC126053744]	100
LOC126054459]	100
LOC126054459]	100
LOC110370871]	100
LOC110378558]	100
LOC110377046]	100
LOC126055620]	100
LOC126055620]	100
LOC110383751]	100
LOC110383751]	100
LOC110381014]	100
LOC126055620]	100
LOC110381014]	100
LOC110374724]	100
LOC126055085]	100
LOC110383800]	100
LOC110376457]	100
LOC110383666]	100
LOC110376413]	100
LOC110381625]	100
LOC110376134]	100
LOC126054459]	100
LOC126054459]	100
LOC126055863]	100
LOC110379025]	100
LOC110384037]	100
LOC110380582]	100
LOC110381726]	100
LOC110382613]	100
LOC110381014]	100
LOC110384146]	100
LOC110383801]	100
LOC126055863]	100
LOC110377046]	100
LOC110382613]	100
LOC110370603]	100
LOC110374724]	100
LOC110372110]	100
LOC110383620]	100
LOC110384480]	100
LOC135116552]	100
LOC110370603]	100
LOC110378012]	100
LOC110373533]	100
LOC110373542]	100
LOC110379059]	100
LOC135116667]	100
LOC135116896]	100
LOC110379024]	100
LOC110370603]	100
LOC110374724]	100
LOC135116564]	100
LOC110378956]	100
LOC110383823]	100
LOC110376413]	100
LOC110378012]	100
LOC110383666]	100
LOC110379017]	100
LOC110383620]	100
LOC110379024]	100
LOC110377034]	100
LOC135116666]	100
LOC110370976]	100
LOC110370976]	100
LOC110377300]	100
LOC110381014]	100
LOC110373542]	100
LOC110373533]	100
LOC110381014]	100
LOC126054254]	100
LOC110373546]	100
LOC135118188]	100
LOC135116667]	100
LOC110373533]	100
LOC110377034]	100
LOC110383620]	100
LOC110381726]	100
LOC110384146]	100
LOC110370863]	100
LOC126055379]	100
LOC110383801]	100
LOC110378968]	100
LOC126055357]	100
LOC110384487]	100
LOC110384487]	100
LOC110384479]	100
LOC110378012]	100
LOC110384478]	100
LOC110384479]	100
LOC126055835]	100
LOC110376413]	100
LOC110379024]	100
LOC110374724]	100
LOC126053744]	100
LOC126053744]	100
LOC126053744]	100
LOC110380585]	100
LOC110378558]	100
LOC110376413]	100
LOC110380575]	100
LOC110383751]	100
LOC110376413]	100
LOC110383751]	100
LOC135116580]	100
LOC110370747]	100
LOC110376413]	100
LOC110376413]	100
LOC110376413]	100
LOC110379017]	100
LOC110384510]	100
LOC110384510]	100
LOC110380582]	100
LOC110383751]	100
LOC110384478]	100
LOC110377034]	100
LOC110379016]	100
LOC126055619]	100
LOC110383751]	100
LOC110372110]	100
LOC110378012]	100
LOC110384480]	100
LOC110374724]	100
LOC110370603]	100
LOC110379024]	100
LOC110381636]	100
LOC135116649]	100
LOC135116577]	100
LOC110379024]	100
LOC110384479]	100
LOC135116552]	100
LOC110384480]	100
LOC110384490]	100
LOC110383666]	100
LOC110383667]	100
LOC126053744]	100
LOC126053744]	100
LOC110380581]	100
LOC110378558]	100
LOC110383754]	100
LOC110384479]	100
LOC110372637]	100
LOC110376413]	100
LOC126055379]	100
LOC110379024]	100
LOC110382613]	100
LOC135118188]	100
LOC110384037]	100
LOC126054009]	100
LOC110371818]	100
LOC110371818]	100
LOC110384478]	100
LOC126055377]	100
LOC110379066]	100
LOC110384510]	100
LOC110384513]	100
LOC110377047]	100
LOC110383977]	100
LOC126055620]	100
LOC110373533]	100
LOC110373533]	100
LOC110373545]	100
LOC110373542]	100
LOC110373536]	100
LOC110383756]	100
LOC126055836]	100
LOC110376413]	100
LOC110383751]	100
LOC110370747]	100
LOC110381636]	100
LOC135116649]	100
LOC135116577]	100
LOC110377046]	100
LOC110377034]	100
LOC126054254]	100
LOC110379017]	100
LOC110380582]	100
LOC110384490]	100
LOC126053744]	100
LOC110379016]	100
LOC110377046]	100
LOC110373485]	100
LOC126055835]	100
LOC110373485]	100
LOC110373806]	100
LOC110383977]	100
LOC110376413]	100
LOC110373542]	100
LOC110381726]	100
LOC126055379]	100
LOC110370976]	100
LOC110382613]	100
LOC110370976]	100
LOC110380575]	100
LOC110379591]	100
LOC110370603]	100
LOC110374724]	100
LOC110374724]	100
LOC110370781]	100
LOC135116622]	100
LOC110378012]	100
LOC126055835]	100
LOC135116539]	100
LOC126054459]	100
LOC126054459]	100
LOC110384480]	100
LOC110384490]	100
LOC135116552]	100
LOC110376457]	100
LOC110383823]	100
LOC110379024]	100
LOC110379024]	100
LOC110373533]	100
LOC110376045]	100
LOC110383801]	100
LOC110373546]	100
LOC110373542]	100
LOC110372637]	100
LOC110377034]	100
LOC110377034]	100
LOC110377046]	100
LOC110371012]	100
LOC135116896]	100
LOC110379059]	100
LOC110374724]	100
LOC110370603]	100
LOC110374724]	100
LOC110370976]	100
LOC110373485]	100
LOC110373536]	100
LOC110384563]	100
LOC110377034]	100
LOC110381636]	100
LOC135116649]	100
LOC135116577]	100
LOC110379592]	100
LOC110381625]	100
LOC110381014]	100
LOC110383754]	100
LOC110381016]	100
LOC110381625]	100
LOC110384479]	100
LOC110384146]	100
LOC110380582]	100
LOC110373620]	100
LOC110378956]	100
LOC110371818]	100
LOC110371818]	100
LOC110381014]	100
LOC110377034]	100
LOC110373542]	100
LOC110370863]	100
LOC110379059]	100
LOC110376413]	100
LOC110384479]	100
LOC110383666]	100
LOC110384146]	100
LOC110383620]	100
LOC126055863]	100
LOC126055863]	100
LOC110381016]	100
LOC110384146]	100
LOC110374724]	100
LOC110370603]	100
LOC110383620]	100
LOC110370603]	100
LOC110374724]	100
LOC126054459]	100
LOC126054459]	100
LOC110383184]	100
LOC110381016]	100
LOC110378553]	100
LOC110376413]	100
LOC110370863]	100
LOC110384480]	100
LOC110373536]	100
LOC135116625]	100
LOC135118189]	100
LOC110383668]	100
LOC126053744]	100
LOC110380585]	100
LOC110373485]	100
LOC110378956]	100
LOC126055357]	100
LOC110384480]	100
LOC110383184]	100
LOC110381726]	100
LOC110380575]	100
LOC126055620]	100
LOC110374724]	100
LOC110383801]	100
LOC110378968]	100
LOC110373485]	100
LOC110373546]	100
LOC110378553]	100
LOC110383666]	100
LOC110380587]	100
LOC110376457]	100
LOC110373485]	100
LOC110377047]	100
LOC110384529]	100
LOC110373542]	100
LOC110384479]	100
LOC135116553]	100
LOC110384480]	100
LOC110384480]	100
LOC110373542]	100
LOC110373546]	100
LOC110373533]	100
LOC110382613]	100
LOC110384514]	100
LOC110370603]	100
LOC126054459]	100
LOC126054459]	100
LOC135116552]	100
LOC135116553]	100
LOC110384480]	100
LOC110384490]	100
LOC110384486]	100
LOC110384483]	100
LOC110377046]	100
LOC110383756]	100
LOC110371818]	100
LOC110371818]	100
LOC110383184]	100
LOC110378956]	100
LOC110384146]	100
LOC110383179]	100
LOC110383179]	100
LOC110377554]	100
LOC135116564]	100
LOC126054459]	100
LOC126054459]	100
LOC110384146]	100
LOC110376413]	100
LOC110376413]	100
LOC110381014]	100
LOC110383751]	100
LOC110377034]	100
LOC110384510]	100
LOC110384513]	100
LOC110376875]	100
LOC110379024]	100
LOC110374724]	100
LOC126054253]	100
LOC110383801]	100
LOC126055357]	100
LOC126054459]	100
LOC126054459]	100
LOC110370603]	100
LOC110377046]	100
LOC110384514]	100
LOC126054254]	100
LOC126055379]	100
LOC110384068]	100
LOC110384068]	100
LOC110370871]	100
LOC110370603]	100
LOC110370781]	100
LOC126053744]	100
LOC126053744]	100
LOC110376856]	100
LOC126053744]	100
LOC110384479]	100
LOC135116552]	100
LOC135116553]	100
LOC110384480]	100
LOC110384490]	100
LOC110384486]	100
LOC110384483]	100
LOC110371012]	100
LOC110379024]	100
LOC110383754]	100
LOC110381636]	100
LOC135116649]	100
LOC135116577]	100
LOC110377046]	100
LOC126054253]	100
LOC110379016]	100
LOC126055831]	100
LOC110383799]	100
LOC135116553]	100
LOC126055379]	100
LOC126055379]	100
LOC110384510]	100
LOC110384513]	100
LOC135117940]	100
LOC110381625]	100
LOC110379024]	100
LOC110374724]	100
LOC110370603]	100
LOC126054459]	100
LOC126054459]	100
LOC110372110]	100
LOC110378012]	100
LOC110383667]	100
LOC126055357]	100
LOC110370863]	100
LOC110377051]	100
LOC110381636]	100
LOC135116649]	100
LOC135116577]	100
LOC110371818]	100
LOC110371818]	100
LOC110379017]	100
LOC110370603]	100
LOC110382134]	100
LOC110383666]	100
LOC110383620]	100
LOC110379066]	100
LOC110373533]	100
LOC110377034]	100
LOC110373485]	100
LOC126054254]	100
LOC126054253]	100
LOC110373533]	100
LOC110376413]	100
LOC110376457]	100
LOC110376457]	100
LOC110376413]	100
LOC110379025]	100
LOC110370747]	100
LOC110384146]	100
LOC110376413]	100
LOC110381635]	100
LOC110381625]	100
LOC110376413]	100
